Orgánica,Centro,Superficie Ponderada,Importe
3010010000,Facultad de Filosofí­a y Letras,47530,135365
3010020000,Facultad de Derecho,35944,102369
3010030000,Facultad de Ciencias,119845,341319
3010040000,Facultad de Medicina,53350,151941
3010050000,Facultad de Farmacia,44088,125562
3010060000,Facultad de Bellas Artes,32971,93902
3010070000,Facultad de Odontologí­a,19756,56265
3010080000,Facultad de Ciencias de la Educación,30572,87070
3010090000,Facultad de Ciencias Polí­ticas y Sociología,19560,55707
3010100000,"E.T.S. de Ingenieros de Caminos, Canales y Puertos",34212,97436
3010110000,Facultad de Ciencias del Deporte,26640,75871
3010190000,Facultad de Tradución e Interpretación,11661,33211
3010230000,"Facultad de Educación, Economí­a y Tecnologí­a de Ceuta",13359,38046
3010240000,Facultad de Educación y Humanidades de Melilla,6831,19453
3010250000,Facultad de Psicologí­a,21698,61795
3010260000,Facultad de Ciencias Económicas y Empresariales,39729,113148
3010280000,Facultad de Ciencias Sociales de Melilla,5597,15939
3010290000,Facultad de Comunicación y Documentación,16266,46326
3010300000,E.T.S. de Ingeniería de Edificación,26056,74207
3010330000,Facultad de Ciencias de la Salud de Granada,19683,56056
3010350000,Facultad de Trabajo Social,4249,12101
3010400000,Facultad de Ciencias del Trabajo,9030,25717
3010410000,E.T.S. de Arquitectura,17231,49075
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,22292,63488
3010810000,Facultad de Ciencias de la Salud de Melilla,3326,12000
3010900000,Facultad de Ciencias de la Salud de Ceuta,6524,18580
3019990000,Contrato Programa a Centros,0,293913
3019990000,Cumplimiento Ley de Morosidad,0,0
3019990000,Fondo de apoyo a financiación de Centros,,196195
