RAMAS,TITULACIÓN,HOMBRE,MUJER
ARTES Y HUMANIDADES,GRADO EN BELLAS ARTES,175,290
ARTES Y HUMANIDADES,GRADO EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES,24,76
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS ÁRABES E ISLÁMICOS,27,38
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS FRANCESES,30,101
ARTES Y HUMANIDADES,GRADO EN ESTUDIOS INGLESES,95,192
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA CLÁSICA,25,44
ARTES Y HUMANIDADES,GRADO EN FILOLOGÍA HISPÁNICA,86,95
ARTES Y HUMANIDADES,GRADO EN FILOSOFÍA,85,50
ARTES Y HUMANIDADES,GRADO EN HISTORIA,203,81
ARTES Y HUMANIDADES,GRADO EN HISTORIA DEL ARTE,83,171
ARTES Y HUMANIDADES,GRADO EN HISTORIA Y CIENCIAS DE LA MÚSICA,69,59
ARTES Y HUMANIDADES,GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,57,95
ARTES Y HUMANIDADES,GRADO EN LITERATURAS COMPARADAS,22,36
ARTES Y HUMANIDADES,GRADO EN TRADUCCIÓN E INTERPRETACIÓN,181,404
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,133,195
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,356,481
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ÁRABE,24,46
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA CLÁSICA,24,31
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ESLAVA,19,14
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA FRANCESA,33,67
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HEBREA,16,0
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HISPÁNICA,343,189
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA INGLESA,166,312
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ITALIANA,4,6
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA PORTUGUESA,1,0
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ROMÁNICA,5,7
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFÍA,151,63
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFÍA,79,29
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,357,156
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,154,220
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,47,49
ARTES Y HUMANIDADES,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,40,50
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,434,681
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADÍSTICA,23,28
CIENCIAS EXPERIMENTALES,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,45,135
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,82,167
CIENCIAS EXPERIMENTALES,GRADO EN BIOLOGÍA,242,268
CIENCIAS EXPERIMENTALES,GRADO EN BIOQUÍMICA,32,57
CIENCIAS EXPERIMENTALES,GRADO EN CIENCIAS AMBIENTALES,163,105
CIENCIAS EXPERIMENTALES,GRADO EN ESTADÍSTICA,57,28
CIENCIAS EXPERIMENTALES,GRADO EN FÍSICA,139,45
CIENCIAS EXPERIMENTALES,GRADO EN GEOLOGÍA,73,39
CIENCIAS EXPERIMENTALES,GRADO EN MATEMÁTICAS,102,95
CIENCIAS EXPERIMENTALES,GRADO EN ÓPTICA Y OPTOMETRÍA,79,170
CIENCIAS EXPERIMENTALES,GRADO EN QUÍMICA,88,88
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOLOGÍA,326,511
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOQUÍMICA,35,46
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,48,174
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS AMBIENTALES,319,264
CIENCIAS EXPERIMENTALES,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,24,23
CIENCIAS EXPERIMENTALES,LICENCIADO EN FÍSICA,236,85
CIENCIAS EXPERIMENTALES,LICENCIADO EN GEOLOGÍA,94,45
CIENCIAS EXPERIMENTALES,LICENCIADO EN MATEMÁTICAS,152,91
CIENCIAS EXPERIMENTALES,LICENCIADO EN QUÍMICA,133,149
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN,39,44
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN CIENCIAS EMPRESARIALES,489,518
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",34,28
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",40,57
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN EDUCACIÓN SOCIAL,20,86
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""",10,7
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN RELACIONES LABORALES,366,645
CIENCIAS SOCIALES Y JURÍDICAS,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",8,15
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN TRABAJO SOCIAL,91,240
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN TURISMO,119,294
CIENCIAS SOCIALES Y JURÍDICAS,GRADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,287,333
