RAMAS,TITULACIÓN,Hombres,Mujeres,TOTAL
ARTES Y HUMANIDADES,GRADUADO/A EN ARQUEOLOGÍA,44,71,115
ARTES Y HUMANIDADES,GRADUADO/A EN BELLAS ARTES,326,635,961
ARTES Y HUMANIDADES,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,44,158,202
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS FRANCESES,51,179,230
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS INGLESES,178,457,635
ARTES Y HUMANIDADES,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,51,98,149
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA CLÁSICA,49,90,139
ARTES Y HUMANIDADES,GRADUADO/A EN FILOLOGÍA HISPÁNICA,116,394,510
ARTES Y HUMANIDADES,GRADUADO/A EN FILOSOFÍA,172,93,265
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA,393,185,578
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA DEL ARTE,157,335,492
ARTES Y HUMANIDADES,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,135,107,242
ARTES Y HUMANIDADES,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,106,325,431
ARTES Y HUMANIDADES,GRADUADO/A EN LITERATURAS COMPARADAS,53,97,150
ARTES Y HUMANIDADES,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,276,1105,1381
ARTES Y HUMANIDADES,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,15,33,48
ARTES Y HUMANIDADES,LICENCIADO EN BELLAS ARTES,48,63,111
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA CLÁSICA,6,7,13
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ESLAVA,1,2,3
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA FRANCESA,4,15,19
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA HISPÁNICA,10,26,36
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA INGLESA,36,86,122
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ITALIANA,0,1,1
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ROMÁNICA,0,1,1
ARTES Y HUMANIDADES,LICENCIADO EN FILOLOGÍA ÁRABE,5,10,15
ARTES Y HUMANIDADES,LICENCIADO EN FILOSOFÍA,20,11,31
ARTES Y HUMANIDADES,LICENCIADO EN GEOGRAFÍA,21,10,31
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA,53,35,88
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA DEL ARTE,33,79,112
ARTES Y HUMANIDADES,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,2,6,8
ARTES Y HUMANIDADES,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,6,3,9
ARTES Y HUMANIDADES,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,28,93,121
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADÍSTICA,2,6,8
CIENCIAS EXPERIMENTALES,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,2,12,14
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,4,11,15
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOLOGÍA,442,599,1041
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOQUÍMICA,80,135,215
CIENCIAS EXPERIMENTALES,GRADUADO/A EN BIOTECNOLOGÍA,23,26,49
CIENCIAS EXPERIMENTALES,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,79,150,229
CIENCIAS EXPERIMENTALES,GRADUADO/A EN CIENCIAS AMBIENTALES,307,226,533
CIENCIAS EXPERIMENTALES,GRADUADO/A EN ESTADÍSTICA,93,57,150
CIENCIAS EXPERIMENTALES,GRADUADO/A EN FÍSICA,289,102,391
CIENCIAS EXPERIMENTALES,GRADUADO/A EN GEOLOGÍA,126,87,213
CIENCIAS EXPERIMENTALES,GRADUADO/A EN MATEMÁTICAS,205,170,375
CIENCIAS EXPERIMENTALES,GRADUADO/A EN QUÍMICA,181,168,349
CIENCIAS EXPERIMENTALES,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,156,315,471
CIENCIAS EXPERIMENTALES,LICENCIADO EN BIOLOGÍA,86,134,220
