RAMAS,TITULACIÓN,Hombres,Mujeres,TOTAL
Universidad de Granada, ,24762,29768,54530
,,,,
ARTES Y HUMANIDADES,GRADUADO/A EN ARQUEOLOGÍA,18,41,59
 ,GRADUADO/A EN BELLAS ARTES,364,550,914
 ,GRADUADO/A EN CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURAL,39,131,170
 ,GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,57,71,128
 ,GRADUADO/A EN ESTUDIOS FRANCESES,56,160,216
 ,GRADUADO/A EN ESTUDIOS INGLESES,194,372,566
 ,GRADUADO/A EN FILOLOGÍA CLÁSICA,45,82,127
 ,GRADUADO/A EN FILOLOGÍA HISPÁNICA,274,209,483
 ,GRADUADO/A EN FILOSOFÍA,148,75,223
 ,GRADUADO/A EN HISTORIA,402,138,540
 ,GRADUADO/A EN HISTORIA DEL ARTE,152,291,443
 ,GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,131,90,221
 ,GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,174,209,383
 ,GRADUADO/A EN LITERATURAS COMPARADAS,56,71,127
 ,GRADUADO/A EN TRADUCCIÓN E INTERPRETACIÓN,287,1002,1289
 ,LICENCIADO EN ANTROPOLOGÍA SOCIAL Y CULTURAL,24,45,69
 ,LICENCIADO EN BELLAS ARTES,103,154,257
 ,LICENCIADO EN FILOLOGÍA ÁRABE,10,17,27
 ,LICENCIADO EN FILOLOGÍA CLÁSICA,13,17,30
 ,LICENCIADO EN FILOLOGÍA ESLAVA,7,8,15
 ,LICENCIADO EN FILOLOGÍA FRANCESA,16,33,49
 ,LICENCIADO EN FILOLOGÍA HISPÁNICA,46,72,118
 ,LICENCIADO EN FILOLOGÍA INGLESA,62,166,228
 ,LICENCIADO EN FILOLOGÍA ITALIANA,,1,1
 ,LICENCIADO EN FILOLOGÍA ROMÁNICA,3,4,7
 ,LICENCIADO EN FILOSOFÍA,53,35,88
 ,LICENCIADO EN GEOGRAFÍA,37,14,51
 ,LICENCIADO EN HISTORIA,137,69,206
 ,LICENCIADO EN HISTORIA DEL ARTE,62,131,193
 ,LICENCIADO EN HISTORIA Y CIENCIAS DE LA MUSICA,16,14,30
 ,LICENCIADO EN TEORÍA DE LA LITERATURA Y LITERATURA COMPARADA,16,8,24
 ,LICENCIADO EN TRADUCCIÓN E INTERPRETACIÓN,62,206,268
TOTAL RAMA, ,3064,4486,7550
CIENCIAS EXPERIMENTALES,DIPLOMADO EN ESTADÍSTICA,5,11,16
 ,DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,5,25,30
 ,DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,14,32,46
 ,GRADUADO/A EN BIOLOGÍA,420,479,899
 ,GRADUADO/A EN BIOQUÍMICA,66,120,186
 ,GRADUADO/A EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,64,109,173
 ,GRADUADO/A EN CIENCIAS AMBIENTALES,288,173,461
 ,GRADUADO/A EN ESTADÍSTICA,80,60,140
 ,GRADUADO/A EN FÍSICA,245,75,320
 ,GRADUADO/A EN GEOLOGÍA,132,65,197
 ,GRADUADO/A EN MATEMÁTICAS,188,146,334
 ,GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,134,296,430
 ,GRADUADO/A EN QUÍMICA,157,140,297
 ,LICENCIADO EN BIOLOGÍA,152,260,412
 ,LICENCIADO EN BIOQUÍMICA,17,25,42
 ,LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,15,63,78
 ,LICENCIADO EN CIENCIAS AMBIENTALES,120,114,234
 ,LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,16,17,33
 ,LICENCIADO EN FÍSICA,94,40,134
 ,LICENCIADO EN GEOLOGÍA,34,20,54
 ,LICENCIADO EN MATEMÁTICAS,53,44,97
 ,LICENCIADO EN QUÍMICA,53,69,122
TOTAL RAMA, ,2352,2383,4735
CIENCIAS SOCIALES Y JURÍDICAS,DIPLOMADO EN BIBLIOTECONOMÍA Y DOCUMENTACIÓN,5,6,11
 ,DIPLOMADO EN CIENCIAS EMPRESARIALES,149,207,356
 ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""CEUTA""",7,6,13
 ,"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",6,6,12
 ,DIPLOMADO EN EDUCACIÓN SOCIAL,1,14,15
 ,"DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA ""MELILLA""",,2,2
 ,DIPLOMADO EN RELACIONES LABORALES,136,236,372
 ,"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",,1,1
 ,DIPLOMADO EN TRABAJO SOCIAL,18,28,46
 ,DIPLOMADO EN TURISMO,19,63,82
 ,"DIPLOMATURA DE RELACIONES LABORALES ""MELILLA""",1,,1
 ,GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),142,116,258
 ,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,669,672,1341
 ,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),107,94,201
 ,GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS-DERECHO,212,316,528
 ,GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,98,90,188
 ,GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,627,163,790
 ,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINIST. Y DERECHO,208,225,433
 ,GRADUADO/A EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,397,159,556
 ,GRADUADO/A EN COMUNICACIÓN AUDIOVISUAL,147,137,284
 ,GRADUADO/A EN CRIMINOLOGÍA,56,102,158
 ,GRADUADO/A EN DERECHO,967,1074,2041
 ,GRADUADO/A EN ECONOMÍA,584,426,1010
