"Tipo","Programa","Tipo de ayuda","Número de beneficiarios"
"Becas Propias de la Universidad de Granada","Programa General","Ayudas de Precios Públicos ",741
"Becas Propias de la Universidad de Granada","Programa General","Ayuda de Material",249
"Becas Propias de la Universidad de Granada","Programa General","Ayudas de Alojamiento",101
"Becas Propias de la Universidad de Granada","Programa General","Becas de Comedor",343
"Becas Propias de la Universidad de Granada","Programa General","Ayudas de tasas para estudios de Máster",120
"Becas Propias de la Universidad de Granada","Becas de programas específicos","Becas de apoyo a la información y orientación universitarias",130
"Becas Propias de la Universidad de Granada","Becas de programas específicos","Premios a los mejores expedientes",160
"Becas Propias de la Universidad de Granada","Becas de programas específicos","Becas Capacitación lingüística",181
"Becas Propias de la Universidad de Granada","Becas de programas específicos","Ayudas para el pago de precios públicos de forma fraccionada mediante contrato de financiación",2090
"Becas Propias de la Universidad de Granada","Gabinete de Asistencia Social a Estudiantes","No especificado",183
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Becas para el Aula Permanente de formación Abierta",69
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Premios de las Olimpiadas",17
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Becas para Cursos de Verano del C. Mediterráneo  (2013/14)",26
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Ayudas de Automatrícula",14
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Becas para adaptación al E.E.E.S (2013-2014)",52
"Becas Propias de la Universidad de Granada","Otras ayudas (financiadas con fondos propios)","Otras becas de apoyo",20
"Becas Propias de la Universidad de Granada","Becas de Enseñanzas Propias","Escuela de Posgrado: Cursos Complementarios",299
"Becas Propias de la Universidad de Granada","Becas de Enseñanzas Propias","Escuela de Posgrado: De Postgrado",168
"Becas Propias de la Universidad de Granada","Becas de Enseñanzas Propias","Escuela de Posgrado: Itinerarios curriculares",176
"Becas Propias de la Universidad de Granada","Becas de Enseñanzas Propias","Becas para Cursos de Verano de Melilla (2013/14)",13
"Becas Propias de la Universidad de Granada","Becas de Enseñanzas Propias","Becas para Cursos de Verano de Ceuta (2013/14)",10
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (alumnos 1º): Marruecos",20
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (alumnos 1º): Eslovaquia",4
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (alumnos 1º): Polonia",4
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (alumnos 1º): República Checa",4
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (alumnos 1º): Rumanía",4
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (renovación): Marruecos",38
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (renovación): Eslovaquia",14
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (renovación): Polonia",15
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (renovación): República Checa",7
"Becas Propias de la Universidad de Granada","Becas Convenios","Precios públicos (renovación): Rumanía",10
