Concepto,Sí / No,Frecuencia,Porcentaje,Porcentaje válido,Porcentaje acumulado
"Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Españolas (Ministerio, Consejerías, etc.)",No,982,"61,5","61,5","61,5"
"Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Españolas (Ministerio, Consejerías, etc.)",Sí,616,"38,5","38,5","100,0"
Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Europeas,No,1575,"98,6","98,6","98,6"
Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Europeas,Sí,23,"1,4","1,4","100,0"
Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Latinoamericanas,No,1578,"98,7","98,7","98,7"
Beca durante estudios: becas de ayuda al estudio de Administraciones Públicas Latinoamericanas,Sí,20,"1,3","1,3","100,0"
Beca durante estudios: otras becas y ayudas al estudio,No,1417,"88,7","88,7","88,7"
Beca durante estudios: otras becas y ayudas al estudio,Sí,181,"11,3","11,3","100,0"
Beca durante estudios: no he disfrutado de beca alguna,No,824,"51,6","51,6","51,6"
Beca durante estudios: no he disfrutado de beca alguna,Sí,774,"48,4","48,4","100,0"
