"Concepto","Sí / No","Frecuencia","Porcentaje","Porcentaje válido","Porcentaje acumulado"
"Tiene empleo en la actualidad","Sí",1073,"67,1","67,1","67,1"
"Tiene empleo en la actualidad","No",525,"32,9","32,9","100,0"
"El trabajo actual es el primer empleo tras finalizar los estudios de máster","Sí",447,"28,0","41,7","41,7"
"El trabajo actual es el primer empleo tras finalizar los estudios de máster","No",626,"39,2","58,3","100,0"
"Realización de actividad laboral remunerada durante los estudios","Sí",561,"35,1","35,1","35,1"
"Realización de actividad laboral remunerada durante los estudios","No",1037,"64,9","64,9","100,0"
"Realización de práctica coordinada por la Universidad de Granada durante los estudios","Sí",842,"52,7","52,7","52,7"
"Realización de práctica coordinada por la Universidad de Granada durante los estudios","No",756,"47,3","47,3","100,0"
"Realización de actividad laboral remunerada después de terminar los estudios de máster","Sí",1363,"85,3","85,3","85,3"
"Realización de actividad laboral remunerada después de terminar los estudios de máster","No",235,"14,7","14,7","100,0"
