Ponencia ,[1] Nº Pub Rev ,[2] Nº Libros ,[3]Nº Capítulos ,[4] Nº Grupos,[5] Nº Invest. ,[6]Nº Invest. UGR 
AGROINDUSTRIAL Y ALIMENTACIÓN ,713,18,143,12,146,122
BIOLOGÍA Y TECNOLOGÍA ,765,15,169,26,297,244
CIENCIAS DE LA SALUD ,4128,161,590,92,1323,886
CIENCIAS EXACTAS Y EXPERIMENTALES ,3324,137,421,58,903,688
HUMANIDADES Y CREACIÓN ARTÍSTICA ,4400,1133,3720,171,2592,1852
"RECURSOS NATURALES, ENERGÍA Y MA ",2150,111,1792,50,676,498
"SOCIALES, ECONÓMICAS Y JURÍDICAS ",2480,646,2106,63,1081,836
TEC. PRODUCCIÓN Y LA CONSTRUCCIÓN ,326,28,56,13,153,125
TEC. INFORMACIÓN Y LA COMUNICACIÓN ,1496,83,348,33,603,400
Total ,19782,2332,9345,518,7774,5651
