Acronym,Call,Inicio,Fin,Responsable,Departamento,Cantidad recibida,Total Proyecto (*),PARTICIPACIÓN
ACTRIS,INFRA-2010-1.1.16,4/1/2011,3/31/2015,"Alados Arboledas, Lucas",Física Aplicada,"75818,86","114727,27",SOCIO
ALGATEC,FP7-SME-2008-1,4/15/2009,8/14/2011,"Martínez Toledo, Victoria",Microbiología,"270600,00","270600,00",SOCIO
ANDARES,FP7-PEOPLE-2012-NIGHT,5/1/2012,11/30/2012,"García López, Ana Isabel",Facultad de Ciencias,"3500,00","3500,00",SOCIO
AUGER2FUTURE,FP7-PEOPLE-2012-IEF,11/12/2013,11/11/2015,"Bueno Villar, Antonio/Codrina, Iona",Física Teórica y del Cosmos,"166336,20","166336,20",INDIVIDUAL
CAPMIX,FP7-ENERGY-2010-FET,10/1/2010,9/30/2014,"Delgado Mora, Ángel",Física Aplicada,"272458,00","353658,00",SOCIO
CHEMiRNA,FP7-PEOPLE-2012-CIG,10/1/2012,9/30/2016,"Sánchez Martín, Rosario/Díaz Mochón, Juan José",Química Farmacéutica y Orgánica,"100000,00","100000,00",INDIVIDUAL
CHEUFDI,FP7-PEOPLE-2012-IRSES,1/7/2013,1/6/2016,"Montoro Ríos, Francisco",Comercialización e Investigación de Mercados,"90090,00","90090,00",SOCIO
CO2SolStock,FP7-ENERGY-2008-FET,4/1/2009,3/31/2012,"Rivadeneyra Ruiz, Maria Angustias",Microbiología,"391130,00","521240,00",SOCIO
COHERENCE,FP7-PEOPLE-2010-ITN,9/1/2011,8/31/2015,"González Férez, Rosario",Física Atómica Molecular y Nuclear,"229580,00","229580,00",SOCIO
ColloDi,FP7-PEOPLE-2010-RG,9/1/2010,12/21/2013,"Cabrerizo Vílchez, Miguel/Julia Maldonado Valderrama",Física Aplicada,"45000,00","45000,00",INDIVIDUAL
CONTAMED,FP7-ENV-2007-1,5/1/2008,10/31/2012,"Olea Serrano, Nicolás",Radiología y Medicina Física,"399073,00","399073,00",SOCIO
COQMITMEL,FP7-PEOPLE-2009-RG,11/1/2009,10/31/2013,"Acuña Castroviejo, Darío/López García, Luis Carlos",Físiología,"100000,00","100000,00",INDIVIDUAL
CUPESSE,FP7-SSH-2013-1,2/1/2014,1/31/2018,"Arco Tirado, Jose",Psicología evolutiva y de la educación,"357816,00","465610,67",SOCIO
Delta-Min,FP7-PEOPLE-2007-1-1-ITN,9/1/2008,8/31/2012,"Rodríguez Navarro, Carlos",Mineralogía y Petrología,"374846,00","374846,00",SOCIO
DIESEL,FP7-PEOPLE-2 FP7,1/1/2015,12/31/2017,"Kowalsky, A/Pérez Sánchez-Cañete, Enrique",Física Aplicada,"254474,10","254474,10",INDIVIDUAL
dustbinMOF,FP7-PEOPLE-2 FP7,2014, 24 meses,"Rodríguez Navarro, Jorge Andrés/Rodríguez-Albelo, Luisa Marleny",Química Inorgánica,"230036,60","230036,60",INDIVIDUAL
EarlyNutrition,FP7-KBBE-2011-5,2/1/2012,1/31/2017,"Campoy Folgoso, Cristina",Pediatría,"202140,00","269520,00",SOCIO
EFFACE,FP7-SSH-2012-2,12/1/2012,3/31/2016,"Fajardo del Castillo, Teresa María",Derecho Internacional Público y Relaciones Internacionales,"105200,00","132800,00",SOCIO
ELDEL,FP7-PEOPLE-2007-1-1-ITN,9/1/2008,8/31/2012,"Defior Citoler, Sylvia",Psicología evolutiva y de la educación,"773527,00","773527,00",SOCIO
Energy IN TIME,FP7-2013-NMP-ENV-EeB,10/1/2013,9/30/2017,"Martín Bautista, María José",Ciencias de la Computación e Inteligencia Artificial,"521090,00","677290,00",SOCIO
ePOOLICE,FP7-SEC-2012-1,1/1/2013,12/31/2015,"Martín Bautista, María José",Ciencias de la Computación e Inteligencia Artificial,"151699,38","207280,00",SOCIO
EuroNeut-41,FP7-HEALTH-2007-A,1/1/2008,3/31/2014,"Conejero Lara, Francisco",Química Física,"1068332,00","1424443,00",SOCIO
EUROSOI+,FP7-ICT-2007-1,1/1/2008,6/30/2011,"Gámiz Pérez, Francisco",Electrónica y Tecnología de Computadores,"363300,09","363300,09",COORDINADOR
FASTDEFORM,FP7-PEOPLE-2011-IEF,7/15/2012,7/14/2014,"Ros Vidal, Eduardo/Pawels, Karl",Arquitectura y Tecnología de Computadores,"168896,00","168896,00",INDIVIDUAL
funDNAmat,FP7-PEOPLE-2010-RG,7/10/2011,7/9/2014,"Rodríguez Navarro, Jorge Andrés/Galindo Cuesta, Miguel",Química Inorgánica,"45000,00","45000,00",INDIVIDUAL
GENDERCIT,FP7-PEOPLE-2012-IRSES,2/1/2013,1/31/2017,"Cuevas López, Mercedes",Didáctica y Organización Escolar,"34980,00","34980,00",SOCIO
GHG Europe,FP7-ENV-2009-1,1/1/2010,9/30/2013,"Kowalski, Andrew",Física Aplicada,"75000,00","100001,00",SOCIO
GLOCALFINEART,FP7-PEOPLE-2013-IAPP,12/1/2013,11/30/2017,"Mazuecos Sánchez, Belén ",Pintura,"288019,63","288019,63",SOCIO
HBP,FP7-ICT-2013-FET-F,10/1/2013,3/31/2016,"Ros Vidal, Eduardo",Arquitectura y Tecnología de Computadores,"150000,00","200000,00",SOCIO
HER-SFR,FP7-PEOPLE-2010-RG,6/1/2011,9/20/2014,"Battaner López, Eduardo/Relaño Pastor, Mónica",Física Teórica y del Cosmos,"45000,00","45000,00",INDIVIDUAL
HiggsTools,FP7-PEOPLE-2012-ITN,1/1/2014,12/31/2017,"Pittau, Roberto",Física Teórica y del Cosmos,"239874,36","239874,36",SOCIO
HIRF SE,FP7-AAT-2007-RTD-1,12/1/2008,5/31/2013,"González García, Salvador",Electromagnetismo y Física de la Materia,"379100,00","492568,00",SOCIO
HPFPLatticeQCD,FP7-PEOPLE-2011-CIG,2/1/2012,1/31/2016,"Gámiz Sánchez, María Elvira",Física Teórica y del Cosmos,"100000,00","100000,00",INDIVIDUAL
InGOS,FP7-INFRASTRUCTURES-2011-1,10/1/2011,9/30/2015,"Serrano Ortiz, Penélope",Ecología,"32315,49","39645,20",SOCIO
LHCtheory,ERC-2011-ADG_20110209,4/1/2012,3/31/2017,"Pittau, Roberto",Física Teórica y del Cosmos,"165600,00","165600,00",SOCIO
MED-SUV,FP7-ENV-2012-two-stage,6/1/2013,5/31/2016,"Ibáñez Godoy, Jesús Miguel",Física Teórica y del Cosmos,"458200,00","600800,00",SOCIO
MEMOLA,FP7-SSH-2013-2,1/1/2014,12/31/2017,"Martín Civantos, Jose María",Historia Medieval y Ciencias y Técnicas Historiográficas,"607726,00","715242,00",COORDINADOR
MEPROCS,FP7-SEC-2011-1,2/1/2012,7/31/2014,"Cordón García, Óscar",Ciencias de la Computación e Inteligencia Artificial,"102185,00","114600,00",SOCIO
MIBISOC,FP7-PEOPLE-ITN-2008,10/1/2009,9/30/2013,"Herrera Triguero, Francisco",Ciencias de la Computación e Inteligencia Artificial,"374655,80","374655,80",SOCIO
MigRom12,FP7-SSH-2012-2,4/1/2013,3/31/2017,"Gamella Mora, Juan Francisco",Antropología Social,"406452,00","540936,00",SOCIO
miSWI,FP7-PEOPLE-2012-CIG,10/1/2012,9/30/2016,"Medina Vico, Pedro",Bioquímica y Biología Molecular I,"100000,00","100000,00",INDIVIDUAL
Mollusc evolution,FP7-PEOPLE-2011-IIF,6/4/2013,6/3/2015,"Checa González, Antonio/Vendrasco Michael",Estratigrafía y Paleontología,"233705,20","233705,20",INDIVIDUAL
MUSES,FP7-ICT-2011-8,10/1/2012,9/30/2015,"Merelo Guervós, Juan Julián",Arquitectura y Tecnología de Computadores,"300900,00","380576,00",SOCIO
MyNewGut,FP7-KBBE-2013-7-single-stage,1/1/2014,1/31/2017,"Campoy Folgoso, Cristina",Pediatría,"150900,00","196400,00",SOCIO
NanoMOF,FP7-NMP-2008-LARGE-2,6/1/2009,5/31/2013,"Rodríguez Navarro, Jorge",Química Inorgánica,"345836,00","451781,00",SOCIO
NANOSIL,FP7-ICT-2007-1,1/1/2008,12/31/2010,"Gámiz Pérez, Francisco",Electrónica y Tecnología de Computadores,"54435,00","70417,58",SOCIO
NFLiquid,FP7-PEOPLE-2010-IEF,3/26/2012,9/30/2013,"Hurtado López, Pablo/de Souza, Vanessa",Electromagnetismo y Física de la Materia,"177380,80","177380,80",INDIVIDUAL
NOVIWAM,FP7-REGIONS-2009-1,2/1/2010,1/31/2013,"Losada Rodríguez, Miguel Ángel",Mecanica de Estructuras e Ingeniería Hidraúlica,"75328,00","84480,00",SOCIO
NUTRIMENTHE,FP7-KBBE-2007-1,3/1/2008,12/31/2013,"Campoy Folgoso, Cristina",Pediatría,"996522,00","1092500,00",COORDINADOR
NutriOmics,FP7-PEOPLE-2012-IEF,4/15/2013,8/4/2015,"Campoy Folgoso, Cristina/ Altmae, Signe",Pediatría,"230036,60","230036,60",INDIVIDUAL
OPTIRAIL,FP7-SST-2012-RTD-1,10/1/2012,9/30/2015,"Benítez Sánchez, José Manuel",Ciencias de la Computación e Inteligencia Artificial,"318200,00","421600,00",SOCIO
PH-1,FP7-PEOPLE-2009-RG,12/1/2009,11/2/2013,"Gómez Vidal, Jose/Díaz Gavilán, Mónica",Química Farmacéutica y Orgánica,"45000,00","45000,00",INDIVIDUAL
PRECISESADS,FP7-IMI-2012,1/1/2014,12/31/2019,Antonio Segura Carretero,Química Analítica,"419580,00","549480,00",SOCIO
PsyCris,FP7-SEC-2012-1,7/1/2013,6/30/2016,"Fernández Santaella, María del Carmen","Personalidad, Evaluación y Tratamiento Psicológico","410836,00","509048,00",SOCIO
QCDense,FP7-PEOPLE-2013-CIG,9/1/2014,8/31/2018,"López Albacete, Javier",Física Teórica y del Cosmos,"100000,00","100000,00",INDIVIDUAL
REAL-TIME ASoC,FP7-PEOPLE-2012-IOF,5/7/2013,5/6/2016,"Ros Vidal, Eduardo/Barranco Expósito, Francisco",Arquitectura y Tecnología de Computadores,"254925,90","254925,90",INDIVIDUAL
REALNET,FP7-ICT-2009-6,2/1/2011,1/31/2014,"Ros Vidal, Eduardo",Arquitectura y Tecnología de Computadores,"272040,00","357920,00",SOCIO
RECOMP,ARTEMIS-2009-1,4/1/2010,3/31/2013,"Díaz Alonso, Javier",Arquitectura y Tecnología de Computadores,"289275,00","578550,00",SOCIO
RSM-Microsphere-IPSC,FP7-PEOPLE-2011-CIG,9/1/2011,8/31/2015,"Sánchez Martín, Rosario",Química Farmacéutica y Orgánica,"100000,00","100000,00",INDIVIDUAL
SMF-PIE,FP7-PEOPLE-ERG-2008,12/1/2008,12/9/2011,"Álvarez Pez, Jose María/Orte Gutiérrez, Ángel",Fisicoquímica,"45000,00","45000,00",INDIVIDUAL
SUP&R ITN,FP7-PEOPLE-2013-ITN,10/1/2013,9/30/2017,"Rubio Gámez, Mª Carmen",Ingeniería de la Construcción y Proyectos de Ingeniería,"229891,62","229891,62",SOCIO
TDSEXPOSURE,FP7-KBBE-2011-5,2/1/2012,1/31/2016,"Martínez de Victoria, Emilio",Fisiología,"35408,67","46422,22",SOCIO
TEE-OFF,FP7-PEOPLE-2011-IIF,8/1/2012,9/25/2014,"Gómez Reyes, José María/Rubio de Casas, Rafael",Ecología,"233705,20","233705,20",INDIVIDUAL
THROUGHFLOW,FP7-PEOPLE-ITN-2008,1/1/2010,12/31/2013,"Braga Alarcón, Juan Carlos",Estratigrafía y Paleontología,"399755,90","399755,90",SOCIO
TOMSY,FP7-ICT-2009-6,4/1/2011,3/31/2014,"Ros Vidal, Eduardo",Arquitectura y Tecnología de Computadores,"434000,00","578000,00",SOCIO
TRAPSENSOR,ERC-2011-StG_20101014,11/1/2011,10/31/2016,"Rodríguez Ruabiales, Daniel",Física Atómica Molecular y Nuclear,"1499280,00","1499280,00",INDIVIDUAL
,,,,,,"17970993,40",,
