, Name,Rank, Web of Science Documents, Normalized Citation Impact, Times Cited, % Docs Cited, % International Collaborations, % Industry Collaborations, Location, ESI Most Cited, THE Ranked, Organization Type, Citation Impact, International Collaborations, Average Percentile, % Documents in Top 1%, % Documents in Top 10%, Journal Normalized Citation Impact, % Highly Cited Papers, Highly Cited Papers, % Hot Papers, Impact Relative to World,h-index
INS All Areas,Autonomous University of Madrid,1,2675,"2,24",30836,"0,84","72,07%","0,22%",SPAIN,YES,YES,Academic,"11,53",1928,"43,04","3,78%","22,06%","1,29","3,7%",99,"0,3%","2,776",61
INS All Areas,University of Valencia,2,2505,"1,95",32124,"0,82","74,25%","0,44%",SPAIN,YES,YES,Academic,"12,82",1860,"44,9","2,67%","19,12%","1,27","2,71%",68,"0,2%","3,089",58
INS All Areas,Autonomous University of Barcelona,3,2451,"1,98",26006,"0,82","71,03%","0,78%",SPAIN,YES,YES,Academic,"10,61",1741,"43,6","2,86%","19,58%","1,28","2,65%",65,"0,2%","2,555",52
INS All Areas,Polytechnic University of Catalonia,4,2353,"1,06",11338,"0,73","52,87%","0,72%",SPAIN,YES,NO,Academic,"4,82",1244,"55,6","0,72%","9,94%","1,08","0,68%",16,0,"1,161",34
INS All Areas,University of Barcelona,5,2233,"1,84",24977,"0,83","68,34%","0,09%",SPAIN,YES,YES,Academic,"11,19",1526,"44,67","2,46%","17,91%","1,26","2,33%",52,"0,13%","2,694",59
INS All Areas,Complutense University of Madrid,6,2227,"1,14",13265,"0,77","55,55%","0,27%",SPAIN,YES,NO,Academic,"5,96",1237,"53,11","0,85%","11,18%","1,08","0,85%",19,0,"1,435",38
INS All Areas,University of Granada,7,1958,"2,14",23238,"0,78","53,32%","0,46%",SPAIN,YES,NO,Academic,"11,87",1044,"46,78","3,52%","18,23%","1,37","3,37%",66,"0,2%","2,858",50
INS All Areas,University of Basque Country,8,1813,"1,33",14606,"0,83","67,29%","0,28%",SPAIN,YES,NO,Academic,"8,06",1220,"47,74","1,32%","14,12%","1,08","1,27%",23,"0,06%","1,94",43
INS All Areas,Polytechnic University of Valencia,9,1661,"1,16",11528,"0,73","42,93%","0,42%",SPAIN,YES,YES,Academic,"6,94",713,"55,67","0,72%","10,48%","1,12","0,84%",14,0,"1,672",30
INS All Areas,University of Sevilla,10,1552,"1,16",7831,"0,74","55,03%","0,39%",SPAIN,YES,NO,Academic,"5,05",854,"53,12","0,52%","11,53%","1,17","0,64%",10,"0,06%","1,215",31
