Rama de conocimiento,Rank,Nombre,Citas,H-index,Perfil,Grupo
Ciencias Biológicas  ,1, REGINO ZAMORA RODRIGUEZ,6279,43,Perfil,RNM220
Ciencias Biológicas  ,2, JOSE L. OLIVER JIMENEZ,4102,27,Perfil,BIO162
Ciencias Biológicas  ,3, JUAN PEDRO MARTINEZ CAMACHO,3296,29,Perfil,BIO165
Ciencias Biológicas  ,4, JUAN MANUEL PLEGUEZUELOS GOMEZ,1833,21,Perfil,RNM254
Ciencias Biológicas  ,5, JOSE ANTONIO LUPIAÑEZ CARA,1808,24,Perfil,BIO157
Ciencias Biológicas  ,6, JUAN GABRIEL MARTINEZ SUAREZ,1632,24,Perfil,RNM339
Ciencias Biológicas  ,7, MANUEL ANGEL GARRIDO RAMOS,1400,25,Perfil,BIO109
Ciencias Biológicas  ,8, FRANCISCO PERFECTTI ALVAREZ,1203,22,Perfil,BIO165
Ciencias Biológicas  ,9, CARMEN ZAMORA MUÑOZ,1178,19,Perfil,RNM102
Ciencias Biológicas  ,10, RAFAEL NAVAJAS PEREZ,964,14,Perfil,BIO200
Ciencias Biológicas  ,11, MICHAEL HACKENBERG,838,12,Perfil,BIO162
Ciencias Biológicas  ,12, PALOMA CARIÑANOS GONZALEZ,809,16,Perfil,RNM130
Ciencias Biológicas  ,13, TOMAS PEREZ CONTRERAS,772,15,Perfil,RNM339
Ciencias Biológicas  ,14, FRANCISCA ALBA SANCHEZ,581,14,Perfil,RNM110
Ciencias Biológicas  ,15, DOMINGO ALCARAZ SEGURA,432,12,Perfil,RNM174
Ciencias Biológicas  ,16, MANUEL CASARES PORCEL,422,9,Perfil,RNM170
Ciencias Biológicas  ,17, MOHAMMED BAKKALI,335,11,Perfil,BIO165
Ciencias Biológicas  ,18, AMALIA PEREZ JIMENEZ,317,8,Perfil,RNM156
Ciencias Biológicas  ,19, JUAN LORITE MORENO,308,10,Perfil,RNM207
Ciencias Biológicas  ,20, MOHAMED ABDELAZIZ MOHAMED,265,8,Perfil,BIO165
Ciencias Biológicas  ,21, JOSE ANGEL TRAVERSO GUTIERREZ,257,8,Perfil,SINGRUPO
Ciencias Biológicas  ,22, EVA ENCARNACION RUFINO PALOMARES,169,5,Perfil,BIO157
Ciencias Biológicas  ,23, GUILLERMO BARTUREN BRIÑAS,80,5,Perfil,BIO162
Ciencias Biológicas  ,24, EVA MARIA CAÑADAS SANCHEZ,53,5,Perfil,RNM207
Ciencias Biológicas  ,25, MIGUEL BALLESTEROS JIMENEZ,29,4,Perfil,RNM207
