Acronym,Call,Inicio,Fin,Responsable,Departamento,Cantidad recibida,Total Proyecto (*),PARTICIPACIÓN
ACTRIS,INFRA-2010-1.1.16,4/1/2011,3/31/2015,"Alados Arboledas, Lucas",Fí­sica Aplicada,"75818,86","114727,27",SOCIO
ALGATEC,FP7-SME-2008-1,4/15/2009,8/14/2011,"Martí­nez Toledo, Victoria",Microbiologí­a,270600,270600,SOCIO
ANDARES,FP7-PEOPLE-2012-NIGHT,5/1/2012,11/30/2012,"Garcí­a López, Ana Isabel",Facultad de Ciencias,3500,3500,SOCIO
AUGER2FUTURE,FP7-PEOPLE-2012-IEF,11/12/2013,11/11/2015,"Bueno Villar, Antonio/Codrina, Iona",Fí­sica Teórica y del Cosmos,"166336,2","166336,2",INDIVIDUAL
CAPMIX,FP7-ENERGY-2010-FET,10/1/2010,9/30/2014,"Delgado Mora, Ángel",Fí­sica Aplicada,272458,353658,SOCIO
CHEMiRNA,FP7-PEOPLE-2012-CIG,10/1/2012,9/30/2016,"Sánchez Martí­n, Rosario/Dí­az Mochón, Juan José",Quí­mica Farmacéutica y Orgánica,100000,100000,INDIVIDUAL
CHEUFDI,FP7-PEOPLE-2012-IRSES,1/7/2013,1/6/2016,"Montoro Rí­os, Francisco",Comercialización e Investigación de Mercados,90090,90090,SOCIO
CO2SolStock,FP7-ENERGY-2008-FET,4/1/2009,3/31/2012,"Rivadeneyra Ruiz, Maria Angustias",Microbiologí­a,391130,521240,SOCIO
COHERENCE,FP7-PEOPLE-2010-ITN,9/1/2011,8/31/2015,"González Férez, Rosario",Fí­sica Atómica Molecular y Nuclear,229580,229580,SOCIO
ColloDi,FP7-PEOPLE-2010-RG,9/1/2010,12/21/2013,"Cabrerizo Ví­lchez, Miguel/Julia Maldonado Valderrama",Fí­sica Aplicada,45000,45000,INDIVIDUAL
CONTAMED,FP7-ENV-2007-1,5/1/2008,10/31/2012,"Olea Serrano, Nicolás",Radiologí­a y Medicina Fí­sica,399073,399073,SOCIO
COQMITMEL,FP7-PEOPLE-2009-RG,11/1/2009,10/31/2013,"Acuña Castroviejo, Darí­o/López Garcí­a, Luis Carlos",Fí­siologí­a,100000,100000,INDIVIDUAL
CUPESSE,FP7-SSH-2013-1,2/1/2014,1/31/2018,"Arco Tirado, Jose",Psicologí­a evolutiva y de la educación,357816,"465610,67",SOCIO
