REFERENCIA,TITULO,ENTIDAD SOLICITANTE,CENTRO,DURACIÓN (AÑOS),"COSTES
DIRECTOS (EUROS)",CONTRATOS PREDOC.
BFU2013-41322-P,DINAMICA DEL EPIGENOMA Y DE LOS PAISAJES REGULADORES DURANTE EL DESARROLLO DE VERTEBRADOS Y LA EVOLUCION DE DEUTEROSTOMOS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO ANDALUZ DE BIOLOGIA DEL DESARROLLO (CABD),3,420.000,1
BFU2013-42709-P,DINAMICA DE LA ORGANIZACION NUCLEAR DURANTE EL DESARROLLO ANIMAL,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO ANDALUZ DE BIOLOGIA DEL DESARROLLO (CABD),3,210.000,1
BFU2013-45866-P,CONTROL DE LA REORGANIZACION EPITELIAL DURANTE LA MORFOGENESIS Y GENERACION DE UN NUEVO MODELO DE ENFERMEDAD,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO ANDALUZ DE BIOLOGIA DEL DESARROLLO (CABD),3,290.000,1
BFU2013-48988-C2-1-P,"APROXIMACION GENETICA, CELULAR Y MOLECULAR PARA IDENTIFICAR MECANISMOS QUE REGULEN LA MIGRACION E INVASION CELULAR",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO ANDALUZ DE BIOLOGIA DEL DESARROLLO (CABD),3,200.000,1
CGL2013-48877-P,INTERACCION VOLCANISMO-HIDROTERMALISMO- PRODUCTIVIDAD CARBONATADA EN LA EXPLOSION CAMBRICA DE GONDWANA OCCIDENTAL,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE ASTROBIOLOGIA (CAB),3,102.000,0
CTQ2013-47401-C2-2-P,MODELOS QUIMICOS PARA EL ORIGEN DE LA HOMOQUIRALIDAD BIOLOGICA: UNA APROXIMACION INTEGRADA TEORICA Y EXPERIMENTAL,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE ASTROBIOLOGIA (CAB),3,20.000,0
BFU2013-43213-P,CONTROL DE LA COMUNICACION CELULAR : DESDE EL NEURODESARROLLO A LA NEURODEGENERACION,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA (CBM),3,400.000,1
BFU2013-43766-P,MECANISMOS IMPLICADOS EN EL MANTENIMIENTO DE LA INTEGRIDAD DEL GENOMA DURANTE EL CICLO CELULAR MITOTICO,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA (CBM),3,140.000,0
BFU2013-45276-P,NUEVAS FUNCIONES REGULADORAS DE LOS NICLEOSOMAS EN LA DUPLICACION E INTEGRIDAD DEL GENOMA,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA (CBM),3,170.000,1
BFU2013-45430-P,ANALISIS GENETICO Y DEL DESARROLLO DEL SISTEMA DE FILTRACION RENAL EN DROSOPHILA MELANOGASTER EN CONDICIONES NORMALES Y PATOLOGICAS.,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA (CBM),3,180.000,1
BIO2013-41489-P,"DESARROLLO DE HERRAMIENTAS GENETICAS PARA LA
MANIPULACION DE BACTERIAS GRAM+ A PARTIR DE LA CARACTERIZACION MOLECULAR DE UN PLASMIDO DE BACILLUS",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE BIOLOGIA MOLECULAR SEVERO OCHOA (CBM),3,140.000,0
AGL2013-46247-P,EFECTOS DEL CONSUMO DE BROTES DE BROCOLI EN POBLACION OBESA,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE EDAFOLOGIA Y BIOLOGIA APLICADA DEL SEGURA (CEBAS),3,90.000,0
CTM2013-43287-P,"IMPLICACIONES EVOLUTIVAS, PAPELES ECOLOGICOS Y VULNERABILIDAD FRENTE A CAMBIOS OCEANICOS DE SIMBIOSIS MARINAS",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE ESTUDIOS AVANZADOS DE BLANES (CEAB),3,145.000,1
FIS2013-41184-P,"OPTOELECTRONICA DE GAPS (SUB)NANOMETRICOS
PLASMONICOS PARA EL DESARROLLO DE ESPECTROSCOPIAS Y MICROSCOPIAS AUMENTADAS POR CAMPO",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE FISICA DE MATERIALES (CFM),3,137.000,1
FIS2013-48286-C2-1-P,-Electronic Processes in Surfaces and Nanostructures,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE FISICA DE MATERIALES (CFM),3,155.000,0
MAT2013-46593-C6-2-P,TEORIA DE PROPIEDADES ELECTRONICAS DE HIBRIDOS COVALENTES EN SUPERFICIES,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE FISICA DE MATERIALES (CFM),3,89.796,0
BFU2013-47014-P,BASES MOLECULARES DE LA ORGANIZACION DEL SEGROSOMA EN LOS SISTEMAS DE PARTICION TIPO III,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE INVESTIGACIONES BIOLOGICAS (CIB),3,90.000,0
BFU2013-48374-P,STRUCTURAL AND FUNCTIONAL CHARACTERIZATION OF TRANSCRIPTION AND TRANSCRIPTION-COUPLED DNA REPAIR,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE INVESTIGACIONES BIOLOGICAS (CIB),3,215.000,1
SAF2013-47997-P,FUNCIONES TRANSCRIPCIONALES Y NO TRANSCRIPCIONALES DE POLYCOMB RING1B EN HOMEOSTASIS DE PROGENITORES,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO DE INVESTIGACIONES BIOLOGICAS (CIB),3,180.000,0
BFU2013-41249-P,ESTRUCTURA DE ADENOVIRUS DE ESPECIES Y GENEROS POCO CARACTERIZADOS: MAS ALLA DE AD5,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,100.000,0
BFU2013-44202-P,CHAPERONAS MOLECULARES: UNA CADENA DE MONTAJE DE MAQUINAS MOLECULARES INVOLUCRADA EN EL PLEGAMIENTO Y DEGRADACION DE PROTEINAS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,280.000,1
BFU2013-47640-P,EL METABOLISMO DEL DIACILGLICEROL EN LA REGULACION DE LA TOLERANCIA DE LAS CELULAS T Y LA EVASION DE TUMORES,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,250.000,1
BFU2013-48828-P,MODELAR COMPORTAMIENTO CELULAR PARA REGULAR LA FUNCION DE LAS CELULAS B: MECANISMOS MOLECULARES IMPLICADOS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,170.000,1
BIO2013-45407-P,IDENTIFICACION DE NUEVOS GENES Y MECANISMOS MOLECULARES IMPLICADOS EN LA ADAPTACION AL CAMBIO CLIMATICO EN ARABIDOPSIS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,200.000,1
BIO2013-46281-P,DINAMICA Y REGULACION DE LA PARED CELULAR BACTERIANA EN INFECCIONES INTRACELULARES,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE BIOTECNOLOGIA (CNB),3,220.000,1
MAT2013-47460-C5-1-P,ACEROS FERRITICO-MARTENSITICOS  9-12%CR AVANZADOS POR MEDIO DE LA OPTIMIZACION DE SU PROCESADO TERMOMECANICO,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE INVESTIGACIONES METALURGICAS (CENIM),3,97.959,1
MAT2013-48483-C2-1-P,"ESTUDIO DE MATERIALES DE BASE ALUMINIO REFORZADOS DE MANERA SELECTIVA MEDIANTE LA TECNICA DE
FRICCION BATIDA.",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),CENTRO NACIONAL DE INVESTIGACIONES METALURGICAS (CENIM),1,24.490,0
CGL2013-43352-P,PROCESOS EPIGENETICOS Y DIVERSIDAD FUNCIONAL EN COMUNIDADES VEGETALES MEDITERRANEAS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION BIOLOGICA DE DOÑANA (EBD),3,150.000,1
CGL2013-43660-P,¿DETERMINAN LAS COMUNIDADES NATIVAS EL EXITO E IMPACTO DE LAS INVASIONES BIOLOGICAS?,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION BIOLOGICA DE DOÑANA (EBD),3,75.000,1
CGL2013-47547-P,PROCESOS MICRO Y MACRO EVOLUTIVOS EN LA DIVERSIFICACION DE ANFIBIOS,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION BIOLOGICA DE DOÑANA (EBD),3,123.000,1
CGL2013-47674-P,PARASITOLOGIA AMBIENTAL Y ECOTOXICOLOGIA EN ARTEMIA NATIVA E INVASORA: UN ENFOQUE TOXICOPROTEOMICO Y TRANSCRIOTOMICO,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION BIOLOGICA DE DOÑANA (EBD),3,135.000,0
CGL2013-47755-P,GENOMICA DE LA CONSERVACION DE LINCES: EVALUACION DE LA VARIACION FUNCIONAL Y DEL PAPEL DE LA SELECCION EN POBLACIONES EN DECLIVE,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION BIOLOGICA DE DOÑANA (EBD),3,120.000,0
CGL2013-48193-C3-1-P,"FUNCIONES MULTIPLES DE SEÑALES SOCIALES: EL SEXO, LA EDAD Y AMBIENTE BACTERIANO PROMUEVEN LAS DIFERENCIAS",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION EXPERIMENTAL DE ZONAS ARIDAS,3,115.000,1
AGL2013-43042-P,"ESTUDIO DE LA FUNCION DE LAS CALEOSINAS DEL POLEN
EN LA FERTILIZACION Y SU IMPORTANCIA EN LA FORMACION DE LA SEMILLA Y EL FRUTO EN CULTIVOS
OLEAGINOSOS",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION EXPERIMENTAL DEL ZAIDIN (EEZ),4,102.000,0
BFU2013-43469-P,"MECANISMOS MOLECULARES ASOCIADOS CON LA SINTESIS
Y TRANSDUCCION DEL SEGUNDO MENSAJERO DIGUANILATO CICLICO (C-DI-GMP) EN BIOFILMS BACTERIANOS",AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION EXPERIMENTAL DEL ZAIDIN (EEZ),3,130.000,0
BFU2013-48282-C2-2-P,REGULACION POR RNAS NO CODIFICANTES DE LA ADAPTACION A ESTRES ABIOTICO EN EL SIMBIONTE DE LEGUMINOSAS SINORHIZOBIUM MELILOTI,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION EXPERIMENTAL DEL ZAIDIN (EEZ),3,100.000,0
BIO2013-42297-P,COMPRENSION DE LOS QUIMIORRECEPTORES CON UNA REGION DE UNION A LIGANDO BIMODULAR,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CSIC),ESTACION EXPERIMENTAL DEL ZAIDIN (EEZ),3,225.000,1
