Código,DENOMINACIÓN GRUPO DE INVESTIGACIÓN,INV,MUJ,REV,LIB,CAP,CON,PROY,CONT
AGR123,BIOTECNOLOGÍA Y ECOFISIOLOGÍA DE CULTIVOS Y PLANTAS DE INTERES ECOLÓGICO.,8,3,14,,3,17,1,
AGR139,FIJACIÓN DE NITRÓGENO,11,5,23,,19,75,4,
AGR141,CONTROL DE CALIDAD NUTRICIONAL ANALIT.Y TOXIC.DE ALIM.Y BEBIDA,23,14,352,20,73,480,4,12
AGR145,FISIOLOGÍA DIGESTIVA Y NUTRICIÓN,28,18,490,7,60,652,13,8
AGR206,"ALIMENTACION, NUTRICION Y ABSORCION",8,6,238,,48,199,9,9
AGR209,FISIOLOGIA Y PATOLOGIA DE PLANTAS DE INTERES EN EL AREA MEDITERRANEA,9,5,16,,2,28,1,
AGR255,"NUTRICION, DIETA Y EVALUACION DE RIESGOS",9,8,149,3,34,194,3,15
AGR269,TECNOLOGIAS AVANZADAS DE PRODUCCION Y FORMULACION DE BIOFERTILIZANTES,7,3,51,1,18,25,6,2
AGR274,BIOACTIVE INGREDIENTS,7,3,322,2,38,342,24,20
BIO103,MIXOBACTERIAS,12,7,64,,17,117,7,4
BIO109,GENOMICA FUNCIONAL Y EVOLUTIVA,11,3,113,,11,99,5,
BIO110,BIORREACTORES,17,7,134,4,45,205,4,24
BIO160,ESTUDIO SUSTANCIAS ANTAGONISTAS PRODUCIDAS POR MICROORGANISMOS,16,7,175,1,4,111,2,41
BIO165,GRUPO DE GENÉTICA EVOLUTIVA,13,5,137,,9,58,4,
BIO176,LEISHMANIOSIS Y ZOONOSIS PARASITARIAS,10,3,85,,3,86,5,
BIO178,EMBRIOLOGIA DEL SISTEMA NERVIOSO,11,6,83,,1,117,2,
BIO188,EXOPOLISACARIDOS MICROBIANOS,13,11,88,2,4,332,5,3
BIO190,MICROORGANISMOS HALOFILOS Y BIORREMEDIACION AMBIENTAL,13,11,69,2,29,58,5,1
