FECHA,AÑO,Doctorando,TITULO_TESIS,APELLIDO1,APELLIDO2,NOMBRE
10-01-2011,2011,"MARTIN MARTINEZ, FRANCISCO JAVIER",MODELIZACIÓN MOLECULAR DE NANOTUBOS DE CARBONO,DOBADO,JIMÉNEZ,JOSÉ ANTONIO
13-01-2011,2011,"GASTELUM CUADRAS, GABRIEL",DESARROLLO Y VALIDACION DE UNA VERSION INFORMATIZADA DEL BODY IMAGE ANXIETY SCALE Y CONTOUR DRAWING RATING SCALE: UN ESTUDIO SOBRE PERCEPCION Y NIVEL DE ANSIEDAD DE LA IMAGEN CORPORAL EN UNIVERSITARIO,VICIANA,RAMÍREZ,JESÚS
14-01-2011,2011,"CAMPO MACHADO, RUTH MARCELA DEL",PERCEPCIONES SOBRE EL USO DE LOS LIBROS DE TEXTO EN LA CARRERA DE FILOLOGÍA E IDIOMAS (INGLÉS) DE LA UNIVERSIDAD NACIONAL DE COLOMBIA. UNA PROPUESTA ALTERNATIVA,ORTEGA,MARTÍN,JOSÉ LUIS
14-01-2011,2011,"ARIAS SANTIAGO, SALVADOR ANTONIO",COMORBIDITIES IN PATIENS WITH ANDROGENETIC ALOPECIA: CARDIOVASCULAR RISK FACTORS AND BENIGN PROSTATIC HYPERPLASIA,GUTIÉRREZ,SALMERÓN,MARÍA TERESA
14-01-2011,2011,"ARIAS SANTIAGO, SALVADOR ANTONIO",COMORBIDITIES IN PATIENS WITH ANDROGENETIC ALOPECIA: CARDIOVASCULAR RISK FACTORS AND BENIGN PROSTATIC HYPERPLASIA,BUENDÍA,EISMAN,AGUSTÍN
14-01-2011,2011,"RIGOSI, ANNA",PHYSICAL AND ECOLOGICAL PROCESSES IN EL GERGAL RESERVOIR (SEVILLE): EFFECTS ON WATER QUALITY,CRUZ,PIZARRO,LUIS JOSÉ
14-01-2011,2011,"RIGOSI, ANNA",PHYSICAL AND ECOLOGICAL PROCESSES IN EL GERGAL RESERVOIR (SEVILLE): EFFECTS ON WATER QUALITY,RUEDA,VALDIVIA,FRANCISCO JOSÉ
14-01-2011,2011,"CAMPO MACHADO, RUTH MARCELA DEL",PERCEPCIONES SOBRE EL USO DE LOS LIBROS DE TEXTO EN LA CARRERA DE FILOLOGÍA E IDIOMAS (INGLÉS) DE LA UNIVERSIDAD NACIONAL DE COLOMBIA. UNA PROPUESTA ALTERNATIVA,BEAS,MIRANDA,MIGUEL
14-01-2011,2011,"PEINADO PEREZ, JESUS ENRIQUE",EFECTO DE LA DISCIPLINA ACADEMICA SOBRE LA PERCEPCION DE LAS COMPETENCIAS BASICAS EN UNIVERSITARIOS CHIHUAHUENSES,VICIANA,RAMÍREZ,JESÚS
14-01-2011,2011,"CARRETERO COCA, MIGUEL",PREVENCION DEL ENVEJECIMIENTO MITOCONDRIAL EN RATONES CON SENESCENCIA ACELERADA MEDIANTE MELATONINA. ESTUDIOS EN CEREBRO Y PULMON,ACUÑA,CASTROVIEJO,DARÍO
14-01-2011,2011,"ARIAS SANTIAGO, SALVADOR ANTONIO",COMORBIDITIES IN PATIENS WITH ANDROGENETIC ALOPECIA: CARDIOVASCULAR RISK FACTORS AND BENIGN PROSTATIC HYPERPLASIA,NARANJO,SINTES,RAMÓN JOSÉ
14-01-2011,2011,"CARRETERO COCA, MIGUEL",PREVENCION DEL ENVEJECIMIENTO MITOCONDRIAL EN RATONES CON SENESCENCIA ACELERADA MEDIANTE MELATONINA. ESTUDIOS EN CEREBRO Y PULMON,ESCAMES,ROSA,GERMAINE
17-01-2011,2011,"VIÑAO MANZANERA, SILVIA",DEL ARTE A LA EDUCACION: LAS POTENCIALIDADES PLASTICAS Y PEDAGOGICAS DE LA ESTETICA TAOISTA,ÁLVAREZ,RODRÍGUEZ,MARÍA DOLORES
20-01-2011,2011,"ERENAS RODRIGUEZ, MIGUEL MARIA",LA COORDENADA TOTAL H EN CIENCIAS ANALITICAS. APLICACION A SENSORES QUIMICOS,CAPITÁN,VALLVEY,LUIS FERMÍN
20-01-2011,2011,"ERENAS RODRIGUEZ, MIGUEL MARIA",LA COORDENADA TOTAL H EN CIENCIAS ANALITICAS. APLICACION A SENSORES QUIMICOS,ORBE,PAYÁ,IGNACIO DE
20-01-2011,2011,"LUENGO MARTIN, JULIAN",SOFT COMPUTING BASED LEARNING AND DATA ANALYSIS: MISSING VALUES AND DATA COMPLEXITY,HERRERA,TRIGUERO,FRANCISCO
20-01-2011,2011,"LOPEZ LEON, RICARDO NORBERTO",LA EDUCACION MUSICAL ESCOLAR (6-12 AÑOS) EN PUERTO RICO: UN ESTUDIO DESDE LA PERSPECTIVA DE LOS MAESTROS DE MUSICA,LORENZO,QUILES,OSWALDO
21-01-2011,2011,"ROHLFS DOMINGUEZ, PALOMA",FACTORES DETERMINANTES DEL CONSUMO INFANTIL DE VERDURAS,VILA,CASTELLAR,JAIME
21-01-2011,2011,"FAJARDO PAREDES, PALOMA CRISTINA",RESULTADOS NEGATIVOS ASOCIADOS A LOS MEDICAMENTOS COMO CAUSA DE CONSULTA A LOS SERVICIOS EN URGENCIAS HOSPITALARIAS,FAUS,DADER,MARÍA JOSÉ
21-01-2011,2011,"SIMON LOPEZ, MARIA",DELITOS CARNALES EN LA ESPAÑA DEL ANTIGUO REGIMEN: EL ESTUPRO Y LOS ABUSOS DESHONESTOS,MARTÍN,CASARES,MARÍA AURELIA
21-01-2011,2011,"FAJARDO PAREDES, PALOMA CRISTINA",RESULTADOS NEGATIVOS ASOCIADOS A LOS MEDICAMENTOS COMO CAUSA DE CONSULTA A LOS SERVICIOS EN URGENCIAS HOSPITALARIAS,ZARZUELO,ZURITA,ANTONIO
21-01-2011,2011,"FAJARDO PAREDES, PALOMA CRISTINA",RESULTADOS NEGATIVOS ASOCIADOS A LOS MEDICAMENTOS COMO CAUSA DE CONSULTA A LOS SERVICIOS EN URGENCIAS HOSPITALARIAS,BAENA,PAREJO,MARÍA ISABEL
24-01-2011,2011,"RECHE GARCIA, CRISTINA",EVALUACION Y ANALISIS DE VARIABLES PSICOLOGICAS IMPLICADAS EN ESGRIMISTAS ESPAÑOLES. SU RELACION CON EL RENDIMIENTO,ROJAS,RUIZ,FRANCISCO JAVIER
24-01-2011,2011,"MARTINEZ LOPERA, EVA MARIA",INDUCCION PROSTAGLANDINAS E2  FRENTE A OXITOCINA INTRAVENOSA Y  FRENTE A CONDUCTA EXPECTANTE  EN GESTANTES CON ROTURA PREMATURA DE MEMBRANAS,PADILLA,VINUESA,CARMEN
24-01-2011,2011,"MARTINEZ LOPERA, EVA MARIA",INDUCCION PROSTAGLANDINAS E2  FRENTE A OXITOCINA INTRAVENOSA Y  FRENTE A CONDUCTA EXPECTANTE  EN GESTANTES CON ROTURA PREMATURA DE MEMBRANAS,FLORIDO,NAVIO,JESÚS
24-01-2011,2011,"MARTINEZ LOPERA, EVA MARIA",INDUCCION PROSTAGLANDINAS E2  FRENTE A OXITOCINA INTRAVENOSA Y  FRENTE A CONDUCTA EXPECTANTE  EN GESTANTES CON ROTURA PREMATURA DE MEMBRANAS,CRUZ,MARTÍNEZ,MILAGROS
24-01-2011,2011,"RECHE GARCIA, CRISTINA",EVALUACION Y ANALISIS DE VARIABLES PSICOLOGICAS IMPLICADAS EN ESGRIMISTAS ESPAÑOLES. SU RELACION CON EL RENDIMIENTO,CEPERO,GONZÁLEZ,MARÍA DEL MAR
24-01-2011,2011,"POLO SERRANO, DAVID",LA COMUNICACION A TRAVES DEL VIDEO STREAMING. ANALISIS DEL CASO YOUTUBE,HERRERO,SOLANA,VÍCTOR FEDERICO
25-01-2011,2011,"DE LA TORRE RUIZ, JOSE MANUEL","LA GESTION DE EQUIPOS: HETEROGENEIDAD EN LA DESTREZA, RENDIMIENTO DE LOS RECIEN LLEGADOS Y TOMA DE DECISIONES MEDIOAMBIENTALES",ARAGÓN,CORREA,JUAN ALBERTO
25-01-2011,2011,"DE LA TORRE RUIZ, JOSE MANUEL","LA GESTION DE EQUIPOS: HETEROGENEIDAD EN LA DESTREZA, RENDIMIENTO DE LOS RECIEN LLEGADOS Y TOMA DE DECISIONES MEDIOAMBIENTALES",MARTÍN,TAPIA,INMACULADA
25-01-2011,2011,"GARCIA MESA, JUAN JOSE",INFLUENCIA DE LOS PROCESOS BIOLOGICOS DE DEPURACION EN LA DISTRIBUCION DE TAMAÑO DE PARTICULAS EN AGUAS RESIDUALES URBANAS,DELGADO,RAMOS,FERNANDO
25-01-2011,2011,"GARCIA MESA, JUAN JOSE",INFLUENCIA DE LOS PROCESOS BIOLOGICOS DE DEPURACION EN LA DISTRIBUCION DE TAMAÑO DE PARTICULAS EN AGUAS RESIDUALES URBANAS,HONTORIA,GARCÍA,ERNESTO JAVIER
25-01-2011,2011,"GARCIA MESA, JUAN JOSE",INFLUENCIA DE LOS PROCESOS BIOLOGICOS DE DEPURACION EN LA DISTRIBUCION DE TAMAÑO DE PARTICULAS EN AGUAS RESIDUALES URBANAS,POYATOS,CAPILLA,JOSÉ MANUEL
28-01-2011,2011,"LUCENA VASCONCELOS, EVELINE",COMPARACION DE COSTE DE DIVERSOS METODOS DE ESTERILIZACION PARA MATERIAL TERMOSENSIBLE UTILIZADOS EN LA CENTRAL DE ESTERILIZACION DEL HOSPITAL UNIVERSITARIO SAN CECILIO DE GRANADA,GUILLÉN,SOLVAS,JOSÉ FRANCISCO
28-01-2011,2011,"RUIZ PLEGUEZUELOS, RAFAEL",LA REBELION NACE EN EL BOSQUE: UNA LECTURA ECOCRITICA DE LA NARRATIVA DE ALAN SILLITOE,CARRETERO,GONZÁLEZ,MARGARITA
28-01-2011,2011,"LUCENA VASCONCELOS, EVELINE",COMPARACION DE COSTE DE DIVERSOS METODOS DE ESTERILIZACION PARA MATERIAL TERMOSENSIBLE UTILIZADOS EN LA CENTRAL DE ESTERILIZACION DEL HOSPITAL UNIVERSITARIO SAN CECILIO DE GRANADA,GUILLÉN,PERALES,ALBERTO
31-01-2011,2011,"BLANCO GUZMAN, MARIO EMILIO",EVOLUCION Y PLAUSIBILIDAD DEL CAMBIO DE CULTURA EN LA UNIVERSIDAD SAINT PAUL,RODRÍGUEZ,FERNÁNDEZ,ANDRÉS
31-01-2011,2011,"BLANCO GUZMAN, MARIO EMILIO",EVOLUCION Y PLAUSIBILIDAD DEL CAMBIO DE CULTURA EN LA UNIVERSIDAD SAINT PAUL,ZARCO,MARTÍN,VICTORIA EUGENIA
31-01-2011,2011,"TAFUR ELBAZ, DANIEL",APLICACION DEL PROGRAMA INFORMATICO DENTALPRINT EN EL ANALISIS DE LAS HUELLAS POR MORDEDURAS HUMANAS,BRAVO,PÉREZ,MANUEL
31-01-2011,2011,"MORALES SANTOS, DIEGO PEDRO",APLICACION DE TECNOLOGIAS RECONFIGURABLES ANALOGICA Y DIGITAL PARA INSTRUMENTACION INTELIGENTE,PALMA,LÓPEZ,ALBERTO JOSÉ
31-01-2011,2011,"MORALES SANTOS, DIEGO PEDRO",APLICACION DE TECNOLOGIAS RECONFIGURABLES ANALOGICA Y DIGITAL PARA INSTRUMENTACION INTELIGENTE,GARCÍA,RÍOS,ANTONIO
31-01-2011,2011,"TAFUR ELBAZ, DANIEL",APLICACION DEL PROGRAMA INFORMATICO DENTALPRINT EN EL ANALISIS DE LAS HUELLAS POR MORDEDURAS HUMANAS,MARTÍN,DE LAS HERAS,STELLA
31-01-2011,2011,"NOGUERA JUAREZ, MARIA DEL PILAR",ANALISIS DE LA ENSEÑANZA DEL ESPAÑOL PARA INMIGRANTES ADULTOS MAGREVIES EN LA PROVINCIA DE GRANADA. ELABORACION DE UN METODO DE ESPAÑOL BASICO,ORTEGA,CARRILLO,JOSÉ ANTONIO
31-01-2011,2011,"NOGUERA JUAREZ, MARIA DEL PILAR",ANALISIS DE LA ENSEÑANZA DEL ESPAÑOL PARA INMIGRANTES ADULTOS MAGREVIES EN LA PROVINCIA DE GRANADA. ELABORACION DE UN METODO DE ESPAÑOL BASICO,VILLENA,HIGUERAS,JOSÉ LUIS
01-02-2011,2011,"MARQUES DE AZEVEDO, ISABELA",INTELIGENCIA EMOCIONAL DOS PROFESSORES DO ENSINO SUPERIOR (INTELIGENCIA EMPOCIONAL EN PROFESORES DE ENSEÑANZA SUPERIOR),SOLA,MARTÍNEZ,TOMÁS
01-02-2011,2011,"GUEDES DE CAMPOS SALVADO PIRES, SOFIA MARGARIDA",A INTELIGENCIA EMOCIONAL EM PROFESSORES DE EDUCAÇAO ESPECIAL DA REGIA DE VISEU,SOLA,MARTÍNEZ,TOMÁS
01-02-2011,2011,"MARQUES DE AZEVEDO, ISABELA",INTELIGENCIA EMOCIONAL DOS PROFESSORES DO ENSINO SUPERIOR (INTELIGENCIA EMPOCIONAL EN PROFESORES DE ENSEÑANZA SUPERIOR),HINOJO,LUCENA,FRANCISCO JAVIER
01-02-2011,2011,"MARQUES DE AZEVEDO, ISABELA",INTELIGENCIA EMOCIONAL DOS PROFESSORES DO ENSINO SUPERIOR (INTELIGENCIA EMPOCIONAL EN PROFESORES DE ENSEÑANZA SUPERIOR),CÁCERES,RECHE,MARÍA DEL PILAR
03-02-2011,2011,"RODRIGUEZ DIEGUEZ, JOSE HORACIO",AVANCES EN SINTESIS ORGANICA MEDIANTE CLORURO DE TITANOCENO: NUEVAS REACCIONES DE DESOXIGENACION Y OLEFINACION DE CARBONILOS,FERNÁNDEZ,BARRERO,ALEJANDRO
