Titulación ,Nº Cursos en  Plan Estudios,Núm. Estud (2007/2008),Media (2007/2008), Núm. Estud (2008/2009),Media (2008/2009),Núm. Estud (2009/2010),Media (2009/2010),Núm. Estud (2010/2011),Media (2010/2011)
DIPLOMADO EN ESTADÍSTICA,3,16,"4,25",11,"5,55",9,"5,67",12,"4,5"
DIPLOMADO EN NUTRICIÓN HUMANA Y DIETÉTICA,3,76,"3,7",76,"3,92",66,"3,94",62,"3,79"
DIPLOMADO EN ÓPTICA Y OPTOMETRÍA,3,62,"3,98",101,"4,14",109,"4,39",110,"4,55"
LICENCIADO EN BIOLOGÍA,5,118,"7,06",146,"7,06",135,"7,36",106,"7,36"
LICENCIADO EN BIOQUÍMICA,2,17,"3,24",21,"2,43",14,3,23,"2,61"
LICENCIADO EN CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS,2,50,"2,92",55,"3,24",64,"2,78",61,"2,92"
LICENCIADO EN CIENCIAS AMBIENTALES,4,123,"6,71",156,"6,43",101,"6,86",93,"7,4"
LICENCIADO EN CIENCIAS Y TÉCNICAS ESTADÍSTICAS,2,19,"2,84",7,3,7,"4,43",8,3
LICENCIADO EN FÍSICA,5,26,"7,19",24,"7,63",35,"7,11",28,"7,54"
LICENCIADO EN GEOLOGÍA,5,59,"8,07",62,"8,18",30,"8,33",23,"7,61"
LICENCIADO EN MATEMÁTICAS,5,30,6,27,"6,44",33,"6,36",25,"6,52"
LICENCIADO EN QUÍMICA,5,64,"8,02",62,"8,42",51,"8,86",43,"9,12"
