Titulación ,Núm. Cursos en  Plan Estudios,Núm. Estud (2007/2008),Media (2007/2008), Núm. Estud (2008/2009),Media (2008/2009),Núm. Estud (2009/2010),Media (2009/2010),Núm. Estud (2010/2011),Media (2010/2011)
"ARQUITECTO","5","141","9,64","103","9,42","110","9,84","134","9,50 "
"ARQUITECTURA TÉCNICA","3","359","6,37","384","6,67","360","6,48","303","6,44 "
"INGENIERÍA SUPERIOR DE CAMINOS, CANALES Y PUERTOS","5","149","10,19","113","11,27","0","0,00","0","0,00 "
"INGENIERO DE TELECOMUNICACIÓN","5","8","5,00","40","5,75","36","6,17","47","6,49 "
"INGENIERO EN ELECTRÓNICA","2","7","5,14","3","8,33","1","10,00","5","6,80 "
"INGENIERO EN INFORMÁTICA","5","71","6,59","64","6,92","84","7,45","61","7,07 "
"INGENIERO QUÍMICO","5","58","7,55","57","7,54","65","7,71","34","7,50 "
"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN","3","47","5,23","35","5,51","79","5,92","52","6,52 "
"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN “CEUTA“","3","9","4,44","3","4,67","7","5,71","2","6,00 "
"INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS","3","47","4,96","50","4,98","61","5,57","59","5,44 "
"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS","5","47","5,94","78","6,71","134","7,95","158","7,95 "
