Titulación ,Núm Cursos en  Plan Estudios,Núm. Estud (2007/2008),Media (2007/2008), Núm. Estud (2008/2009),Media (2008/2009),Núm. Estud (2009/2010),Media (2009/2010),Núm. Estud (2010/2011),Media (2010/2011)
DIPLOMADO EN ENFERMERÍA,3,115,"3,45",121,"3,41",131,"3,86",124,"3,46"
"DIPLOMADO EN ENFERMERÍA ""CEUTA""",3,0,0,1,3,95,"3,55",103,"3,57"
"DIPLOMADO EN ENFERMERÍA ""MELILLA""",3,50,"3,52",49,"3,31",53,"3,36",50,"3,36"
DIPLOMADO EN FISIOTERAPIA,3,49,"3,61",52,"3,33",45,"3,56",38,"3,82"
DIPLOMADO EN LOGOPEDIA,3,50,"3,38",47,"3,43",52,"3,56",56,"3,5"
DIPLOMADO EN TERAPIA OCUPACIONAL,3,49,"3,45",53,"3,42",51,"3,61",64,"3,73"
LICENCIADO EN FARMACIA,5,206,"7,84",205,"8,19",206,"8,15",224,"8,28"
LICENCIADO EN MEDICINA,6,165,6,171,"6,09",180,"6,17",210,"6,24"
LICENCIADO EN ODONTOLOGÍA,5,87,"5,51",66,"5,48",97,"5,51",72,"5,43"
LICENCIATURA EN MEDICINA,6,52,"9,21",21,"12,33",4,15,0,0
