Tipo de titulación,Rama,Núm. medio de créditos matriculados,Núm. medio de créditos presentados,Núm. medio de créditos superados
Primer y segundo ciclo ,ARTES Y HUMANIDADES,"52,4","40,06","35,08"
Primer y segundo ciclo ,CIENCIAS,59,"42,36","34,71"
Primer y segundo ciclo ,CIENCIAS DE LA SALUD,"71,34","54,65","46,55"
Primer y segundo ciclo ,CIENCIAS SOCIALES Y JURÍDICAS,"54,4","41,83","33,05"
Primer y segundo ciclo ,INGENIERÍA Y ARQUITECTURA,"47,56","32,71","26,62"
Primer y segundo ciclo ,TODAS LAS RAMAS,"55,32","41,48","33,85"
Grado,ARTES Y HUMANIDADES,"57,4","50,99","45,21"
Grado,CIENCIAS,"60,13","52,07",39
Grado,CIENCIAS DE LA SALUD,"60,84","57,28","50,95"
Grado,CIENCIAS SOCIALES Y JURÍDICAS,"60,75","56,34","48,8"
Grado,INGENIERÍA Y ARQUITECTURA,"57,73","46,91","34,58"
Grado,TODAS LAS RAMAS,"59,88","54,16","45,91"
Máster,ARTES Y HUMANIDADES,"45,56","41,05","40,98"
Máster,CIENCIAS,"51,53","47,97","47,8"
Máster,CIENCIAS DE LA SALUD,"54,29","52,01","51,95"
Máster,CIENCIAS SOCIALES Y JURÍDICAS,"51,5","46,94","46,85"
Máster,INGENIERÍA Y ARQUITECTURA,"47,33","42,93","42,92"
Máster,TODAS LAS RAMAS,"50,78","46,83","46,75"
