RAMA DE CONOCIMIENTO,PLAN DE ESTUDIOS,Nº MEDIO DE CRÉDITOS MATRICULADOS,Nº MEDIO DE CRÉDITOS PRESENTADOS,Nº MEDIO DE CRÉDITOS SUPERADOS
ARTES Y HUMANIDADES,1er - 2º CICLO,"45,27","32,75","28,52"
CIENCIAS,1er - 2º CICLO,"52,23","36,39","30,11"
CIENCIAS DE LA SALUD,1er - 2º CICLO,"67,77","52,61","46,03"
CIENCIAS SOCIALES Y JURÍDICAS,1er - 2º CICLO,"43,92","33,31","28,05"
INGENIERÍA Y ARQUITECTURA,1er - 2º CICLO,"39,13","26,81","23,03"
ARTES Y HUMANIDADES,GRADO,"57,18","50,9","45,63"
CIENCIAS,GRADO,"59,81","52,63","40,8"
CIENCIAS DE LA SALUD,GRADO,"60,06","56,72","51,3"
CIENCIAS SOCIALES Y JURÍDICAS,GRADO,"58,98","54,21","47,48"
INGENIERÍA Y ARQUITECTURA,GRADO,"54,39","44,49","33,79"
ARTES Y HUMANIDADES,MÁSTER,"48,44","44,22","44,05"
CIENCIAS,MÁSTER,"49,46","45,66","45,52"
CIENCIAS DE LA SALUD,MÁSTER,"55,2","52,8","52,73"
CIENCIAS SOCIALES Y JURÍDICAS,MÁSTER,"52,88","48,54","48,4"
INGENIERÍA Y ARQUITECTURA,MÁSTER,"47,56","41,8","41,66"
