Concepto ,Valoración 1 – 5,Frecuencia,Porcentaje,Porcentaje válido,Porcentaje acumulado
Valoración de oferta formativa (énfasis en la enseñanza práctica),1,709,"21,2912912913","21,2912912913","21,2912912913"
Valoración de oferta formativa (énfasis en la enseñanza práctica),2,948,"28,4684684685","28,4684684685","49,7597597598"
Valoración de oferta formativa (énfasis en la enseñanza práctica),3,890,"26,7267267267","26,7267267267","76,4864864865"
Valoración de oferta formativa (énfasis en la enseñanza práctica),4,579,"17,3873873874","17,3873873874","93,8738738739"
Valoración de oferta formativa (énfasis en la enseñanza práctica),5,204,"6,1261261261","6,1261261261",100
Valoración de oferta formativa (Asesoramiento académico en general),1,459,"13,7837837838","13,7837837838","13,7837837838"
Valoración de oferta formativa (Asesoramiento académico en general),2,805,"24,1741741742","24,1741741742","37,957957958"
Valoración de oferta formativa (Asesoramiento académico en general),3,1300,"39,039039039","39,039039039","76,996996997"
Valoración de oferta formativa (Asesoramiento académico en general),4,637,"19,1291291291","19,1291291291","96,1261261261"
Valoración de oferta formativa (Asesoramiento académico en general),5,129,"3,8738738739","3,8738738739",100
Valoración de oferta formativa (Calidad de la docencia),1,116,"3,4834834835","3,4834834835","3,4834834835"
Valoración de oferta formativa (Calidad de la docencia),2,414,"12,4324324324","12,4324324324","15,9159159159"
Valoración de oferta formativa (Calidad de la docencia),3,1240,"37,2372372372","37,2372372372","53,1531531532"
Valoración de oferta formativa (Calidad de la docencia),4,1274,"38,2582582583","38,2582582583","91,4114114114"
Valoración de oferta formativa (Calidad de la docencia),5,286,"8,5885885886","8,5885885886",100
Valoración de oferta formativa (Capacidad de trabajo en equipo),1,139,"4,1741741742","4,1741741742","4,1741741742"
Valoración de oferta formativa (Capacidad de trabajo en equipo),2,402,"12,0720720721","12,0720720721","16,2462462462"
Valoración de oferta formativa (Capacidad de trabajo en equipo),3,948,"28,4684684685","28,4684684685","44,7147147147"
Valoración de oferta formativa (Capacidad de trabajo en equipo),4,1311,"39,3693693694","39,3693693694","84,0840840841"
Valoración de oferta formativa (Capacidad de trabajo en equipo),5,530,"15,9159159159","15,9159159159",100
Valoración de oferta formativa (Capacidad de liderazgo),1,314,"9,4294294294","9,4294294294","9,4294294294"
Valoración de oferta formativa (Capacidad de liderazgo),2,694,"20,8408408408","20,8408408408","30,2702702703"
Valoración de oferta formativa (Capacidad de liderazgo),3,1253,"37,6276276276","37,6276276276","67,8978978979"
Valoración de oferta formativa (Capacidad de liderazgo),4,846,"25,4054054054","25,4054054054","93,3033033033"
Valoración de oferta formativa (Capacidad de liderazgo),5,223,"6,6966966967","6,6966966967",100
Valoración de oferta formativa (Capacidad de análisis y síntesis),1,139,"4,1741741742","4,1741741742","4,1741741742"
Valoración de oferta formativa (Capacidad de análisis y síntesis),2,428,"12,8528528529","12,8528528529","17,027027027"
Valoración de oferta formativa (Capacidad de análisis y síntesis),3,1139,"34,2042042042","34,2042042042","51,2312312312"
Valoración de oferta formativa (Capacidad de análisis y síntesis),4,1244,"37,3573573574","37,3573573574","88,5885885886"
Valoración de oferta formativa (Capacidad de análisis y síntesis),5,380,"11,4114114114","11,4114114114",100
Valoración de oferta formativa (Capacidad de ordenación y planificación),1,134,"4,024024024","4,024024024","4,024024024"
Valoración de oferta formativa (Capacidad de ordenación y planificación),2,406,"12,1921921922","12,1921921922","16,2162162162"
Valoración de oferta formativa (Capacidad de ordenación y planificación),3,1084,"32,5525525526","32,5525525526","48,7687687688"
Valoración de oferta formativa (Capacidad de ordenación y planificación),4,1266,"38,018018018","38,018018018","86,7867867868"
Valoración de oferta formativa (Capacidad de ordenación y planificación),5,440,"13,2132132132","13,2132132132",100
Valoración de oferta formativa (Capacidad de resolución de problemas),1,165,"4,954954955","4,954954955","4,954954955"
Valoración de oferta formativa (Capacidad de resolución de problemas),2,499,"14,984984985","14,984984985","19,9399399399"
Valoración de oferta formativa (Capacidad de resolución de problemas),3,1102,"33,0930930931","33,0930930931","53,033033033"
Valoración de oferta formativa (Capacidad de resolución de problemas),4,1164,"34,954954955","34,954954955","87,987987988"
Valoración de oferta formativa (Capacidad de resolución de problemas),5,400,"12,012012012","12,012012012",100
Valoración de oferta formativa (Diseño del plan de estudios),1,292,"8,7687687688","8,7687687688","8,7687687688"
Valoración de oferta formativa (Diseño del plan de estudios),2,705,"21,1711711712","21,1711711712","29,9399399399"
Valoración de oferta formativa (Diseño del plan de estudios),3,1377,"41,3513513514","41,3513513514","71,2912912913"
Valoración de oferta formativa (Diseño del plan de estudios),4,813,"24,4144144144","24,4144144144","95,7057057057"
Valoración de oferta formativa (Diseño del plan de estudios),5,143,"4,2942942943","4,2942942943",100
Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas),1,84,"2,5225225225","2,5225225225","2,5225225225"
Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas),2,312,"9,3693693694","9,3693693694","11,8918918919"
Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas),3,866,"26,006006006","26,006006006","37,8978978979"
Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas),4,1424,"42,7627627628","42,7627627628","80,6606606607"
Valoración de oferta formativa (Equipamiento y fondos bibliográficos en las bibliotecas),5,644,"19,3393393393","19,3393393393",100
Valoración de oferta formativa (Equipamiento técnico (ordenadores. Internet. etc.)),1,288,"8,6486486486","8,6486486486","8,6486486486"
Valoración de oferta formativa (Equipamiento técnico (ordenadores. Internet. etc.)),2,694,"20,8408408408","20,8408408408","29,4894894895"
Valoración de oferta formativa (Equipamiento técnico (ordenadores. Internet. etc.)),3,1141,"34,2642642643","34,2642642643","63,7537537538"
Valoración de oferta formativa (Equipamiento técnico (ordenadores. Internet. etc.)),4,931,"27,957957958","27,957957958","91,7117117117"
Valoración de oferta formativa (Equipamiento técnico (ordenadores. Internet. etc.)),5,276,"8,2882882883","8,2882882883",100
Valoración de oferta formativa (Equipamiento técnico (Servicio prestado por Biblioteca Universitaria),1,61,"1,8318318318","1,8318318318","1,8318318318"
Valoración de oferta formativa (Equipamiento técnico (Servicio prestado por Biblioteca Universitaria),2,179,"5,3753753754","5,3753753754","7,2072072072"
Valoración de oferta formativa (Equipamiento técnico (Servicio prestado por Biblioteca Universitaria),3,777,"23,3333333333","23,3333333333","30,5405405405"
Valoración de oferta formativa (Equipamiento técnico (Servicio prestado por Biblioteca Universitaria),4,1468,"44,0840840841","44,0840840841","74,6246246246"
Valoración de oferta formativa (Equipamiento técnico (Servicio prestado por Biblioteca Universitaria),5,845,"25,3753753754","25,3753753754",100
Valoración de oferta formativa (Formación teórica),1,65,"1,951951952","1,951951952","1,951951952"
Valoración de oferta formativa (Formación teórica),2,305,"9,1591591592","9,1591591592","11,1111111111"
Valoración de oferta formativa (Formación teórica),3,1049,"31,5015015015","31,5015015015","42,6126126126"
Valoración de oferta formativa (Formación teórica),4,1488,"44,6846846847","44,6846846847","87,2972972973"
Valoración de oferta formativa (Formación teórica),5,423,"12,7027027027","12,7027027027",100
Valoración de oferta formativa (Habilidades de comunicación oral),1,279,"8,3783783784","8,3783783784","8,3783783784"
Valoración de oferta formativa (Habilidades de comunicación oral),2,679,"20,3903903904","20,3903903904","28,7687687688"
Valoración de oferta formativa (Habilidades de comunicación oral),3,1181,"35,4654654655","35,4654654655","64,2342342342"
Valoración de oferta formativa (Habilidades de comunicación oral),4,944,"28,3483483483","28,3483483483","92,5825825826"
Valoración de oferta formativa (Habilidades de comunicación oral),5,247,"7,4174174174","7,4174174174",100
Valoración de oferta formativa (Habilidades de comunicación escrita),1,154,"4,6246246246","4,6246246246","4,6246246246"
Valoración de oferta formativa (Habilidades de comunicación escrita),2,463,"13,9039039039","13,9039039039","18,5285285285"
Valoración de oferta formativa (Habilidades de comunicación escrita),3,1136,"34,1141141141","34,1141141141","52,6426426426"
Valoración de oferta formativa (Habilidades de comunicación escrita),4,1282,"38,4984984985","38,4984984985","91,1411411411"
Valoración de oferta formativa (Habilidades de comunicación escrita),5,295,"8,8588588589","8,8588588589",100
Valoración de oferta formativa (Habilidades informáticas y de gestión de la información),1,383,"11,5015015015","11,5015015015","11,5015015015"
Valoración de oferta formativa (Habilidades informáticas y de gestión de la información),2,834,"25,045045045","25,045045045","36,5465465465"
Valoración de oferta formativa (Habilidades informáticas y de gestión de la información),3,1180,"35,4354354354","35,4354354354","71,981981982"
Valoración de oferta formativa (Habilidades informáticas y de gestión de la información),4,751,"22,5525525526","22,5525525526","94,5345345345"
Valoración de oferta formativa (Habilidades informáticas y de gestión de la información),5,182,"5,4654654655","5,4654654655",100
Valoración de oferta formativa (Iniciativa y espíritu emprendedor),1,517,"15,5255255255","15,5255255255","15,5255255255"
Valoración de oferta formativa (Iniciativa y espíritu emprendedor),2,904,"27,1471471471","27,1471471471","42,6726726727"
Valoración de oferta formativa (Iniciativa y espíritu emprendedor),3,1041,"31,2612612613","31,2612612613","73,9339339339"
Valoración de oferta formativa (Iniciativa y espíritu emprendedor),4,640,"19,2192192192","19,2192192192","93,1531531532"
Valoración de oferta formativa (Iniciativa y espíritu emprendedor),5,228,"6,8468468468","6,8468468468",100
Valoración de oferta formativa (Oferta de cursos complementarios),1,428,"12,8528528529","12,8528528529","12,8528528529"
Valoración de oferta formativa (Oferta de cursos complementarios),2,1004,"30,1501501502","30,1501501502","43,003003003"
Valoración de oferta formativa (Oferta de cursos complementarios),3,1063,"31,9219219219","31,9219219219","74,9249249249"
Valoración de oferta formativa (Oferta de cursos complementarios),4,657,"19,7297297297","19,7297297297","94,6546546547"
Valoración de oferta formativa (Oferta de cursos complementarios),5,178,"5,3453453453","5,3453453453",100
Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales),1,1428,"42,8828828829","42,8828828829","42,8828828829"
Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales),2,989,"29,6996996997","29,6996996997","72,5825825826"
Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales),3,598,"17,957957958","17,957957958","90,5405405405"
Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales),4,245,"7,3573573574","7,3573573574","97,8978978979"
Valoración de oferta formativa (Oferta de trabajo en prácticas y otras experiencias laborales),5,70,"2,1021021021","2,1021021021",100
Valoración de oferta formativa (Preparación proporcionada para la inserción laboral),1,1160,"34,8348348348","34,8348348348","34,8348348348"
Valoración de oferta formativa (Preparación proporcionada para la inserción laboral),2,1005,"30,1801801802","30,1801801802","65,015015015"
Valoración de oferta formativa (Preparación proporcionada para la inserción laboral),3,793,"23,8138138138","23,8138138138","88,8288288288"
Valoración de oferta formativa (Preparación proporcionada para la inserción laboral),4,310,"9,3093093093","9,3093093093","98,1381381381"
Valoración de oferta formativa (Preparación proporcionada para la inserción laboral),5,62,"1,8618618619","1,8618618619",100
Valoración de oferta formativa (Razonamiento crítico),1,194,"5,8258258258","5,8258258258","5,8258258258"
