Disciplina científica ,[1] ed. 2013,[2] ed. 2014 
DOCUMENTACIÓN ,1,1
EDUCACIÓN ,1,1
INFORMÁTICA ,1,1
ESTADÍSTICA ,2,1
ACTIVIDAD FÍSICA Y DEPORTE ,1,1
ODONTOLOGÍA ,1,2
GEOCIENCIAS ,2,2
PSICOLOGÍA ,3,2
REHABILITACIÓN Y FISIOTERAPIA ,2,3
INGENIERÍA ELÉCTRICA Y ELECTRÓNICA ,4,3
SALUD PÚBLICA ,4,4
AGRICULTURA ,5,4
ECOLOGÍA Y CIENCIAS MEDIOAMBIENTALES ,6,5
CIENCIA Y TECNOLOGÍA DE LOS ALIMENTOS ,11,7
CIENCIA POLÍTICA ,12,7
INGENIERÍA INDUSTRIAL ,15,7
FARMACIA Y TOXICOLOGÍA ,8,8
NEUROCIENCIAS ,9,8
INGENIERÍA CIVIL ,9,6
GEOGRAFÍA Y URBANISMO ,10,9
