 Campo Científico , Ed 2010 2005-2010 , Ed 2011 2006-2011 
Tecnologías de la Información y la Comunicaciones ,2, 1 - Sube 
Ciencias de la Tierra y Medioambientales ,3, 3 - Igual 
Matemáticas ,4, 3 - Sube 
Psicología y Educación ,2, 3 - Baja 
Otras Ciencias Sociales ,7, 4 - Sube 
Física ,6, 6 - Igual 
"Economía, Empresa y Negocios ",21, 8 - Sube 
Ciencias Agrarias ,8, 9 - Baja 
Medicina y Farmacia ,10, 10 - Igual 
Ingenierías ,15, 11 - Sube 
Ciencias Biológicas ,15, 11 - Sube 
Química e Ingeniería Química ,16, 16 - Igual 
