"Posición","IDSL","Universidad"
1,100,"UGR"
2,"65,795870372","ULPGC"
3,"62,2452151797","ULL"
4,"58,6311821235","UMH"
5,"47,7443108255","UZ"
6,"46,0211653594","UDC"
7,"34,6504061074","US"
8,"34,4462460119","USC"
9,"32,7841600614","UPC"
10,"29,2539360764","UV"
11,"28,6290494771","UA"
12,"27,3639972059","UCA"
13,"22,1871210632","UOC"
14,"21,7969290761","UDEUSTO"
15,"19,4296280236","UPV"
16,"19,2386015765","UEX"
17,"19,0124791045","UCO"
18,"18,2526423291","USAL"
19,"16,0345641234","UDG"
20,"15,750211173","UCM"
21,"14,9588757648","UJI"
22,"14,6753665793","UMA"
23,"14,1951257273","UAB"
24,"14,0732653736","UC3M"
25,"14,0585202643","UCLM"
26,"13,5099619919","UVA (Valladolid)"
27,"12,7336086098","EHU"
28,"12,3215758874","URJC"
29,"11,8180353559","UDL"
30,"11,7176703656","UPM"
31,"11,5398992761","UM"
32,"11,4944024154","UIB"
33,"10,9641462749","UPF"
34,"10,5413946431","UNED"
35,"10,3542798037","UB"
36,"8,7330683578","UHU"
37,"8,5897444984","UC"
38,"8,2929281172","UNIOVI"
39,"8,0887561789","UJA"
40,"8,0353281052","UNILEON"
41,"8,0192002791","UNIA"
42,"7,847149319","UAL"
43,"7,3961888497","UAM"
44,"6,8555339035","UPCT"
45,"6,4247054226","UCAM"
46,"6,1621086557","MU"
47,"5,6564633271","UEM"
48,"5,6370191789","UPO"
49,"5,6233771401","VIU"
50,"5,5499763331","URV"
51,"5,4216300161","UPNA"
52,"5,4134775155","UDIMA"
53,"5,1871237572","UAH"
54,"4,9063402551","UBU"
55,"4,8388270239","UV (Valencia)"
56,"4,7760542752","UCHCEU"
57,"4,5779958342","URL"
58,"4,5487020906","UIC"
59,"4,1880863789","UNAV"
60,"3,9135573132","UFV"
61,"3,851522598","UAX"
62,"2,9278224823","UPCOMILLAS"
63,"2,9259399384","USJ"
64,"2,4444728121","UNIR"
65,"2,3776709572","UCV"
66,"2,3445695651","CEU-USP"
67,"2,2178210801","UVIC"
68,"2,1959156269","UEMC"
69,"2,089248257","UPSA"
70,"1,5193283639","UAO"
71,"1,4771853458","UCAV"
72,"1,4518007378","UNIRIOJA"
73,"0,9089801375","IE"
74,"0,5980480223","UIMP"
75,"0,4368239625","UCJC"
76,0,"UNEBRIJA"
