Rama,Rank ,Nombre ,Citas ,h-index ,Perfil,Grupo
Ciencias Biológicas  ,1, REGINO ZAMORA RODRIGUEZ,6588,44,http://scholar.google.com/citations?user=zsEqa94AAAAJ&hl=es,RNM220
Ciencias Biológicas  ,2, JORGE CASTRO GUTIERREZ,4269,27,http://scholar.google.es/citations?user=d5SEfi0AAAAJ&hl=es,RNM918
Ciencias Biológicas  ,3, JOSE L. OLIVER JIMENEZ,4163,27,http://scholar.google.es/citations?user=b-W6XPMAAAAJ&hl=es,BIO162
Ciencias Biológicas  ,4, JOSE ANTONIO HODAR CORREA,3515,31,https://scholar.google.es/citations?user=yRmV3mwAAAAJ&hl=es,RNM220
Ciencias Biológicas  ,5, JUAN PEDRO MARTINEZ CAMACHO,3413,30,http://scholar.google.es/citations?user=ogjZENgAAAAJ&hl=es,BIO165
Ciencias Biológicas  ,6, JUAN GABRIEL MARTINEZ SUAREZ,2430,27,http://scholar.google.es/citations?user=3K4FdCoAAAAJ&hl=es,RNM339
Ciencias Biológicas  ,7, JAVIER ALBA TERCEDOR,2331,23,https://scholar.google.es/citations?user=wJ04oP8AAAAJ&hl=es,RNM102
Ciencias Biológicas  ,8, JUAN MANUEL PLEGUEZUELOS GOMEZ,1961,21,http://scholar.google.es/citations?user=7RpXDWsAAAAJ&hl=es,RNM254
Ciencias Biológicas  ,9, JOSE ANTONIO LUPIAÑEZ CARA,1854,24,http://scholar.google.es/citations?user=euAKVnMAAAAJ&hl=es,BIO157
Ciencias Biológicas  ,10, MANUEL ANGEL GARRIDO RAMOS,1457,26,http://scholar.google.es/citations?user=lKgwQoUAAAAJ&hl=es,BIO109
Ciencias Biológicas  ,11, FRANCISCO PERFECTTI ALVAREZ,1287,22,http://scholar.google.com/citations?user=ZYKvJQcAAAAJ&hl=es,BIO165
Ciencias Biológicas  ,12, CARMEN ZAMORA MUÑOZ,1244,20,http://scholar.google.es/citations?user=wk2Py8gAAAAJ&hl=es,RNM102
Ciencias Biológicas  ,13, RAFAEL NAVAJAS PEREZ,1009,14,http://scholar.google.es/citations?user=q-LsHfYAAAAJ&hl=es,BIO200
Ciencias Biológicas  ,14, PALOMA CARIÑANOS GONZALEZ,907,17,http://scholar.google.es/citations?user=zVd0WzoAAAAJ&hl=es,RNM130
Ciencias Biológicas  ,15, MICHAEL HACKENBERG,901,13,http://scholar.google.es/citations?user=qtXYrNUAAAAJ&hl=es,BIO162
Ciencias Biológicas  ,16, TOMAS PEREZ CONTRERAS,803,15,http://scholar.google.es/citations?user=nJO8Vh8AAAAJ&hl=es,RNM339
Ciencias Biológicas  ,17, FRANCISCO DAVID MARTIN OLIVA,776,13,https://scholar.google.es/citations?user=nc-zs00AAAAJ&hl=es,BIO178
Ciencias Biológicas  ,18, FRANCISCA ALBA SANCHEZ,652,14,http://scholar.google.es/citations?user=6t0ivcUAAAAJ&hl=es,RNM110
Ciencias Biológicas  ,19, FRANCISCO ABADIA MOLINA,591,8,https://scholar.google.es/citations?user=vIqAoKsAAAAJ&hl=es,BIO255
Ciencias Biológicas  ,20, DOMINGO ALCARAZ SEGURA,503,12,http://scholar.google.com/citations?user=2nE7TNgAAAAJ&hl=es,RNM174
Ciencias Biológicas  ,21, MANUEL CASARES PORCEL,479,10,http://scholar.google.es/citations?user=bp4FIpIAAAAJ&hl=es,RNM170
Ciencias Biológicas  ,22, JUAN LORITE MORENO,356,10,http://scholar.google.es/citations?user=HQTxWuwAAAAJ&hl=es,RNM207
Ciencias Biológicas  ,23, AMALIA PEREZ JIMENEZ,350,9,http://scholar.google.es/citations?user=Hjjmt-4AAAAJ&hl=es,RNM156
Ciencias Biológicas  ,24, MOHAMMED BAKKALI,343,11,http://scholar.google.es/citations?user=_zkp8oAAAAJ&hl=es,BIO165
Ciencias Biológicas  ,25, MOHAMED ABDELAZIZ MOHAMED,293,8,http://scholar.google.com/citations?user=AODr43MAAAAJ&hl=es,BIO165
Ciencias Biológicas  ,26, JOSE ANGEL TRAVERSO GUTIERREZ,275,8,http://scholar.google.es/citations?user=IIlnvvYAAAAJ&hl=es,SINGRUPO
Ciencias Biológicas  ,27, EVA ENCARNACION RUFINO PALOMARES,183,5,http://scholar.google.es/citations?user=h1VV-KAAAAAJ&hl=es,BIO157
Ciencias Biológicas  ,28, GUILLERMO BARTUREN BRIÑAS,85,5,http://scholar.google.es/citations?user=SqhugoAAAAJ&hl=es,BIO162
Ciencias Biológicas  ,29, EVA MARIA CAÑADAS SANCHEZ,72,7,http://scholar.google.es/citations?user=m7qWNqsAAAAJ&hl=es,RNM207
Ciencias Biológicas  ,30, FRANCISCO JESUS RUIZ-RUANO CAMPAÑA,32,3,http://scholar.google.es/citations?user=pO0HK8AAAAJ&hl=es,BIO165
Ciencias Biológicas  ,30, MIGUEL BALLESTEROS JIMENEZ,32,4,http://scholar.google.es/citations?user=1tIAhHEAAAAJ&hl=es,RNM207
Ciencias Biológicas  ,32, VIRGINIA SALAVERT ANDRES,26,3,http://scholar.google.es/citations?user=sCdMdjMAAAAJ&hl=es,RNM102
Ciencias Biológicas  ,33, ANA MELLADO GARCIA,2,1,https://scholar.google.es/citations?user=X2iWaz8AAAAJ&hl=es,RNM220
Ciencias Biológicas  ,33, BEATRIZ MARIA NAVARRO DOMINGUEZ,2,1,http://scholar.google.es/citations?user=afiir0AAAAJ&hl=es,BIO165
Ciencias Exactas y Naturales  ,1, SERGIO NAVAS CONCHA,62761,61,http://scholar.google.es/citations?user=MLCUktcAAAAJ&hl=es,FQM330
Ciencias Exactas y Naturales  ,2, JUAN ANTONIO AGUILAR SAAVEDRA,34393,88,http://scholar.google.es/citations?user=J3KkU5EAAAAJ&hl=es&oi=sra,FQM101
Ciencias Exactas y Naturales  ,3, ROBERTO PITTAU,11271,42,http://scholar.google.es/citations?user=cQp1BYYAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,4, EDUARDO BATTANER LOPEZ,9863,38,http://scholar.google.es/citations?user=jCT0G40AAAAJ&hl=es,FQM108
Ciencias Exactas y Naturales  ,5, CARLOS MORENO CASTILLA,9197,48,http://scholar.google.es/citations?user=ynEpCS4AAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,6, ANDREW STEPHEN KOWALSKI,9161,28,http://scholar.google.com/citations?user=UfSFNCsAAAAJ&hl=es,RNM119
Ciencias Exactas y Naturales  ,7, JOSE RIVERA UTRILLA,7100,44,http://scholar.google.com/citations?user=TPyqlgYAAAAJ&hl=es,RNM172
Ciencias Exactas y Naturales  ,8, JUAN DE DIOS LUNA DEL CASTILLO,6367,42,http://scholar.google.com/citations?user=AxUQXXcAAAAJ&hl=es,FQM235
Ciencias Exactas y Naturales  ,9, FRANCISCO DEL AGUILA GIMENEZ,6363,47,http://scholar.google.es/citations?user=JRT0TsMAAAAJ&hl=es,FQM101
Ciencias Exactas y Naturales  ,10, ALBERTO FERNANDEZ GUTIERREZ,6066,38,http://scholar.google.es/citations?user=6cm8HLEAAAAJ&hl=es,FQM297
Ciencias Exactas y Naturales  ,11, ANTONIO SEGURA CARRETERO,5962,38,http://scholar.google.com/citations?user=gip_sxsAAAAJ&hl=es,AGR274
