ORIGEN,HOMBRE,MUJER,TOTAL
ÁLAVA,24,47,71
ALBACETE,61,97,158
ALICANTE,172,247,419
ALMERÍA,1372,1906,3278
ASTURIAS,24,30,54
ÁVILA,5,6,11
BADAJOZ,140,199,339
BALEARES,131,250,381
BARCELONA,247,340,587
BURGOS,14,26,40
CÁCERES,57,63,120
CÁDIZ,948,1200,2148
CANTABRIA,17,27,44
CASTELLÓN,10,24,34
CEUTA,408,609,1017
CIUDAD REAL,215,353,568
CÓRDOBA,1016,1471,2487
"CORUÑA, LA",24,33,57
CUENCA,17,27,44
EXTRANJERO,17,17,34
GERONA,54,69,123
GRANADA,10728,13556,24284
GUADALAJARA,5,16,21
GUIPUZCUA,18,25,43
HUELVA,156,179,335
HUESCA,7,16,23
JAÉN,1864,2542,4406
LA RIOJA,11,17,28
LEÓN,19,19,38
LERIDA,18,27,45
LUGO,4,5,9
MADRID,252,325,577
MÁLAGA,1493,1810,3303
MELILLA,451,708,1159
MURCIA,329,427,756
NAVARRA,24,34,58
NINGUNA,400,196,596
ORENSE,5,6,11
PALENCIA,11,8,19
"PALMAS,LAS",168,232,400
PONTEVEDRA,24,20,44
SALAMANCA,15,20,35
SEGOVIA,4,5,9
SEVILLA,294,421,715
SORIA,6,6,12
STA. CRUZ DE TENERIFE,110,119,229
TARRAGONA,15,40,55
TERUEL,6,10,16
TOLEDO,30,48,78
VALENCIA,64,92,156
VALLADOLID,22,25,47
VIZCAYA,41,29,70
ZAMORA,5,5,10
ZARAGOZA,32,37,69
ALBANIA,3,2,5
ALEMANIA,385,130,515
ANDORRA,8,14,22
ANGOLA,2,0,2
ARGELIA,6,6,12
ARGENTINA,95,116,211
ARMENIA,3,3,6
AUSTRALIA,10,3,13
AUSTRIA,31,11,42
BARBADOS,1,0,1
BÉLGICA,69,36,105
BIELORUSIA,0,3,3
BOLIVIA,16,10,26
BOSNIA Y HERZEGOVINA,2,1,3
BRASIL,59,29,88
BULGARIA,21,9,30
CABO VERDE,1,1,2
CANADÁ,20,2,22
CHECOSLOVAQUIA,2,3,5
CHILE,48,17,65
CHINA (REP. POPULAR),19,39,58
CHIPRE,9,3,12
COLOMBIA,55,50,105
CONGO(REP. POPULAR),1,0,1
COREA DEL SUR,8,0,8
COSTA DE MARFIL,0,1,1
COSTA RICA,0,1,1
CROACIA,1,0,1
CUBA,11,11,22
DESCONOCIDO,12,4,16
DINAMARCA,12,3,15
DOMINICA,1,0,1
ECUADOR,33,42,75
EE. UU. DE AMERICA,168,16,184
EGIPTO,1,1,2
EL SALVADOR,2,1,3
ESLOVAQUIA,21,24,45
ESLOVENIA,4,0,4
ESTONIA,6,1,7
ETIOPÍA,1,0,1
FILIPINAS,2,0,2
FINLANDIA,26,5,31
FRANCIA,246,107,353
GEORGIA,0,2,2
GHANA,2,0,2
GIBRALTAR,2,1,3
GRECIA,41,4,45
GUATEMALA,1,2,3
GUINEA BISSAU,1,0,1
GUINEA ECUATORIAL,9,6,15
GUYANA (INGLESA),1,0,1
HAITÍ,1,1,2
HOLANDA (PAISES BAJOS),46,11,57
HONDURAS,2,3,5
HUNGRIA,12,2,14
INDIA,0,1,1
INDONESIA,0,1,1
IRAK,0,1,1
IRLANDA (EIRE),20,4,24
ISRAEL,7,0,7
ITALIA,442,50,492
JAPÓN,5,4,9
JORDANIA,5,4,9
KAZJASTÁN,1,1,2
KENIA,0,2,2
KIRGUISTÁN,3,0,3
KUWAIT,1,0,1
LETONIA,10,3,13
LÍBANO,2,0,2
LITUANIA,4,11,15
LUXEMBURGO,4,1,5
MACAO (CHINA),2,0,2
MARRUECOS,309,447,756
MÉXICO,136,15,151
MOLDAVIA,5,4,9
MÓNACO,1,0,1
MOZAMBIQUE,2,1,3
NICARAGUA,2,3,5
NIGERIA,1,0,1
NORUEGA,16,2,18
NUEVA ZELANDA,1,0,1
PAKISTÁN,0,2,2
PALESTINA,1,0,1
PARAGUAY,4,1,5
PERÚ,29,14,43
POLONIA,101,55,156
PORTUGAL,43,5,48
PUERTO RICO,15,1,16
REINO UNIDO,163,65,228
REP. DOMINICANA,2,6,8
REP. MALGACHE (MADAGASC,1,0,1
REPUB. SUDAFRICANA,0,1,1
REPÚBLICA CHECA,36,15,51
RUMANÍA,34,72,106
RUSIA,1,2,3
__RUSIA__ANTIGUO,33,37,70
SAHARA,6,3,9
SENEGAL,4,3,7
SERBIA,3,0,3
SIRIA,7,2,9
SUDÁFRICA,1,0,1
SUECIA,12,4,16
SUIZA,55,48,103
TAIWAN,1,0,1
THAILANDIA,1,0,1
TÚNEZ,1,0,1
TURKMENISTÁN,0,2,2
TURQUÍA,27,1,28
UCRANIA,19,27,46
URUGUAY,12,10,22
VENEZUELA,28,34,62
TOTALES,24762,29768,54530
