Subprogramas,Crédito,Financiación Específica (externa),Financiación específica (rec. Propios)
541A.1. Política Científica y Bibliotecas,45518159,34811159,2500000
541A.2. Institutos y Centros de Investigación,308940,0,0
Financiación genérica,,,8515940
Total Programa,45827099,34811159,11015940
,,,
,,,
,,,
Subprograma 541A.1: Política Científica y Bibliotecas,,,
Gestión Vicerrectorado de Política Científica e Investigación,20000,,
Plan Propio de Investigación ,3360000,,
Plan Propio de Fomento de la Productividad Investigadora,1000000,,
"Proyectos, Grupos y otras actuaciones de Investigación",27811159,27811159,
Biblioteca Universitaria,3600000,,
Oficina de Proyectos Internacionales,25000,,
Oficina de Transferencia de Resultados de Investigación,2290000,,2250000
Infraestructura Científica  FEDER,7000000,7000000,
Centro de Instrumentación Científica,412000,,250000
Total Subprograma,45518159,34811159,2500000
,,,
,,,
Subprograma 541A.2: Institutos y Centros de Investigación ,,,
Gestión Vicerrectorado del P.T. de Ciencias de la Salud,20000,,
Institutos de Investigación,183540,,
Centro de Investigación Biomédica,30000,,
Otros Centros de Investigación,65400,,
Desarrollo Campus CC Salud,10000,,
Total Subprograma,308940,0,0
