A DEDUCIR (Conceptos autofinanciados),2014
Venta e intercambio de Publicaciones. Editorial,250.000
Comedor Universitario,1.900.000
Alojamiento Residencias Universitarias,200.000
Concesiones administrativas,400.000
Cesión de espacios,100.000
Ingresos diversos,275.000
Cursos de Extensión Universitaria,75.000
Cursos propios Escuela de Posgrado,1.755.250
Centro de Actividades Deportivas,860.000
Precios públicos Centro Instrumentación Científica,250.000
Precios públicos Centro Mediterráneo,150.000
Otros precios públicos,250.000
Centro Mediterráneo,30.000
Aula Permanente de Formación Abierta,125.000
TOTAL CONCEPTOS AUTOFINANCIADOS,6.620.250
