A DETRAER:,2014
Dietas pruebas de acceso y órganos colegiados,175.000
Mantenimiento de equipos informáticos,400.000
Actuaciones Tarjeta Universitaria,100.000
Actuaciones en prevención de riesgos laborales,320.000
Otras prácticas,75.000
Prácticas de odontología,240.000
Primas de seguros,250.000
Apoyo a enseñanzas prácticas,1.750.000
Dietas prácticas de campo,30.000
Dietas tesis doctorales,400.000
Tribunales oposiciones cuerpos docentes,75.000
Vestuario personal laboral fijo y sustituciones,513.972
TOTAL CONCEPTOS A DETRAER,4.328.972
