"Código","Departamento","Val. Puntos  Profesorado ","Val. Cred.  Matrícula ","Asignación Ej.  2014","Asignación Ej.  2013","%  14-13 ","%  Adap. ","Adaptac. ","Distribución  Baremo ","Dietas  Asist. ","Distribución 2014"
"305001","ÁLGEBRA ","7254,00","5087,02","16691,02","20578,65","-18,89","-5,00","-1028,93","19549,72","2628","22177,72"
"305002","ANÁLISIS MATEMÁTICO ","10416,00","8781,96","23547,96","24990,29","-5,77","-5,00","-1249,51","23740,78","0","23740,78"
"305003","ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA ","6789,00","3825,14","14964,14","15994,01","-6,44","-5,00","-799,70","15194,31","0","15194,31"
"305005","BIOLOGÍA CELULAR ","4836,00","6826,47","16012,47","16152,96","-0,87","-0,87","0,00","16012,47","0","16012,47"
"305008","ANATOMÍA Y EMBRIOLOGÍA HUMANA ","6417,00","7105,12","17872,12","22946,19","-22,11","-5,00","-1147,31","21798,88","0","21798,88"
"305009","CIRUGÍA Y SUS ESPECIALIDADES ","15631,44","18772,16","38753,60","41053,30","-5,60","-5,00","-2052,67","39000,64","0","39000,64"
"305010","CONSTRUCCIONES ARQUITECTÓNICAS ","18927,36","30239,62","53516,98","73126,83","-26,82","-5,00","-3656,34","69470,49","0","69470,49"
"305011","DERECHO ADMINISTRATIVO ","10185,36","15317,28","29852,64","36659,99","-18,57","-5,00","-1833,00","34826,99","0","34826,99"
"305012","DERECHO CIVIL ","12183,00","15115,76","31648,76","42521,22","-25,57","-5,00","-2126,06","40395,16","3942","44337,16"
"305013","DERECHO CONSTITUCIONAL ","7626,00","15126,32","27102,32","28711,96","-5,61","-5,00","-1435,60","27276,36","1314","28590,36"
"305014","DERECHO PROCESAL Y ECLESIÁSTICO ","6882,00","12526,58","23758,58","27234,84","-12,76","-5,00","-1361,74","25873,10","0","25873,10"
"305015","DERECHO FINANCIERO Y TRIBUTARIO ","8835,00","13068,44","26253,44","25638,74","2,40","2,40","0,00","26253,44","2628","28881,44"
"305016","DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO ","5580,00","8580,22","18510,22","20586,00","-10,08","-5,00","-1029,30","19556,70","0","19556,70"
"305017","DERECHO MERCANTIL Y DERECHO ROMANO ","8697,36","14465,44","27512,80","29553,42","-6,90","-5,00","-1477,67","28075,75","1314","29389,75"
"305018","DIBUJO ","10788,00","8556,24","23694,24","28567,27","-17,06","-5,00","-1428,36","27138,91","1314","28452,91"
"305019","DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ","5673,00","21503,68","31526,68","22592,95","39,54","10,00","2259,30","24852,25","3942","28794,25"
"305020","DIDÁCTICA DE LAS CIENCIAS SOCIALES ","6231,00","21852,16","32433,16","25929,21","25,08","10,00","2592,92","28522,13","6570","35092,13"
"305021","DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL ","17257,08","51781,18","73388,26","65495,48","12,05","10,00","6549,55","72045,03","27594","99639,03"
"305022","DIDÁCTICA DE LA LENGUA Y LA LITERATURA ","14973,00","32220,32","51543,32","38984,14","32,22","10,00","3898,41","42882,55","19710","62592,55"
"305023","DIDÁCTICA DE LA MATEMÁTICA ","8556,00","24678,28","37584,28","25220,11","49,03","10,00","2522,01","27742,12","5256","32998,12"
"305024","DIDÁCTICA Y ORGANIZACIÓN ESCOLAR ","20739,00","46112,66","71201,66","61090,74","16,55","10,00","6109,07","67199,81","19710","86909,81"
