CATEGORÍA,TIPO,SUELDO (INDIVIDUAL MENSUAL),C. DESTINO / C. SING. CATEG. (INDIVIDUAL MENSUAL),C. DOCTOR / C. ESPECÍFICO (INDIVIDUAL MENSUAL),PLANTILLA,SUELDO (TOTAL ANUAL),C. DESTINO / C. SING. CATEG. (TOTAL ANUAL),C. DOCTOR / C. ESPECÍFICO (TOTAL ANUAL),INDIVIDUAL,TOTAL
Colaborador ,TC,"942,69","1064,97","0,00",149    ,"2.176.240,36 ","1.904.166,36 ","0,00 ","27.385,28 ","4.080.406,72 "
,,,,,,"0,00 ","0,00 ",,,
Profesor Visitante ,TC,"887,22","597,47","0,00",13    ,"1.215,00 ","93.205,32 ","0,00 ","7.263,10 ","94.420,32 "
Profesor Asociado,2,"99,81","112,76","0,00",6    ,"9.278,52 ","8.118,72 ","0,00 ","2.899,54 ","17.397,24 "
Profesor Asociado,3,"133,09","150,35","0,00",63    ,"129.907,26 ","113.664,60 ","0,00 ","3.866,22 ","243.571,86 "
Profesor Asociado ,4,"177,45","200,47","0,00",43    ,"118.221,62 ","103.442,52 ","0,00 ","5.154,98 ","221.664,14 "
Profesor Asociado ,5,"221,81","250,58","0,00",34    ,"116.845,08 ","102.236,64 ","0,00 ","6.443,58 ","219.081,72 "
Profesor Asociado,6,"266,17","300,70","0,00",258    ,"1.063.976,52 ","930.967,20 ","0,00 ","7.732,34 ","1.994.943,72 "
Profesor Ayudante Doctor,TC,"720,88","814,39","118,10",160    ,"1.824.835,20 ","1.563.628,80 ","264.544,00 ","22.831,30 ","3.653.008,00 "
Profesor Ayudante ,TC,"720,88","814,39","0,00",5    ,"55.845,10 ","48.863,40 ","0,00 ","20.941,70 ","104.708,50 "
,,,,,,"0,00 ","0,00 ",,,
,,,,,,"0,00 ","0,00 ",,,
,,,,,,"0,00 ","0,00 ",,,
,,,,,,"0,00 ","0,00 ",,,
Profesor Contratado Doctor,TC,"1109,05","1252,91","0,00",341    ,"5.859.450,74 ","5.126.907,72 ","0,00 ","32.218,06 ","10.986.358,46 "
,,,,,,"0,00 ","0,00 ",,,
Asociados Tipo 2,3,"202,32","116,36","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 2,4,"269,76","155,15","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 2,5,"337,20","193,94","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 2,6,"404,64","232,72","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 2,TC,"887,22","466,36","131,11",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 3,3,"202,32","191,65","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 3,4,"269,76","255,53","0,00",-    ,"0,00 ","0,00 ",,=,"0,00 "
Asociados Tipo 3,5,"337,20","319,41","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 3,6,"404,64","383,29","0,00",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Tipo 3,TC,"887,22","636,70","284,43",-    ,"0,00 ","0,00 ","0,00 ",=,"0,00 "
Asociados Ciencias de la Salud,3,"266,70","0,00","0,00",208    ,"665.683,20 ","0,00 ","0,00 ","3.200,40 ","665.683,20 "
Asociados Extranjeros,TC,"1016,93","683,12","112,39",1    ,"15.673,42 ","8.197,44 ","1.573,46 ","25.444,32 ","25.444,32 "
Profesor Laboral Permanente,TC,"1525,84","914,16","104,67",2    ,"39.357,60 ","21.939,84 ","2.512,08 ","31.904,76 ","63.809,52 "
Profesores de Educación Física,TC,"1512,66","405,90","0,00",4    ,"84.708,96 ","19.483,20 ","0,00 ","26.048,04 ","104.192,16 "
Profesorado EU Enfermería Ceuta,,,,,5    ,,,,,"180.000,00 "
Complemento Autonómico,,,,,,,,,,"695.348,28 "
Docentes por sustituciones,,,,,,,,,,"750.000,00 "
Previsión actuaciones personal Docente e Investigador Contratado,,,,,,,,,,"1.000.000,00 "
TOTAL RETRIBUCIONES PERSONAL DOCENTE  E INVEST. CONTRATADO,,,,,1.292    ,"12.161.238,58","10.044.821,76","268.629,54",,"25.100.038,16"
