Cap.,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.
3,"Tasas, precios públicos y otros ingresos",,,,,,,55.940.000
,30,Tasas,,,,,2.000.000,
,,303,Tasas Académicas,,,2.000.000,,
,,,30300,Por servicios administrativos,2.000.000,,,
,31,Precios públicos,,,,,44.840.000,
,,312,Servicios académicos enseñanzas regladas ,,,44.840.000,,
,,,31200,Enseñanzas de Grado,28.000.000,,,
,,,31201,Enseñanzas de Posgrado oficial,4.000.000,,,
,,,31202,Compensación becarios ,11.000.000,,,
,,,31203,Compensación familias numerosas,1.000.000,,,
,,,31204,Compens.matrícula personal propio,840.000,,,
,32,Ingresos por prestación de servicios,,,,,8.675.000,
,,320,Derechos matrícula cursos y seminarios,,,2.625.000,,
,,,32000,Estudios de Extensión Universitaria,75.000,,,
,,,32001,Cursos de Enseñanzas propias,,,,
,,,32001,Cursos propios de Postgrado,1.500.000,,,
,,,32002,Centro de Actividades Deportivas,300.000,,,
,,,32007,Curso obtención C.A.P.,0,,,
,,,32008,"Inscripciones jornadas,congresos",300.000,,,
,,,32010,Centro Mediterráneo,150.000,,,
,,,32011,Aula Permanente Formación Abierta,50.000,,,
,,,32099,Otros Cursos y Seminarios,250.000,,,
,,323,Contratos artículo 83 LOU,,,2.900.000,,
,,,32300,Contratos OTRI,2.500.000,,,
,,,32302,Contratos Fundación Univ.Empresa,400.000,,,
,,324,Unidades de apoyo a la investigación,,,250.000,,
,,,32400,Centro Instrumentación Científica,250.000,,,
,,325,"Alojamiento, restauración y residencias",,,2.800.000,,
,,,32500,Colegio Mayor Isabel la Católica,700.000,,,
,,,32501,Comedores universitarios,1.900.000,,,
,,,32503,Residencia Corrala de Santiago,100.000,,,
,,,32504,Residencia Carmen de la Victoria,100.000,,,
,,329,Otros ingresos por prestación de servicios,,,100.000,,
,,,32999,Otros por prestación de servicios,100.000,,,
,33,Venta de bienes,,,,,250.000,
,,330,Publicaciones propias,,,250.000,,
,,,33000,Libros y revistas Editorial Universit.,250.000,,,
,,332,Fotocopias y otros productos de reprografía,,,0,,
,,,33202,"Impresos matrícula, preinsc. y otros",0,,,
,39,Otros Ingresos,,,,,175.000,
,,399,Ingresos diversos,,,175.000,,
,,,39900,Reintegro anuncios adjudicatarios,25.000,,,
,,,39999,Otros Ingresos,150.000,,,
