Cap.,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.
5,Ingresos Patrimoniales,,,,,,,1.506.000
,52,Intereses de depósitos,,,,,500.000,
,,520,Intereses de cuentas bancarias,,,500.000,,
,,,52000,De Banco Mare Nostrum,200.000,,,
,,,52001,De otras cuentas y depósitos,300.000,,,
,54,Rentas de bienes inmuebles,,,,,600.000,
,,541,Alquiler y productos de inmuebles,,,600.000,,
,,,54101,Instalaciones deportivas,500.000,,,
,,,54102,Aulas y otros recintos universitarios,100.000,,,
,55,Producto de concesiones y aprov.especiales,,,,,400.000,
,,551,De concesiones administrativas,,400.000,400.000,,
,59,Otros ingresos patrimoniales,,,,,6.000,
,,591,Explotación de patentes,,,6.000,,
,,,59100,Licencias y explotación de patentes,6.000,,,
