SECCIÓN,2013,2014,%
Sección 1ª,10033883,10135373,"1,01"
Sección 2ª,15150000,15500000,"2,31"
Sección 3ª,3302296,3309599,"0,22"
Sección 4ª,4486192,4361991,"-2,77"
Baremo alumnos/profesorado,3047877,2954287,
Distribución lineal,535050,535050,
Dietas reuniones Departamento,273312,265428,
Contrato Progr. Depart. y Morosidad,629953,607225,
Cantidades a detraer,4076729,4328972,"6,19"
TOTAL,37049100,37635935,"1,58"
,,,
Importes autofinanciados (a deducir),6720250,6620250,"-1,49"
,,,
TOTAL CRÉDITOS DISTRIBUIBLES A CENTROS,43769350,44256185,"1,11"
,,,
DISTRIBUCIÓN ECONÓMICA DE LOS CRÉDITOS,,IMPORTES,
A Capítulo 2º,,37256185,
"603.00 MaquinariaCentros, Departamentos y Servicios",,,500000
"605.00 Mobiliario y enseres Centros, Departamentos y Servicios",,,1475000
"606.00 Sistemas procesos información Centros, Depart. y Servicios",,,1000000
608 Inversiones bibliográficas,,4025000,
TOTAL,,44256185,
