ARTICULO/PROGRAMA,422D,541A,321B,TOTALES 
CAPITULO 1º. GASTOS DE PERSONAL,,,,
11 Personal eventual,360.000,,,360.000
12 Personal Funcionario,135.166.123,,48.610,135.214.733
13 Personal laboral,60.499.193,,,60.499.193
14 Otro Personal,991.128,,,991.128
15 Incentivos al rendimiento,12.700.696,,6.585,12.707.281
"16 Cuotas, prestaciones y gastos sociales",37.023.115,,,37.023.115
TOTAL CAPITULO 1º,246.740.255,0,55.195,246.795.449
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
20 Arrendamientos y cánones ,66.000,12.000,369.000,447.000
"21 Reparaciones, mantenimiento y conservación",1.102.000,267.000,4.120.954,5.489.954
"22 Material, suministros y otros de oficina",8.775.334,426.940,20.343.365,29.545.639
23 Indemnizaciones por razón del servicio,1.700.000,100.000,1.208.750,3.008.750
TOTAL CAPITULO 2º,11.643.334,805.940,26.042.069,38.491.343
CAPITULO 3º. GASTOS FINANCIEROS,,,,
31 De préstamos en moneda nacional,0,0,15.000,15.000
TOTAL CAPITULO 3º,0,0,15.000,15.000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,,,,
48 A Familias e Instituciones sin fines de lucro,15.045.000,0,803.524,15.848.524
49  Al exterior,30.000,0,0,30.000
TOTAL CAPITULO 4º,15.075.000,0,803.524,15.878.524
TOTAL OPERACIONES CORRIENTES,273.458.588,805.940,26.915.788,301.180.316
CAPITULO 6º. INVERSIONES REALES,,,,
60  Inversiones de carácter material,400.000,3.600.000,18.624.748,22.624.748
62 Inversiones Infraestructura y Equipamiento Junta Andalucía,,,36.746.055,36.746.055
63 Programas Feder y Campus de Excelencia,0,7.000.000,0,7.000.000
64  Inversiones de carácter inmaterial,1.755.000,34.421.159,,36.176.159
66  Inversiones de Reposición,,,1.700.000,1.700.000
TOTAL CAPITULO 6º,2.155.000,45.021.159,57.070.803,104.246.962
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
78 A Familias e Instituciones sin fines de lucro,250.000,0,118.213,368.213
TOTAL CAPITULO 7º,250.000,0,118.213,368.213
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,
83 Concesión préstamos en sector público,650.000,0,0,650.000
TOTAL CAPITULO 8º,650.000,0,0,650.000
CAPITULO 9º. PASIVOS FINANCIEROS,,,,
91 Amortización de préstamos en moneda nacional,0,0,1.127.217,1.127.217
TOTAL CAPITULO 9º,0,0,1.127.217,1.127.217
TOTAL OPERACIONES DE CAPITAL,3.055.000,45.021.159,58.316.233,106.392.392
,,,,
TOTAL OPERACIONES NO FINANCIERAS,275.863.588,45.827.099,84.104.804,405.795.491
TOTAL OPERACIONES FINANCIERAS,650.000,0,1.127.217,1.777.217
,,,,
TOTAL ESTADO DE GASTOS,276.513.588,45.827.099,85.232.021,407.572.708
