Código,Departamento,Cr. Teo. ,Cr. Prac. ,Coef. Exp. ,Cr. Pra. CEx. ,Cred. Tot. ,Matrículas ,Cred. Pon.
305001,ÁLGEBRA,,,,,,,
,ÁLGEBRA ,169,11,"1,2","13,2","182,2",1918,"11561,4"
,,169,11,,"13,2","182,2",1918,"11561,4"
305002,ANÁLISIS MATEMÁTICO,,,,,,,
,ANÁLISIS MATEMÁTICO ,"224,5",20,"1,2",24,"248,5",3331,19959
,,"224,5",20,,24,"248,5",3331,19959
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,,,,,,,
,ANATOMÍA PATOLÓGICA ,"26,5",4,2,8,"34,5",711,5119
,HISTORIA DE LA CIENCIA ,36,"4,5",1,"4,5","40,5",601,"3574,5"
,,"62,5","8,5",,"12,5",75,1312,"8693,5"
305005,BIOLOGÍA CELULAR,,,,,,,
,BIOLOGÍA CELULAR ,89,"14,5","1,8","26,1","115,1",2095,"15514,7"
,,89,"14,5",,"26,1","115,1",2095,"15514,7"
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,,,,,,,
,ANATOMÍA Y EMBRIOLOGÍA HUMANA ,98,"1,5",2,3,101,2469,16148
,,98,"1,5",,3,101,2469,16148
305009,CIRUGÍA Y SUS ESPECIALIDADES,,,,,,,
,CIRUGÍA ,"92,5",24,2,48,"140,5",2361,"29212,5"
,OFTALMOLOGÍA ,18,0,2,0,18,403,2418
,OTORRINOLARINGOLOGÍA ,"27,5",6,2,12,"39,5",754,"7573,5"
,UROLOGÍA ,14,0,2,0,14,306,2326
,TRAUMATOLOGÍA Y ORTOPEDIA ,18,0,2,0,18,189,1134
,,170,30,,60,230,4013,42664
305010,CONSTRUCCIONES ARQUITECTÓNICAS,,,,,,,
,COMPOSICIÓN ARQUITECTÓNICA ,45,6,"1,6","9,6","54,6",1428,"8029,8"
,CONSTRUCCIONES ARQUITECTÓNICAS ,211,23,"1,6","36,8","247,8",10113,"60696,6"
,,256,29,,"46,4","302,4",11541,"68726,4"
305011,DERECHO ADMINISTRATIVO,,,,,,,
,DERECHO ADMINISTRATIVO ,250,8,1,8,258,5905,34812
,,250,8,,8,258,5905,34812
305012,DERECHO CIVIL,,,,,,,
,DERECHO CIVIL ,"204,5","15,5",1,"15,5",220,5808,34354
,,"204,5","15,5",,"15,5",220,5808,34354
305013,DERECHO CONSTITUCIONAL,,,,,,,
,DERECHO CONSTITUCIONAL ,168,4,1,4,172,5850,34378
,,168,4,,4,172,5850,34378
305014,DERECHO PROCESAL Y ECLESIÁSTICO,,,,,,,
,DERECHO ECLESIÁSTICO DEL ESTADO ,32,4,1,4,36,1750,9234
,DERECHO PROCESAL ,95,4,1,4,99,2952,"19235,5"
,,127,8,,8,135,4702,"28469,5"
305015,DERECHO FINANCIERO Y TRIBUTARIO,,,,,,,
