Tipo de máster,Políticas,Ciencias,Medicina,Letras,BB.AA,CC.Educ,Derecho,Enferm.,ETS.Inform,Psicolog.,Empres.,Hum.Melilla,Caminos,Trab.Social,Edific.,Docum.,FCCAFD,Odontol.,Farmac.,CC.Trabajo,Traduct.,ETS.Arquit.,,
Másteres Oficiales,75,17,70,15,40,30,36,32,24,23,38,22,30,28,50,22,57,24,40,29,40,31,,
,37,26,35,16,34,19,28,,24,31,27,,,,,,60,,112,,,,,
,29,17,39,27,,,31,,38,30,20,,,,,,,,,,,,,
,,23,20,9,,,26,,13,23,,,,,,,,,,,,,,
,,16,24,28,,,,,,39,,,,,,,,,,,,,,
,,35,34,23,,,,,,,,,,,,,,,,,,,,
,,30,32,45,,,,,,,,,,,,,,,,,,,,
,,13,,40,,,,,,,,,,,,,,,,,,,,
,,21,,117,,,,,,,,,,,,,,,,,,,,
,,19,,,,,,,,,,,,,,,,,,,,,,
,,59,,,,,,,,,,,,,,,,,,,,,,
,141,276,254,320,74,49,121,32,99,146,85,22,30,28,50,22,117,24,152,29,40,31,2142,
Másteres propios,25,40,60,25,22,,90,90,,15,,,35,,16,,39,6,40,25,,,,
,30,,25,,43,,46,,,15,,,,,31,,,8,,,,,,
,,,,,,,26,,,,,,,,,,,10,,,,,,
,,,,,,,85,,,,,,,,,,,,,,,,,
,,,,,,,29,,,,,,,,,,,,,,,,,
,,,,,,,39,,,,,,,,,,,,,,,,,
,,,,,,,22,,,,,,,,,,,,,,,,,
,,,,,,,17,,,,,,,,,,,,,,,,,
,,,,,,,50,,,,,,,,,,,,,,,,,3146
,55,40,85,25,65,0,404,90,0,30,0,0,35,0,47,0,39,24,40,25,0,0,1004,
Aula Permanente,,75,200,,,,,,,,,,,,,,,,,,,,,
,"98,7","193,2","177,8",224,"51,8","34,3","84,7","22,4","69,3","102,2","59,5","15,4",21,"19,6",35,"15,4","81,9","16,8","106,4","20,3",28,"21,7",,
,"27,5",20,"42,5","12,5","32,5",0,202,45,0,15,0,0,"17,5",0,"23,5",0,"19,5",12,20,"12,5",0,0,,
,0,"22,5",60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,"126,2","235,7","280,3","236,5","84,3","34,3","286,7","67,4","69,3","117,2","59,5","15,4","38,5","19,6","58,5","15,4","101,4","28,8","126,4","32,8",28,"21,7","2083,9",
