Código,Departamento,Sección departamento,T.C. (PDI),T.P. (PDI),Total (PDI),ETC (PDI),Tr. Doc. (PDI),Tr. Inv. (PDI),Tr. Aut. (PDI)
305001,ÁLGEBRA,ÁLGEBRA ,19,1,20,"19,5",45,87,170
305002,ANÁLISIS MATEMÁTICO,ANÁLISIS MATEMÁTICO ,28,0,28,28,71,120,227
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,ANATOMÍA PATOLÓGICA ,7,3,10,"9,25",30,42,77
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,HISTORIA DE LA CIENCIA ,9,0,9,9,28,49,91
305005,BIOLOGÍA CELULAR,BIOLOGÍA CELULAR ,13,0,13,13,32,50,103
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,ANATOMÍA Y EMBRIOLOGÍA HUMANA ,17,1,18,"17,25",34,71,125
305009,CIRUGÍA Y SUS ESPECIALIDADES,CIRUGÍA ,12,24,36,"21,13",16,67,149
305009,CIRUGÍA Y SUS ESPECIALIDADES,OFTALMOLOGÍA ,4,5,9,"5,88",2,17,41
305009,CIRUGÍA Y SUS ESPECIALIDADES,OTORRINOLARINGOLOGÍA ,4,8,12,"7,38",3,21,41
305009,CIRUGÍA Y SUS ESPECIALIDADES,UROLOGÍA ,1,8,9,4,,6,12
305009,CIRUGÍA Y SUS ESPECIALIDADES,TRAUMATOLOGÍA Y ORTOPEDIA ,1,7,8,"3,63",,6,10
305010,CONSTRUCCIONES ARQUITECTÓNICAS,COMPOSICIÓN ARQUITECTÓNICA ,3,3,6,"5,25",5,12,25
305010,CONSTRUCCIONES ARQUITECTÓNICAS,CONSTRUCCIONES ARQUITECTÓNICAS ,29,23,52,"45,63",5,83,226
305011,DERECHO ADMINISTRATIVO,DERECHO ADMINISTRATIVO ,24,5,29,"27,38",24,58,138
305012,DERECHO CIVIL,DERECHO CIVIL ,30,5,35,"32,75",45,111,215
305013,DERECHO CONSTITUCIONAL,DERECHO CONSTITUCIONAL ,20,1,21,"20,5",33,72,153
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO ECLESIÁSTICO DEL ESTADO ,4,0,4,4,1,11,34
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO PROCESAL ,13,2,15,"14,5",9,45,107
