CONCEPTO,DENOMINACIÓN,CONCEPTOS,ARTÍCULOS,CAPÍTULOS
-,CAPÍTULO 1º .GASTOS DE PERSONAL,,,,
-,Artículo12. Funcionarios,,"48610,00",,
120,Funcionarios. Retribuciones básicas,"20886,00",,
121,Funcionarios. Retribuciones complementarias,"27724,00",,
-,Artículo 13. Laborales,,"0,00",,
130,Personal laboral. Retribuciones básicas,"0,00",,
-,"Artículo 16.Cuotas, prestaciones y gastos sociales empresa",,"0,00",,
160,Cuotas sociales,"0,00",,
-,TOTAL CAPº 1º ,,,"48610,00",
-,CAPÍTULO 1º .GASTOS DE PERSONAL,,,,
-,Artículo 12. Funcionarios,,"48610,00",,
120,Funcionarios. Retribuciones básicas,"20886,00",,
121,Funcionarios. Retribuciones complementarias,"27724,00",,
-,Artículo 15. Incentivos al rendimiento,,"6585,00",,
150,Productividad ,"6585,00",,
-,TOTAL CAPº 1º ,,,"55195,00",
-,CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
-,Artículo 20. Arrendamientos y cánones,,"369000,00",,
202,Arrendtº edificios y otros,"250000,00",,
203,"Arrendtº maquinaria,instalaciones y utillaje","50000,00",,
204,Arrendtº material de transporte,"5000,00",,
205,Arrendtº mobiliario y enseres,"60000,00",,
206,Arrendtº equipo de informática,"2000,00",,
208,Arrendtº otro inmovilizado material,"2000,00",,
-,"Artículo 21. Reparaciones, mantenimiento y conservación",,"4120954,00",,
212,Edificios y otras construcciones,"1326464,00",,
213,"Maquinarias, instalaciones y utillaje","775000,00",,
214,Elementosl de transporte,"20000,00",,
215,Mobiliario y enseres,"200000,00",,
216,Sistemas para procesos de información,"599490,00",,
217,Mantenimiento General y Optimización Energética,"1200000,00",,
-,"Artículo 22. Material, suministros y otros",,"20343365,00",,
220,Material de orficina,"2224908,00",,
221,Suministros,"6400000,00",,
222,Comunicaciones,"1100000,00",,
223,Transportes,"300000,00",,
224,Primas de seguros,"200000,00",,
225,Tributos,"100000,00",,
226,Gastos diversos,"4468457,00",,
226.01,Atenciones protocolarias y de representación,"250000,00",,
227,Trabajos realizados por otras empresas,"5300000,00",,
-,Artículo 23. Indemnizaciones por razón del servicio,,"1208750,00",,
230,Dietas,"608750,00",,
231,Locomoción,"600000,00",,
234,    Asistencias a órganos colegiados,"0,00",,
-,TOTAL CAPº 2º,,,"26042069,00",
-,CAPÍTULO 3º. GASTOS FINANCIEROS,,,,
-,Artículo 31. De préstamos en moneda nacional,,"15000,00",,
310,Intereses operaciones a corto plazo,"15000,00",,
311,"Gastos de emisión, modificación y cancelación","0,00",,
-,TOTAL CAPº 3º,,,"15000,00",
-,CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,,,,
-,Artículo 48. A Familias e instituciones sin fines de lucro,,"803524,00",,
484,Convenios con otras instituciones,"35000,00",,
485,"A Fundac, y otras instituciones sin fines de lucro","730029,00",,
485.03,Al Centro mediterráneo ,"38495,00",,
-,TOTAL CAPº 4º,,,"803524,00",
-,CAPÍTULO 6º. INVERSIONES REALES,,,,
-,Artículo 60. Inversiones de carácter material,,"18624748,00",,
602.00,Construcciones propias,"14046908,00",,
603.00,Maquinaria en general,"500000,00",,
603.03,Maquinaria (equipamiento gral.docente),"400000,00",,
603.04,Maquinaria (equipamiento de gestión),"100000,00",,
605.00,Mobiliario y enseres en general,"1476840,00",,
605.03,Mobiliario y enseres (equip. gral.docente),"400000,00",,
605.04,Mobiliario y enseres (equip.gestión),"75000,00",,
606.00,Sistemas procesos información. en general,"1000000,00",,
606.01,Sistemas procesos información. CSIRC,"240000,00",,
606.02,Sistemas procesos información. Enseñ. Virtuales,"211000,00",,
606.05,Sistemas procesos información de Gestión,"150000,00",,
608,Inversiones bibliográficas,"25000,00",,
-,Artículo 62. Plan plurianual inversiones 2006/2010,,"36746055,00",,
622,Inversiones Infraestructura y Equip. J Andalucía,"36746055,00",,
-,Artículo 63. Programas FEDER y Campus de Excelencia,,"0,00",,
635.01,Actuaciones CEI Fortalecimiento 2011,"0,00",,
635.03,Actuaciones INNPLANTA 2011,"0,00",,
-,Artículo 66. Inversiones de Reposición,,"1700000,00",,
662.00,Inversiones propias de reposición,"1700000,00",,
-,TOTAL CAPº 6º,,,"57070803,00",
-,CAPÍTULO 7º TRANSFERENCIAS DE CAPITAL,,,,
-,Artículo 78. A Familias e Instituciones sin fines de lucro,,"118213,00",,
"784,4",    Ayudas diversas del Consejo Social,"12000,00",,
785.09,A otras Instituciones. Parque de las Ciencias,"106213,00",,
-,TOTAL CAPº 7º,,,"118213,00",
-,CAPÍTULO 9º PASIVOS FINANCIEROS,,,,
-,Artículo 91. Amortización de deuda pública,,"1127217,00",,
911,Amortiz. Préstamos a largo plazo. Sector público,"1127217,00",,
-,TOTAL CAPº 9º,,,"1127217,00",
-,TOTAL PROGRAMA 321B,,,"85232021,00",
