CONCEPTO,DENOMINACIÓN,CONCEPTOS,ARTÍCULOS,CAPÍTULOS
,,,,
,CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,
,,,,
,,,,
,Artículo 20. Arrendamientos y cánones,,12000,
202,Arrendtº edificios y otros,2000,,
203,"Arrendtº maquinaria,instalaciones y utillaje",2000,,
204,Arrendtº material de transporte,2000,,
205,Arrendtº mobiliario y enseres,2000,,
206,Arrendtº equipo de informática,2000,,
208,Arrendtº otro inmovilizado material,2000,,
,"Artículo 21. Reparaciones, mantenimiento y conservación",,267000,
212,Edificios y otras construcciones,100000,,
213,"Maquinarias, instalaciones y utillaje",75000,,
214,Elementosl de transporte,2000,,
215,Mobiliario y enseres,15000,,
216,Sistemas para procesos de información,75000,,
,"Artículo 22. Material, suministros y otros",,426940,
220,Material de orficina,110000,,
221,Suministros,125000,,
222,Comunicaciones,15000,,
223,Transportes,2000,,
224,Primas de seguros,5000,,
225,Tributos,5000,,
226,Gastos diversos,74940,,
226.01,Atenciones protocolarias y de representación,10000,,
227,Trabajos realizados por otras empresas,80000,,
,Artículo 23. Indemnizaciones por razón del servicio,,100000,
230,Dietas,50000,,
231,Locomoción,50000,,
,TOTAL CAPº 2º,,,805940
,Artículo 60. Inversiones de carácter material,,3600000,
608,Inversiones bibliográficas,3600000,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Artículo 63. Programa FEDER,,7000000,
631,Programa FEDER 2007/2013,7000000,,
,Artículo 64. Inversiones de carácter inmaterial,,34421159,
640,Investigación científica,30061159,,
641,Plan Propio de Investigación Científica,3360000,,
"641,02",Plan Propio Fomento Productividad Investigadora,1000000,,
,TOTAL CAPº 6º,,,45021159
,TOTAL PROGRAMA 541A,,,45827099
