ORGÁNICA,CENTRO,"Actividad
Académ.",Mantenim.,TOTAL
,,,,
3010010000,Facultad de Filosofía y Letras,45.147,169.206,214.353
3010020000,Facultad de Derecho,42.428,111.995,154.423
3010030000,Facultad de Ciencias,53.966,426.648,480.614
3010040000,Facultad de Medicina,18.789,177.301,196.090
3010050000,Facultad de Farmacia,28.675,156.952,185.627
3010060000,Facultad de Bellas Artes,12.543,106.046,118.589
3010070000,Facultad de Odontología,4.449,70.331,74.780
3010080000,Facultad de Ciencias de la Educación,48.869,108.837,157.706
3010090000,Facultad de Ciencias Políticas y Sociología,18.552,69.634,88.186
3010100000,"E.T.S. de Ingenieros Caminos, Canales y Puertos",15.077,121.795,136.872
3010110000,Facultad de Ciencias del  Deporte,11.703,87.135,98.838
3010190000,Facultad de Tradución e Interpretación,13.542,40.224,53.766
3010230000,Facultad de Educación y Humanidades de Ceuta,8.070,47.290,55.360
3010240000,Facultad de Educación y Humanidades de Melilla,4.952,23.205,28.157
3010250000,Facultad de Psicología,19.998,68.338,88.336
3010260000,Facultad de Ciencias Económicas y Empresariales,59.209,100.980,160.189
3010280000,Facultad de Ciencias Sociales de Melilla,3.317,18.314,21.631
3010290000,Facultad de Comunicación y Documentación,6.190,57.907,64.097
3010300000,Escuela Técnica Superior de Ingeniería de Edificación,16.353,92.759,109.112
3010330000,Facultad de Ciencias de la Salud,11.193,36.278,47.471
3010350000,Facultad de Trabajo Social,7.263,15.126,22.389
3010400000,Facultad de Ciencias del Trabajo,17.103,32.147,49.250
3010410000,E.T.S. de Arquitectura,14.786,25.031,39.817
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,19.923,82.960,102.883
3010810000,Facultad de Ciencias de la Salud de Melilla,2.759,15.000,17.759
3010900000,Facultad de Ciencias de la Salud de Ceuta,4.451,23.225,27.676
Subtotal a Centros,,509.307,2.284.664,2.793.971
3019990000,Contratos Programa e Incentivos a Centros,136.582,379.046,515.628
TOTALES,,645.889,2.663.710,3.309.599
