ORGÁNICA,CENTRO,"NÚMERO DE
ALUMNOS",IMPORTE

3010010000,Facultad de Filosofía y Letras,"4778,00","45,147"
3010020000,Facultad de Derecho,"4490,00","42,428"
3010030000,Facultad de Ciencias,"5711,00","53,966"
3010040000,Facultad de Medicina,"1988,00","18,789"
3010050000,Facultad de Farmacia,"3034,00","28,675"
3010060000,Facultad de Bellas Artes,"1327,00","12,543"
3010070000,Facultad de Odontología,"471,00","4449,00"
3010080000,Facultad de Ciencias de la Educación,"5171,00","48,869"
3010090000,Facultad de Ciencias Políticas y Sociología,"1963,00","18,552"
3010100000,"E.T.S. de Ingenieros de Caminos, Canales y Puertos","1596,00","15,077"
3010110000,Facultad de Ciencias del Deporte ,"1238,00","11,703"
3010190000,Facultad de Tradución e Interpretación,"1433,00","13,542"
3010230000,Facultad de Educación y Humanidades de Ceuta,"854,00","8070,00"
3010240000,Facultad de Educación y Humanidades de Melilla,"524,00","4952,00"
3010250000,Facultad de Psicología,"2116,00","19,998"
3010260000,Facultad de Ciencias Económicas y Empresariales,"6266,00","59,209"
3010280000,Facultad de Ciencias Sociales de Melilla,"351,00","3317,00"
3010290000,Facultad de Comunicación  y Documentación,"655,00","6190,00"
3010300000,E.T.S. de Ingeniería de Edificación,"1731,00","16,353"
3010330000,Facultad de Ciencias de la Salud de Granada,"1184,00","11,193"
3010350000,Facultad de Trabajo Social,"769,00","7263,00"
3010400000,Facultad de Ciencias del Trabajo,"1810,00","17,103"
3010410000,E.T.S. de Arquitectura,"1565,00","14,786"
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,"2108,00","19,923"
3010810000,Facultad de Ciencias de la Salud de Melilla,"292,00","2759,00"
3010900000,Facultad de Ciencias de la Salud de Ceuta,"471,00","4451,00"
3019990000,Contrato Programa a Centros,,"76396,00"
3019990000,Incentivos al Cumplimiento Ley de Morosidad,,"10186,00"
3019990000,Incentivos a Recaudación Derechos de Matrícula,,"50000,00"
TOTALES,,"53895,00","645889,00"
