SECCIÓN,"2013,00","2014,00",%
Sección 1ª,"10033883,00","10135373,00","1,01"
Sección 2ª,"15150000,00","15500000,00","2,31"
Sección 3ª,"3302296,00","3309599,00","0,22"
Sección 4ª,"4486192,00","4361991,00","-2,77"
Baremo alumnos/profesorado,"3047877,00","2954287,00",
Distribución lineal,"535050,00","535050,00",
Dietas reuniones Departamento,"273312,00","265428,00",
Contrato Progr. Depart. y Morosidad,"629953,00","607225,00",
Cantidades a detraer,"4076729,00","4328972,00","6,19"
TOTAL,"37049100,00","37635935,00","1,58"

Importes autofinanciados (a deducir),"6720250,00","6620250,00","-1,49"

TOTAL CRÉDITOS DISTRIBUIBLES A CENTROS,"43769350,00","44256185,00","1,11"

DISTRIBUCIÓN ECONÓMICA DE LOS CRÉDITOS,,IMPORTES,
A Capítulo 2º,,"37256185,00",
"603.00 MaquinariaCentros, Departamentos y Servicios",,,"500000,00"
"605.00 Mobiliario y enseres Centros, Departamentos y Servicios",,,"1475000,00"
"606.00 Sistemas procesos información Centros, Depart. y Servicios",,,"1000000,00"
608 Inversiones bibliográficas,,"4025000,00",
TOTAL,,"44256185,00",
