ORGÁNICA,CENTRO,"Actividad
Académ.",Mantenim.,TOTAL

3010010000,Facultad de Filosofía y Letras,45147,169206,214353
3010020000,Facultad de Derecho,42428,111995,154423
3010030000,Facultad de Ciencias,53966,426648,480614
3010040000,Facultad de Medicina,18789,177301,196090
3010050000,Facultad de Farmacia,28675,156952,185627
3010060000,Facultad de Bellas Artes,12543,106046,118589
3010070000,Facultad de Odontología,4449,70331,74780
3010080000,Facultad de Ciencias de la Educación,48869,108837,157706
3010090000,Facultad de Ciencias Políticas y Sociología,18552,69634,88186
3010100000,"E.T.S. de Ingenieros Caminos, Canales y Puertos",15077,121795,136872
3010110000,Facultad de Ciencias del  Deporte,11703,87135,98838
3010190000,Facultad de Tradución e Interpretación,13542,40224,53766
3010230000,Facultad de Educación y Humanidades de Ceuta,8070,47290,55360
3010240000,Facultad de Educación y Humanidades de Melilla,4952,23205,28157
3010250000,Facultad de Psicología,19998,68338,88336
3010260000,Facultad de Ciencias Económicas y Empresariales,59209,100980,160189
3010280000,Facultad de Ciencias Sociales de Melilla,3317,18314,21631
3010290000,Facultad de Comunicación y Documentación,6190,57907,64097
3010300000,Escuela Técnica Superior de Ingeniería de Edificación,16353,92759,109112
3010330000,Facultad de Ciencias de la Salud,11193,36278,47471
3010350000,Facultad de Trabajo Social,7263,15126,22389
3010400000,Facultad de Ciencias del Trabajo,17103,32147,49250
3010410000,E.T.S. de Arquitectura,14786,25031,39817
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,19923,82960,102883
3010810000,Facultad de Ciencias de la Salud de Melilla,2759,15000,17759
3010900000,Facultad de Ciencias de la Salud de Ceuta,4451,23225,27676
Subtotal a Centros,,509307,2284664,2793971
3019990000,Contratos Programa e Incentivos a Centros,136582,379046,515628
TOTALES,,645889,2663710,3309599
