Subprogramas,Concepto,Crédito,Financiación Específica (externa),Financiación (rec. Propios)
Actuaciones 422D.1: Personal Docente e Investigador,Retribuciones básicas y complementarias,88104894,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Tramos Docentes,16032286,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Tramos Investigación,6791723,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Tramos Autonómicos,10407500,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Cargos Académicos,2900354,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Plazas vinculadas,2000000,2000000,0
Actuaciones 422D.1: Personal Docente e Investigador,Otras retrib.complementarias,11597698,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Previsión Actuaciones,1633000,0,0
Actuaciones 422D.1: Personal Docente e Investigador,Cuota Patronal Seguridad Social,8948357,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Retribuciones básicas y complementarias,57779646,48610,0
Actuaciones 422D.2: Personal de Administración y Servicios,Complemento de Productividad,6183473,6585,0
Actuaciones 422D.2: Personal de Administración y Servicios,Otras retrib.complementarias,430715,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Cargos Académicos,90850,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Formación y movilidad,200000,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Vestuario PAS Laboral,513972,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Previsión actuaciones,650000,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Cuota Patronal Seguridad Social,21065427,0,0
Actuaciones 422D.2: Personal de Administración y Servicios,Personal Colaboración Social y Sustituciones,4800000,0,0
Actuaciones 422D.3: Acción Social,Plan de Acción Social,869331,0,0
Actuaciones 422D.3: Acción Social,Compensac. precios matrícula,840000,0,840000
Actuaciones 422D.3: Acción Social,Premio Jubilación,4300000,0,0
Actuaciones 422D.3: Acción Social,Prestación I.T.,800000,0,0
Actuaciones 422D.3: Acción Social,Préstamos al Personal,650000,0,0
Actuaciones 422D.4: Docencia de Grado ,Gestión Vicerrect. Ordenación Académica y Profesorado,20000,0,0
Actuaciones 422D.4: Docencia de Grado ,Actividad Académica Centros ,512493,0,0
Actuaciones 422D.4: Docencia de Grado ,Departamentos,3754765,0,0
Actuaciones 422D.4: Docencia de Grado ,Contratos Programa (Centros y Deptos.),1122853,0,0
Actuaciones 422D.4: Docencia de Grado ,Plan Propio de Docencia,2450000,0,0
Actuaciones 422D.4: Docencia de Grado ,Enseñanzas Prácticas,0,0,0
Actuaciones 422D.4: Docencia de Grado ,Innovación Docente,0,87500,0
Actuaciones 422D.4: Docencia de Grado ,Adaptación EEES,0,54160,0
Actuaciones 422D.5: Docencia de Posgrado,Gestión Vicerrect. de Enseñanzas de Grado y Posgrado,20000,0,0
Actuaciones 422D.5: Docencia de Posgrado,Másteres Universitarios,1080000,0,0
Actuaciones 422D.5: Docencia de Posgrado,Escuelas de Doctorado,90000,0,0
Actuaciones 422D.5: Docencia de Posgrado,Escuela Internacional de Posgrado,1840250,480250,1275000
Actuaciones 422D.5: Docencia de Posgrado,Aula Permanente de Formación Abierta,155000,0,125000
Actuaciones 422D.5: Docencia de Posgrado,Otros cursos,250000,0,250000
Actuaciones 422D.6: Estudiantes ,Gestión Vicerrectorado de Estudiantes,20000,0,0
Actuaciones 422D.6: Estudiantes ,Actuaciones Vicerrectorado,380000,0,0
Actuaciones 422D.6: Estudiantes ,Plan Propio Becas y Ayudas,1340000,0,0
Actuaciones 422D.6: Estudiantes ,Plan Propio de Ayudas Sociales a Estudiantes,180000,0,0
Actuaciones 422D.6: Estudiantes ,Plan Propio para Promoción del Autoempleo,250000,200000,0
Actuaciones 422D.6: Estudiantes ,Plan Propio de Prácticas en Empresas e Instituciones,1150000,600000,250000
Actuaciones 422D.6: Estudiantes ,Actuaciones Fomento de Empleo,400000,200000,0
Actuaciones 422D.6: Estudiantes ,Acceso a Universidad,325000,0,0
Actuaciones 422D.6: Estudiantes ,Asociaciones y Delegación General de Estudiantes,150000,0,0
Actuaciones 422D.6: Estudiantes ,Otros Planes de Apoyo Junta de Andalucía,1325000,1325000,0
Actuaciones 422D.7: Relaciones Internacionales,Gestión Vicerrectorado de Relaciones Internacionales,20000,0,0
Actuaciones 422D.7: Relaciones Internacionales,Plan Propio de Internacionalización,715000,0,0
Actuaciones 422D.7: Relaciones Internacionales,Oficina de Relaciones Internacionales,104000,0,0
Actuaciones 422D.7: Relaciones Internacionales,Programas Europeos de movilidad,10900000,10800000,0
Actuaciones 422D.7: Relaciones Internacionales,Programas de Proyección Internac. y Promoción Lingüística,70000,0,0
Actuaciones 422D.7: Relaciones Internacionales,Cuotas a Organismos Internacionales,30000,0,0
Actuaciones 422D.8: Evaluación de Calidad,Gestión Vicerrectorado para la Garantía de la Calidad,20000,0,0
Actuaciones 422D.8: Evaluación de Calidad,Evaluación de la Calidad y Formación,250000,58340,0
