CONCEPTO/PROGRAMA,422 D,541 A,321 B,TOTALES 
CAPITULO 1º. GASTOS DE PERSONAL,,,,
110 Personal eventual,"360000,00",,,"360000,00"
120 Funcionarios. Retribuciones básicas,"54285818,00",,"20886,00","54306704,00"
121 Funcionarios. Retribuciones complementarias,"80880305,00",,"27724,00","80908029,00"
130 Personal laboral. Retribuciones básicas,"15279053,00",,,"15279053,00"
131 Personal laboral. Otras remuneraciones,"41080139,00",,,"41080139,00"
134. Personal laboral de sustituciones,"4140000,00",,,"4140000,00"
143 Personal colaboración social,"300000,00",,,"300000,00"
145 Retribuciones Asociados (LRU),"25444,00",,,"25444,00"
146 Retribuciones Asociados Ciencias de la Salud (LRU),"665683,00",,,"665683,00"
150 Productividad ,"12697696,00",,"6585,00","12704281,00"
151 Gratificaciones,"3000,00",,,"3000,00"
160 Cuotas sociales,"30013784,00",,,"30013784,00"
162.00 Prestaciones. Indemnización por jubilación,"4300000,00",,,"4300000,00"
"162,01 Formación y Perfeccionamiento del PAS","200000,00",,,"200000,00"
162.05 Plan de acción social,"869331,00",,,"869331,00"
162.05 Plan de Acción Social. Beneficios en precios publicos ,"840000,00",,,"840000,00"
162.07 Prestaciones. Complemento a la prestación por I.T.,"800000,00",,,"800000,00"
TOTAL CAPITULO 1º,"246740255,00","0,00","55195,00","246795449,00"
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
202 Arrendamiento de edificios y otros,"20000,00","2000,00","250000,00","272000,00"
"203 Arrendamiento de maquinaria, instalac.y utillaje","20000,00","2000,00","50000,00","72000,00"
204 Arrendamiento de material de transporte,"2000,00","2000,00","5000,00","9000,00"
205 Arrendamiento de mobiliario y enseres,"20000,00","2000,00","60000,00","82000,00"
206 Arrendamiento de equipos informáticos,"2000,00","2000,00","2000,00","6000,00"
208 Arrendamiento de otro inmovilizado material,"2000,00","2000,00","2000,00","6000,00"
"212 Reparación, Mantenimiento y conservación de edificios y otros","400000,00","100000,00","1326464,00","1826464,00"
"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje","400000,00","75000,00","775000,00","1250000,00"
"214 Reparación, Mantenimiento y  conserv.material de transporte","2000,00","2000,00","20000,00","24000,00"
"215 Reparación, Mantenimiento y conserv. mobiliario y enseres","150000,00","15000,00","200000,00","365000,00"
"216 Reparación, Mantenimiento y conserv. Equipos de información","150000,00","75000,00","599490,00","824490,00"
217 Mantenimiento general y optimización energética,,,"1200000,00","1200000,00"
220 Material de oficina,"1600000,00","110000,00","2224908,00","3934908,00"
221 Suministros,"2550000,00","125000,00","6400000,00","9075000,00"
222 Comunicaciones,"100000,00","15000,00","1100000,00","1215000,00"
223 Transportes,"250000,00","2000,00","300000,00","552000,00"
224 Primas de seguros,"60000,00","5000,00","200000,00","265000,00"
225 Tributos,"200000,00","5000,00","100000,00","305000,00"
"226 Gastos diversos(excepto subconcepto 226,01)","2815334,00","74940,00","4468457,00","7358731,00"
226.01 Atenciones protocolarias y de representación,"300000,00","10000,00","250000,00","560000,00"
227 Trabajos realizados por otras empresas,"900000,00","80000,00","5300000,00","6280000,00"
230 Dietas ,"900000,00","50000,00","608750,00","1558750,00"
231  Locomoción,"800000,00","50000,00","600000,00","1450000,00"
234 Asistencias a órganos colegiados ,,,"0,00","0,00"
TOTAL CAPITULO 2º,"11643334,00","805940,00","26042069,00","38491343,00"
CAPITULO 3º. GASTOS FINANCIEROS,,,,
