CONCEPTO,DENOMINACIÓN,CONCEPTOS,ARTÍCULOS,CAPÍTULOS
-,CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
-,Artículo 20. Arrendamientos y cánones,,"12000,00",,
202,Arrendtº edificios y otros,"2000,00",,
203,"Arrendtº maquinaria,instalaciones y utillaje","2000,00",,
204,Arrendtº material de transporte,"2000,00",,
205,Arrendtº mobiliario y enseres,"2000,00",,
206,Arrendtº equipo de informática,"2000,00",,
208,Arrendtº otro inmovilizado material,"2000,00",,
-,"Artículo 21. Reparaciones, mantenimiento y conservación",,"267000,00",,
212,Edificios y otras construcciones,"100000,00",,
213,"Maquinarias, instalaciones y utillaje","75000,00",,
214,Elementosl de transporte,"2000,00",,
215,Mobiliario y enseres,"15000,00",,
216,Sistemas para procesos de información,"75000,00",,
-,"Artículo 22. Material, suministros y otros",,"426940,00",,
220,Material de orficina,"110000,00",,
221,Suministros,"125000,00",,
222,Comunicaciones,"15000,00",,
223,Transportes,"2000,00",,
224,Primas de seguros,"5000,00",,
225,Tributos,"5000,00",,
226,Gastos diversos,"74940,00",,
226.01,Atenciones protocolarias y de representación,"10000,00",,
227,Trabajos realizados por otras empresas,"80000,00",,
-,Artículo 23. Indemnizaciones por razón del servicio,,"100000,00",,
230,Dietas,"50000,00",,
231,Locomoción,"50000,00",,
-,TOTAL CAPº 2º,,,"805940,00",
-,Artículo 60. Inversiones de carácter material,,"3600000,00",,
608,Inversiones bibliográficas,"3600000,00",,
-,Artículo 63. Programa FEDER,,"7000000,00",,
631,Programa FEDER 2007/2013,"7000000,00",,
-,Artículo 64. Inversiones de carácter inmaterial,,"34421159,00",,
640,Investigación científica,"30061159,00",,
641,Plan Propio de Investigación Científica,"3360000,00",,
"641,02",Plan Propio Fomento Productividad Investigadora,"1000000,00",,
-,TOTAL CAPº 6º,,,"45021159,00",
-,TOTAL PROGRAMA 541A,,,"45827099,00",
