ORGÁNICA,CENTRO,"NÚMERO DE
ALUMNOS",IMPORTE

3010010000,Facultad de Filosofía y Letras,4778,45147
3010020000,Facultad de Derecho,4490,42428
3010030000,Facultad de Ciencias,5711,53966
3010040000,Facultad de Medicina,1988,18789
3010050000,Facultad de Farmacia,3034,28675
3010060000,Facultad de Bellas Artes,1327,12543
3010070000,Facultad de Odontología,471,4449
3010080000,Facultad de Ciencias de la Educación,5171,48869
3010090000,Facultad de Ciencias Políticas y Sociología,1963,18552
3010100000,"E.T.S. de Ingenieros de Caminos, Canales y Puertos",1596,15077
3010110000,Facultad de Ciencias del Deporte ,1238,11703
3010190000,Facultad de Tradución e Interpretación,1433,13542
3010230000,Facultad de Educación y Humanidades de Ceuta,854,8070
3010240000,Facultad de Educación y Humanidades de Melilla,524,4952
3010250000,Facultad de Psicología,2116,19998
3010260000,Facultad de Ciencias Económicas y Empresariales,6266,59209
3010280000,Facultad de Ciencias Sociales de Melilla,351,3317
3010290000,Facultad de Comunicación  y Documentación,655,6190
3010300000,E.T.S. de Ingeniería de Edificación,1731,16353
3010330000,Facultad de Ciencias de la Salud de Granada,1184,11193
3010350000,Facultad de Trabajo Social,769,7263
3010400000,Facultad de Ciencias del Trabajo,1810,17103
3010410000,E.T.S. de Arquitectura,1565,14786
3010440000,E.T.S. de Ingenierías de Informática y Telecomunicación,2108,19923
3010810000,Facultad de Ciencias de la Salud de Melilla,292,2759
3010900000,Facultad de Ciencias de la Salud de Ceuta,471,4451
3019990000,Contrato Programa a Centros,,76396
3019990000,Incentivos al Cumplimiento Ley de Morosidad,,10186
3019990000,Incentivos a Recaudación Derechos de Matrícula,,50000
TOTALES,,53895,645889
