"CONCEPTO/PROGRAMA","422 D","541 A","321 B","TOTALES "
"CAPITULO 1,00º. GASTOS DE PERSONAL","","","",""
"110 Personal eventual","360000","","","360000"
"120 Funcionarios. Retribuciones básicas","54285818","","20886","54306704"
"121 Funcionarios. Retribuciones complementarias","80880305","","27724","80908029"
"130 Personal laboral. Retribuciones básicas","15279053","","","15279053"
"131 Personal laboral. Otras remuneraciones","41080139","","","41080139"
"134 Personal laboral de sustituciones","4140000","","","4140000"
"143 Personal colaboración social","300000","","","300000"
"145 Retribuciones Asociados (LRU)","25444","","","25444"
"146 Retribuciones Asociados Ciencias de la Salud (LRU)","665683","","","665683"
"150 Productividad ","12697696","","6585","12704281"
"151 Gratificaciones","3000","","","3000"
"160 Cuotas sociales","30013784","","","30013784"
"162.00 Prestaciones. Indemnización por jubilación","4300000","","","4300000"
"162.01 Formación y Perfeccionamiento del PAS","200000","","","200000"
"162.05 Plan de acción social","869331","","","869331"
"162.05 Plan de Acción Social. Beneficios en precios publicos ","840000","","","840000"
"162.07 Prestaciones. Complemento a la prestación por I.T.","800000","","","800000"
"TOTAL CAPITULO 1º","246740255","0","55195","246795449"
"CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS","","","",""
"202 Arrendamiento de edificios y otros","20000","2000","250000","272000"
"203 Arrendamiento de maquinaria, instalac.y utillaje","20000","2000","50000","72000"
"204 Arrendamiento de material de transporte","2000","2000","5000","9000"
"205 Arrendamiento de mobiliario y enseres","20000","2000","60000","82000"
"206 Arrendamiento de equipos informáticos","2000","2000","2000","6000"
"208 Arrendamiento de otro inmovilizado material","2000","2000","2000","6000"
"212 Reparación, Mantenimiento y conservación de edificios y otros","400000","100000","1326464","1826464"
"213 Reparación, Mantenimiento y conserv.maquinaria, instalaciones y utillaje","400000","75000","775000","1250000"
"214 Reparación, Mantenimiento y  conserv.material de transporte","2000","2000","20000","24000"
"215 Reparación, Mantenimiento y conserv. mobiliario y enseres","150000","15000","200000","365000"
"216 Reparación, Mantenimiento y conserv. Equipos de información","150000","75000","599490","824490"
"217 Mantenimiento general y optimización energética","","","1200000","1200000"
"220 Material de oficina","1600000","110000","2224908","3934908"
"221 Suministros","2550000","125000","6400000","9075000"
"222 Comunicaciones","100000","15000","1100000","1215000"
"223 Transportes","250000","2000","300000","552000"
"224 Primas de seguros","60000","5000","200000","265000"
"225 Tributos","200000","5000","100000","305000"
"226 Gastos diversos(excepto subconcepto 226,01)","2815334","74940","4468457","7358731"
"226.01 Atenciones protocolarias y de representación","300000","10000","250000","560000"
