ARTICULO/PROGRAMA,422D,541A,321B,TOTALES 
CAPITULO 1º. GASTOS DE PERSONAL,,,,
11 Personal eventual,360000,,,360000
12 Personal Funcionario,135166123,,48610,135214733
13 Personal laboral,60499193,,,60499193
14 Otro Personal,991128,,,991128
15 Incentivos al rendimiento,12700696,,6585,12707281
"16 Cuotas, prestaciones y gastos sociales",37023115,,,37023115
TOTAL CAPITULO 1º,246740255,0,55195,246795449
CAPITULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
20 Arrendamientos y cánones ,66000,12000,369000,447000
"21 Reparaciones, mantenimiento y conservación",1102000,267000,4120954,5489954
"22 Material, suministros y otros de oficina",8775334,426940,20343365,29545639
23 Indemnizaciones por razón del servicio,1700000,100000,1208750,3008750
TOTAL CAPITULO 2º,11643334,805940,26042069,38491343
CAPITULO 3º. GASTOS FINANCIEROS,,,,
31 De préstamos en moneda nacional,0,0,15000,15000
TOTAL CAPITULO 3º,0,0,15000,15000
CAPITULO 4º. TRANSFERENCIAS CORRIENTES,,,,
48 A Familias e Instituciones sin fines de lucro,15045000,0,803524,15848524
49  Al exterior,30000,0,0,30000
TOTAL CAPITULO 4º,15075000,0,803524,15878524
TOTAL OPERACIONES CORRIENTES,273458588,805940,26915788,301180316
CAPITULO 6º. INVERSIONES REALES,,,,
60  Inversiones de carácter material,400000,3600000,18624748,22624748
62 Inversiones Infraestructura y Equipamiento Junta Andalucía,,,36746055,36746055
63 Programas Feder y Campus de Excelencia,0,7000000,0,7000000
64  Inversiones de carácter inmaterial,1755000,34421159,,36176159
66  Inversiones de Reposición,,,1700000,1700000
TOTAL CAPITULO 6º,2155000,45021159,57070803,104246962
CAPITULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
78 A Familias e Instituciones sin fines de lucro,250000,0,118213,368213
TOTAL CAPITULO 7º,250000,0,118213,368213
CAPITULO 8º. ACTIVOS FINANCIEROS,,,,
83 Concesión préstamos en sector público,650000,0,0,650000
TOTAL CAPITULO 8º,650000,0,0,650000
CAPITULO 9º. PASIVOS FINANCIEROS,,,,
91 Amortización de préstamos en moneda nacional,0,0,1127217,1127217
TOTAL CAPITULO 9º,0,0,1127217,1127217
TOTAL OPERACIONES DE CAPITAL,3055000,45021159,58316233,106392392
,,,,
TOTAL OPERACIONES NO FINANCIERAS,275863588,45827099,84104804,405795491
TOTAL OPERACIONES FINANCIERAS,650000,0,1127217,1777217
,,,,
TOTAL ESTADO DE GASTOS,276513588,45827099,85232021,407572708
