CAPITULO,ARTÍCULO/PROGRAMA,422D,541A,321B
Capitulo 1,11 Personal eventual,360000,0,0
Capitulo 1,12 Personal Funcionario,135166123,0,48610
Capitulo 1,13 Personal laboral,60499193,0,0
Capitulo 1,14 Otro Personal,991128,0,0
Capitulo 1,15 Incentivos al rendimiento,12700696,0,6585
Capitulo 1,"16 Cuotas, prestaciones y gastos sociales",37023115,0,0
Capitulo 2,20 Arrendamientos y cánones ,66000,12000,369000
Capitulo 2,"21 Reparaciones, mantenimiento y conservación",1102000,267000,4120954
Capitulo 2,"22 Material, suministros y otros de oficina",8775334,426940,20343365
Capitulo 2,23 Indemnizaciones por razón del servicio,1700000,100000,1208750
Capitulo 3,31 De préstamos en moneda nacional,0,0,15000
Capitulo 4,48 A Familias e Instituciones sin fines de lucro,15045000,0,803524
Capitulo 4,49  Al exterior,30000,0,0
Capitulo 6,60  Inversiones de carácter material,400000,3600000,18624748
Capitulo 6,62 Inversiones Infraestructura y Equipamiento Junta Andalucía,0,0,36746055
Capitulo 6,63 Programas Feder y Campus de Excelencia,0,7000000,0
Capitulo 6,64  Inversiones de carácter inmaterial,1755000,34421159,0
Capitulo 6,66  Inversiones de Reposición,0,0,1700000
Capitulo 7,78 A Familias e Instituciones sin fines de lucro,250000,0,118213
Capitulo 8,83 Concesión préstamos en sector público,650000,0,0
Capitulo 9,91 Amortización de préstamos en moneda nacional,0,0,1127217
