CAPÍTULO,ARTÍCULO,CONCEPTO,DENOMINACIÓN,IMPORTES,X
Capítulo 1º. Gastos de personal,Artículo12. Funcionarios,120,Funcionarios. Retribuciones básicas,20886,
Capítulo 1º. Gastos de personal,Artículo12. Funcionarios,121,Funcionarios. Retribuciones complementarias,27724,
Capítulo 1º. Gastos de personal,Artículo 15. Incentivos al rendimiento,150,Productividad ,6585,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,202,Arrendtº edificios y otros,250000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,203,"Arrendtº maquinaria,instalaciones y utillaje",50000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,204,Arrendtº material de transporte,5000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,205,Arrendtº mobiliario y enseres,60000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,206,Arrendtº equipo de informática,2000,
Capítulo 2º. Gastos en bienes corrientes y servicios,Artículo 20. Arrendamientos y cánones,208,Arrendtº otro inmovilizado material,2000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",212,Edificios y otras construcciones,1326464,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",213,"Maquinarias, instalaciones y utillaje",775000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",214,Elementosl de transporte,20000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",215,Mobiliario y enseres,200000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",216,Sistemas para procesos de información,599490,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 21. Reparaciones, mantenimiento y conservación",217,Mantenimiento General y Optimización Energética,1200000,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",220,Material de orficina,2224908,
Capítulo 2º. Gastos en bienes corrientes y servicios,"Artículo 22. Material, suministros y otros",221,Suministros,6400000,
