CONCEPTO,DENOMINACIÓN,CONCEPTOS,ARTÍCULOS,CAPÍTULOS´
-,CAPÍTULO 1º .GASTOS DE PERSONAL,,,,
-,Artículo 11. Personal eventual,,"360000,00",,
110,Personal eventual,"360000,00",,
-,Artículo 12. Funcionarios,,"135166123,00",,
120,Funcionarios. Retribuciones básicas,"54285818,00",,
121,Funcionarios. Retribuciones complementarias,"80880305,00",,
-,Artículo 13. Laborales,,"60499193,00",,
130,Personal laboral,"15279053,00",,
131,Personal labora. Otras remuneraciones,"41080139,00",,
134,Personal laboral eventual,"4140000,00",,
-,Artículo 14. Otro Personal,,"991128,00",,
143,Personal colaboración social,"300000,00",,
145,Retribuciones Asociados (LRU),"25444,00",,
146,Retribuciones Asociados Ciencias de la Salud (LRU),"665683,00",,
-,Artículo 15. Incentivos al rendimiento,,"12700696,00",,
150,Productividad ,"12697696,00",,
151,Gratificaciones,"3000,00",,
-,"Artículo 16. Cuotas, prestaciones y gastos sociales",,"37023115,00",,
160,Cuotas Sociales,"30013784,00",,
162,Prestaciones y gastos sociales del personal,"7009331,00",,
-,TOTAL CAPº 1º ,,,"246740255,00",
-,CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,,,,
-,Artículo 20. Arrendamientos y cánones,,"66000,00",,
202,Arrendtº edificios y otros,"20000,00",,
203,"Arrendtº maquinaria,instalaciones y utillaje","20000,00",,
204,Arrendtº material de transporte,"2000,00",,
205,Arrendtº mobiliario y enseres,"20000,00",,
206,Arrendtº equipo de informática,"2000,00",,
208,Arrendtº otro inmovilizado material,"2000,00",,
-,"Artículo 21. Reparaciones, mantenimiento y conservación",,"1102000,00",,
212,Edificios y otras construcciones,"400000,00",,
213,"Maquinarias, instalaciones y utillaje","400000,00",,
214,Elementosl de transporte,"2000,00",,
215,Mobiliario y enseres,"150000,00",,
216,Sistemas para procesos de información,"150000,00",,
-,"Artículo 22. Material, suministros y otros",,"8775334,00",,
220,Material de orficina,"1600000,00",,
221,Suministros,"2550000,00",,
222,Comunicaciones,"100000,00",,
223,Transportes,"250000,00",,
224,Primas de seguros,"60000,00",,
225,Tributos,"200000,00",,
226,Gastos diversos,"2815334,00",,
226.01,Atenciones protocolarias y de representación,"300000,00",,
227,Trabajos realizados por otras empresas,"900000,00",,
-,Artículo 23. Indemnizaciones por razón del servicio,,"1700000,00",,
230,Dietas,"900000,00",,
231,Locomoción,"800000,00",,
-,TOTAL CAPº 2º,,,"11643334,00",
-,CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,,,,
-,Artículo 48. A Familias e instituciones sin fines de lucro,,"15075000,00",,
480,Becas y ayudas propias a estudiantes,"1340000,00",,
480.03,A Asociaciones estudiantiles,"150000,00",,
480.04,Plan Propio Prácticas en Empresas y Entidades,"1150000,00",,
"480,08",Plan Propio de Ayudas Sociales a Estudiantes,"180000,00",,
483,Becas programas europeos,"10900000,00",,
485xx,Otros Planes de Apoyo Junta de Andalucía,"1325000,00",,
"490,11",Cuotas y contribuc.organismos internacionales,"30000,00",,
-,TOTAL CAPº 4º,,,"15075000,00",
-,CAPÍTULO 6º. INVERSIONES REALES,,,,
-,Artículo 60. Inversiones de carácter material,,"400000,00",,
608,Inversiones bibliográficas,"400000,00",,
-,Artículo 64. Inversiones de carácter inmaterial,,"1755000,00",,
642,Programas de movilidad y promoción lingüística,"70000,00",,
644,"Plan de Innovación, Calidad Docente y EEES","570000,00",,
645,Actuaciones Fomento de empleo,"400000,00",,
648,Plan Propio de Internalización,"715000,00",,
-,TOTAL CAPº 6º,,,"2155000,00",
-,CAPÍTULO 9º PASIVOS FINANCIEROS,,,,
-,Artículo 91. Aamortización de deuda pública,,Err:520,,
911,Amortiz. Préstamos a largo plazo. Sector público,"0,00",,
913,Amortiz. Préstamos a largo plazo. Sector privado,Err:520,,
-,TOTAL CAPº 9º,,,Err:520,
-,CAPÍTULO 7º. TRANSFERENCIAS DE CAPITAL,,,,
-,Artículo 78. A Familias e Instituciones sin fines de lucro,,"250000,00",,
780.05,Plan Propio para Promoción del Autoempleo,"250000,00",,
-,TOTAL CAPº 7º,,,"250000,00",
-,CAPÍTULO 8º. ACTIVOS FINANCIEROS,,,,
-,Artículo 83. Concesión de préstamos,,"650000,00",,
831.00,Anticipos y préstamos a personal Universidad,"650000,00",,
"831,01",Línea especial de anticipos,"0,00",,
-,TOTAL CAPº 8º,,,"650000,00",
-,TOTAL PROGRAMA 422D,,,"276513588,00",
