Artículo,Concepto,Subconcepto,Denominación,Subconc
30. Tasas,303. Tasas Académicas,30300,Por servicios administrativos,2000000
31. Precios públicos,312. Servicios académicos enseñanzas regladas,31200,Enseñanzas de Grado,28000000
31. Precios públicos,312. Servicios académicos enseñanzas regladas,31201,Enseñanzas de Posgrado oficial,4000000
31. Precios públicos,312. Servicios académicos enseñanzas regladas,31202,Compensación becarios ,11000000
31. Precios públicos,312. Servicios académicos enseñanzas regladas,31203,Compensación familias numerosas,1000000
31. Precios públicos,312. Servicios académicos enseñanzas regladas,31204,Compens.matrícula personal propio,840000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32000,Estudios de Extensión Universitaria,75000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32001,Cursos de Enseñanzas propias,0
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32001,Cursos propios de Postgrado,1500000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32002,Centro de Actividades Deportivas,300000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32007,Curso obtención C.A.P.,0
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32008,"Inscripciones jornadas,congresos",300000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32010,Centro Mediterráneo,150000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32011,Aula Permanente Formación Abierta,50000
32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32099,Otros Cursos y Seminarios,250000
32. Ingresos por prestación de servicios,323. Contratos artículos 83 LOU,32300,Contratos OTRI,2500000
32. Ingresos por prestación de servicios,323. Contratos artículos 83 LOU,32302,Contratos Fundación Univ.Empresa,400000
32. Ingresos por prestación de servicios,324. Unidades de apoyo a la investigación,32400,Centro Instrumentación Científica,250000
32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32500,Colegio Mayor Isabel la Católica,700000
32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32501,Comedores universitarios,1900000
32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32503,Residencia Corrala de Santiago,100000
32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32504,Residencia Carmen de la Victoria,100000
32. Ingresos por prestación de servicios,329. Otros ingresos por prestación de servicios,32999,Otros por prestación de servicios,100000
33. Venta de bienes,330. Publicaciones propias,33000,Libros y revistas Editorial Universit.,250000
33. Venta de bienes,332. Fotocopias y otros productos de reprografía,33202,"Impresos matrícula, preinsc. y otros",0
39. Otros ingresos,399. Ingresos diversos,39900,Reintegro anuncios adjudicatarios,25000
39. Otros ingresos,399. Ingresos diversos,39999,Otros Ingresos,150000
