Cap.,Art.,Concp,Subconc,Denominación,Subconc,Concp,Art.,Cap.´
5,Ingresos Patrimoniales,,,,,,,1506000
-,52,Intereses de depósitos,,,,,500000,
-,,520,Intereses de cuentas bancarias,,,500000,,
-,,,52000,De Banco Mare Nostrum,200000,,,
-,,,52001,De otras cuentas y depósitos,300000,,,
-,54,Rentas de bienes inmuebles,,,,,600000,
-,,541,Alquiler y productos de inmuebles,,,600000,,
-,,,54101,Instalaciones deportivas,500000,,,
-,,,54102,Aulas y otros recintos universitarios,100000,,,
-,55,Producto de concesiones y aprov.especiales,,,,,400000,
-,,551,De concesiones administrativas,,400000,400000,,
-,59,Otros ingresos patrimoniales,,,,,6000,
-,,591,Explotación de patentes,,,6000,,
-,,,59100,Licencias y explotación de patentes,6000,,,
