Capítulo,Artículo,Concepto,Subconcepto,Denominación,Subconc
3,30. Tasas,303. Tasas Académicas,30300,Por servicios administrativos,2000000
3,31. Precios públicos,312. Servicios académicos enseñanzas regladas,31200,Enseñanzas de Grado,28000000
3,31. Precios públicos,312. Servicios académicos enseñanzas regladas,31201,Enseñanzas de Posgrado oficial,4000000
3,31. Precios públicos,312. Servicios académicos enseñanzas regladas,31202,Compensación becarios ,11000000
3,31. Precios públicos,312. Servicios académicos enseñanzas regladas,31203,Compensación familias numerosas,1000000
3,31. Precios públicos,312. Servicios académicos enseñanzas regladas,31204,Compens.matrícula personal propio,840000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32000,Estudios de Extensión Universitaria,75000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32001,Cursos de Enseñanzas propias,0
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32001,Cursos propios de Postgrado,1500000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32002,Centro de Actividades Deportivas,300000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32007,Curso obtención C.A.P.,0
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32008,"Inscripciones jornadas,congresos",300000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32010,Centro Mediterráneo,150000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32011,Aula Permanente Formación Abierta,50000
3,32. Ingresos por prestación de servicios,320. Derechos matrícula cursos y seminarios,32099,Otros Cursos y Seminarios,250000
3,32. Ingresos por prestación de servicios,323. Contratos artículos 83 LOU,32300,Contratos OTRI,2500000
3,32. Ingresos por prestación de servicios,323. Contratos artículos 83 LOU,32302,Contratos Fundación Univ.Empresa,400000
3,32. Ingresos por prestación de servicios,324. Unidades de apoyo a la investigación,32400,Centro Instrumentación Científica,250000
3,32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32500,Colegio Mayor Isabel la Católica,700000
3,32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32501,Comedores universitarios,1900000
3,32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32503,Residencia Corrala de Santiago,100000
3,32. Ingresos por prestación de servicios,"325. Alojamiento, restauración y residencias",32504,Residencia Carmen de la Victoria,100000
3,32. Ingresos por prestación de servicios,329. Otros ingresos por prestación de servicios,32999,Otros por prestación de servicios,100000
3,33. Venta de bienes,330. Publicaciones propias,33000,Libros y revistas Editorial Universit.,250000
3,33. Venta de bienes,332. Fotocopias y otros productos de reprografía,33202,"Impresos matrícula, preinsc. y otros",0
3,39. Otros ingresos,399. Ingresos diversos,39900,Reintegro anuncios adjudicatarios,25000
3,39. Otros ingresos,399. Ingresos diversos,39999,Otros Ingresos,150000
4,40. De la Administración General del Estado,400. Del Ministerio de Educación,40000,Financiación coste Ceuta y Melilla,8217000
4,40. De la Administración General del Estado,400. Del Ministerio de Educación,40003,Programas Europeos de movilidad,2500000
4,40. De la Administración General del Estado,401. De otros Ministerios,40100,Financiación operaciones corrientes,100000
4,41. De Organismos Autónomos Administrativos,410. De Organismos autónomos estatales,41001,Del Instituto de la Mujer,40000
4,41. De Organismos Autónomos Administrativos,410. De Organismos autónomos estatales,41009,Del IMSERSO,20000
4,41. De Organismos Autónomos Administrativos,411. De Organismos autónomos Junta Andalucía,41113,Instituto Andaluz de la Juventud,50000
4,42. De la Seguridad Social,421. Del Servicio Andaluz de Salud,42100,Plazas vinculadas. C.Específico,2000000
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45000,Financiación operativa estructural,103485184
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45001,Financ. Operativa vincul. resultados,44847362
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45002,Al Consejo Social,316983
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45003,Financiación Insuficiencia Financiera,3482214
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45004,Planes de apoyo  PRAEM,600000
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45005,Planes de apoyo Estudiantes y EEES,4450000
4,45. De Comunidades Autónomas,450. Consej.Innovación Ciencia y Empresa. J.And,45007,Otros Planes de apoyo ,1975000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45100,De Presidencia,50000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45101,De Gobernación,30000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45103,De Justicia y Administraciones Públic,30000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45105,De Empleo,75000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45106,"De Turismo, Comercio y Deporte",60000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45110,De Igualdad y Bienestar Social,75000
4,45. De Comunidades Autónomas,451. De otras Consejerías,45111,De Cultura,75000
4,45. De Comunidades Autónomas,459. De otras Comunidades Autónomas,45901,De la Ciudad Autónoma de Melilla,0
