CAPÍTULO,ARTÍCULO,DENOMINACIÓN,IMPORTE
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 11. Personal eventual,110 Personal eventual,360000
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 12. Funcionarios,120 Funcionarios. Retribuciones básicas,54455928
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 12. Funcionarios,121 Funcionarios. Retribuciones complementarias,82124308
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 13. Laborales,130 Personal laboral,16129615
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 13. Laborales,131 Personal labora. Otras remuneraciones,40176980
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 13. Laborales,134 Personal laboral eventual,4140000
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 14. Otro Personal,143 Personal colaboración social,300000
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 14. Otro Personal,145 Retribuciones Asociados (LRU),25220
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 14. Otro Personal,146 Retribuciones Asociados Ciencias de la Salud (LRU),563270
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 15. Incentivos al rendimiento,150 Productividad ,24486407
CAPÍTULO 1º .GASTOS DE PERSONAL,Artículo 15. Incentivos al rendimiento,151 Gratificaciones,3000
CAPÍTULO 1º .GASTOS DE PERSONAL,"Artículo 16. Cuotas, prestaciones y gastos sociales",160 Cuotas Sociales,30484222
CAPÍTULO 1º .GASTOS DE PERSONAL,"Artículo 16. Cuotas, prestaciones y gastos sociales",162 Prestaciones y gastos sociales del personal,6364331
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,202 Arrendtº edificios y otros,20000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,"203 Arrendtº maquinaria,instalaciones y utillaje",20000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,204 Arrendtº material de transporte,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,205 Arrendtº mobiliario y enseres,20000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,206 Arrendtº equipo de informática,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,208 Arrendtº otro inmovilizado material,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",212 Edificios y otras construcciones,400000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación","213 Maquinarias, instalaciones y utillaje",400000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",214 Elementosl de transporte,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",215 Mobiliario y enseres,150000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",216 Sistemas para procesos de información,150000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",220 Material de orficina,1600000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",221 Suministros,2565000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",222 Comunicaciones,100000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",223 Transportes,250000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",224 Primas de seguros,60000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",225 Tributos,200000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226 Gastos diversos,2878257
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226.01 Atenciones protocolarias y de representación,300000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",227 Trabajos realizados por otras empresas,900000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,230 Dietas,900000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,231 Locomoción,800000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,"480,00 Becas y ayudas propias a estudiantes",1540000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,480.03 A Asociaciones estudiantiles,150000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,480.04 Plan Propio Prácticas en Empresas y Entidades,1150000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,"480,08 Plan Propio de Ayudas Sociales a Estudiantes",190000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,483 Becas programas europeos,10900000
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,485xx Otros Planes de Apoyo Junta de Andalucía,1511856
CAPÍTULO 4º. TRANSFERENCIAS CORRIENTES,Artículo 48. A Familias e instituciones sin fines de lucro,490.11 Cuotas y contribuc.organismos internacionales,30000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,608 Inversiones bibliográficas,400000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,642 Programas de movilidad y promoción lingüística,70000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,"644 Plan de Innovación, Calidad Docente y EEES",580000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,645 Actuaciones Fomento de empleo,400000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,648 Plan Propio de Internalización,715000
CAPÍTULO 7º. TRANSFERENCIAS DE CAPITAL,Artículo 78. A Familias e Instituciones sin fines de lucro,780.05 Plan Propio para Promoción del Autoempleo,250000
CAPÍTULO 8º. ACTIVOS FINANCIEROS,Artículo 83. Concesión de préstamos,831 Anticipos y préstamos a personal Universidad,650000
CAPÍTULO 8º. ACTIVOS FINANCIEROS,Artículo 83. Concesión de préstamos,831.01 Línea especial de anticipos,0
CAPÍTULO 9º PASIVOS FINANCIEROS,Artículo 91. Aamortización de deuda pública,911 Amortiz. Préstamos a largo plazo. Sector público,0
CAPÍTULO 9º PASIVOS FINANCIEROS,Artículo 91. Aamortización de deuda pública,913 Amortiz. Préstamos a largo plazo. Sector privado,Err:520
