CAPÍTULO,ARTÍCULO,DENOMINACIÓN,IMPORTE
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,202 Arrendtº edificios y otros,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,"203 Arrendtº maquinaria,instalaciones y utillaje",2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,204 Arrendtº material de transporte,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,205 Arrendtº mobiliario y enseres,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,206 Arrendtº equipo de informática,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 20. Arrendamientos y cánones,208 Arrendtº otro inmovilizado material,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",212 Edificios y otras construcciones,100000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación","213 Maquinarias, instalaciones y utillaje",75000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",214 Elementosl de transporte,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",215 Mobiliario y enseres,15000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 21. Reparaciones, mantenimiento y conservación",216 Sistemas para procesos de información,75000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",220 Material de orficina,110000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",221 Suministros,125000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",222 Comunicaciones,15000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",223 Transportes,2000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",224 Primas de seguros,5000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",225 Tributos,5000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226 Gastos diversos,74940
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",226.01 Atenciones protocolarias y de representación,10000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,"Artículo 22. Material, suministros y otros",227 Trabajos realizados por otras empresas,80000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,230 Dietas,50000
CAPÍTULO 2º. GASTOS EN BIENES CORRIENTES Y SERVICIOS,Artículo 23. Indemnizaciones por razón del servicio,231 Locomoción,50000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 60. Inversiones de carácter material,608 Inversiones bibliográficas,3600000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 63. Programa FEDER,631 Programa FEDER 2007/2013,0
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,640 Investigación científica,35171596
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,"641,00 Plan Propio de Investigación Científica",3360000
CAPÍTULO 6º. INVERSIONES REALES,Artículo 64. Inversiones de carácter inmaterial,"641,02 Plan Propio Fomento Productividad Investigadora",1000000
