DescripciÛn,Nombre,Importe (euros)
PROYECTO V CURSO DE ORATORIA Y RETORICA.,AGRUPACION CENTRO DE CULTURA GRANADA,"940,8"
BECAS PROPIAS 2013-2014: BECA DE LIBROS,LIBRERÕA ALBALADEJO CASTEJON,"18557,2"
BECAS PROPIAS 2013/2014: BECA DE LIBROS,"ALSUR LIBRERIA, S.L.","1269,05"
AYUDA A LA ASOCIACI”N CORO DE LA FACULTA,ASOC. CORO DE LA FACULTAD DE CIENCIAS DE,2000
"PROYECTO ""VI CONGRESO NACIONAL DE FARMAC",ASOC. EBERSIX,"2495,95"
PROYECTO APUNTES Y CONCEPTOS EN DERECHO.,ASOCIACION ALUMNOS SIN RECURSO FINANCIER,560
AYUDA CONCEDIDA EN LA COMISION ECONOMICA,ASOCIACION DE CIENCIA Y TECNOLOGIA DE LO,600
PROYECTO ASISTENCIA AL CONGRESO NACIONAL,ASOCIACION DE CIENCIAS DEL TRABAJO AULA,"1056,96"
PROYECTO XI CONGRESO NACIONAL DE ESTUDIA,ASOCIACION DE ESTUDIANTES DE MEDICINA RA,"5229,6"
PROYECTO DIA MUNDIAL DE LA DIABETES. CON,ASOCIACION DIETISTAS NUTRICIONISTAS UNIV,"1145,5"
PROYECTO VIAJE A MALAGA PARA VISITAR EL,ASOCIACION ELECTRIAL,"1499,38"
CUOTA ANUAL DEL AULA PERMANENTE DE FORMA,ASOCIACION ESTATAL DE PROGRAMAS UNIVERSI,300
PROYECTO DISE—O DE UN EXPERIMENTO PARA C,ASOCIACION ESTUDIANTES DE TELECOMUNICACI,2976
PROYECTO I CONGRESO SOBRE OPORTUNIDADES,ASOCIACION ESTUDIANTES Y POSTGRADUADOS U,800
"PROYECTO ""ESCUELAS DEPORTIVAS DE LA FACU",ASOCIACION FLUSSPORT GESTION DEPORTIVA,"4916,8"
PROYECTO GUIA USE-IT GRANADA. CONVOCATOR,ASOCIACION GRANADA CREATIVE FACTORY,1504
"PROYECTO ""I CONGRESO NACIONAL DE JOVENES",ASOCIACION GRANADINA DE ESTUDIANTES DE F,"3887,4"
AYUDA A LA ASOCIACI”N GRANADINA SOCIOCUL,ASOCIACION GRANADINA SOCIOCULTURAL Y DEP,1500
"PROYECTO ""RICARDO CASES: PENSAR, TRABAJA",ASOCIACION INSULA SUR,"527,1"
PROYECTO INTEGRACION DE NUEVOS MIEMBROS.,ASOCIACION INTERNACIONAL DE ESTUDIANTES,"631,2"
AYUDA A LA ASOCIACI”N JUVENIL DE ALUMNOS,ASOCIACION JUVENIL DE ALUMNOS POR LA CIE,1400
PROYECTO CURSO DE ALTERNATIVAS AL EMPLEO,ASOCIACION JUVENIL MOTIVAWORK,"3892,49"
PROYECTO JORNADA ACADEMICA DIFUSION Y CO,ASOCIACION PARA LAS DIFUSION DEL PATRIMO,672
"PROYECTO ""III JORNADAS ANDALUZAS DE JOVE",ASOCIACION PASTORAL UNIVERSITARIA,"5278,88"
PROYECTO HERRAMIENTAS BASICAS DE MANEJO,ASOCIACION POLITEIA,576
"PROYECTO ""VISITA A LA BASE AEREA DE ARMI",ASOCIACION UNIVERSITARIA GRAN CAPITAN,525
ABONAR AYUDA A LA MEJORA LING‹ÕSTICA,AYUDAS DIVERSAS,1401
Ayuda econÛmica para asistir a Gˆttingen,AYUDAS DIVERSAS,1200
PAGO AYUDA A ESTUDIANTES,AYUDAS DIVERSAS,510
PAGO AYUDA A LOS ESTUDIANTES ECUATOGUINE,AYUDAS DIVERSAS,24250
"PAGO DE UNA AYUDA PARA ASISTIR AL ""MODEL",AYUDAS DIVERSAS,3875
PAGO RESTO DE LA AYUDA CONCEDIDA A UNA A,AYUDAS DIVERSAS,6000
AYUDA MATRÕCULA CURSO 2013-2014,"BANCO MARE NOSTRUM, S.A.","439,72"
ABONAR AYUDA A LA MEJORA LING‹ÕSTICA,BECAS DIVERSAS,"2848,8"
"AYUDA ECONOMICA PARA LA ASISTENCIA A ""CO",BECAS DIVERSAS,320
AYUDAS ECON”MICAS PARA MOVILIDAD DE ESTU,BECAS DIVERSAS,6256
BECAS PROPIAS,BECAS DIVERSAS,400
BECAS EN FORMACI”N EN EL PROCESO DE RECO,BECAS DIVERSAS,"11760,11"
BECAS PROPIAS 2013-2014: AYUDAS DE PRECI,BECAS DIVERSAS,"1127553,84"
BECAS PROPIAS 2013-2014: BECA DE LIBROS,BECAS DIVERSAS,408
JORNADAS DE ECONOMIA Y DEFENSA. AYUDA CO,BECAS DIVERSAS,1320
PAGO DEL RESTO DE NA AYUDA CONCEDIDA A U,BECAS DIVERSAS,6000
