SECCIÓN,2014,2015,%
Sección 1,10135373,10140472.8,0.0503168458
Sección 2,15500000,16000000,3.2258064516
Sección 3,3309599,3400679.93,2.7520231303
Sección 4,4361990,4447962,1.9709352841
Baremo alumnos/profesorado,2954287,3054912,No especificado
Distribución lineal,535050,535050,No especificado
Dietas reuniones Departamento,265428,262800,No especificado
Contrato Progr. Depart. y Morosidad,607225,595200,No especificado
Cantidades a detraer,4328972,4368115.48036,0.904221149
Importes autofinanciados (a deducir),6620250,6170250,-6.797326385
