Código,Departamento,Área,T.C. (P.D.I.),T.P. (P.D.I.),Total (P.D.I.),ETC (P.D.I.),Tr. Doc. (P.D.I.),Tr. Inv. (P.D.I.),Tr. Aut. (P.D.I.),Fun. (P.A.S.),Lab. (P.A.S.),Total (P.A.S.)
305001,ÁLGEBRA,ÁLGEBRA,19,1,20,19500,89,45,64,,,
305002,ANÁLISIS MATEMÁTICO,ANÁLISIS MATEMÁTICO,29,0,29,29000,127,74,84,,,
305003,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,ANATOMÍA PATOLÓGICA ,7,3,10,9250,42,31,30,,,
,ANATOMÍA PATOLÓGICA E HISTORIA DE LA CIENCIA,HISTORIA DE LA CIENCIA ,9,0,9,9000,51,28,37,,,
305005,BIOLOGÍA CELULAR ,BIOLOGÍA CELULAR ,14,0,14,14000,51,33,42,,,
305008,ANATOMÍA Y EMBRIOLOGÍA HUMANA,ANATOMÍA Y EMBRIOLOGÍA HUMANA,17,1,18,17500,71,35,47,,,
305009,CIRUGÍA Y SUS ESPECIALIDADES,CIRUGÍA ,11,22,33,19625,62,14,35,,,
,CIRUGÍA Y SUS ESPECIALIDADES,OFTALMOLOGÍA ,4,5,9,5875,17,2,9,,,
,CIRUGÍA Y SUS ESPECIALIDADES,OTORRINOLARINGOLOGÍA ,4,8,12,7375,22,3,9,,,
,CIRUGÍA Y SUS ESPECIALIDADES,UROLOGÍA ,0,7,7,2625,,,,,,
,CIRUGÍA Y SUS ESPECIALIDADES,TRAUMATOLOGÍA Y ORTOPEDIA ,1,7,8,3625,6,,2,,,
305010,CONSTRUCCIONES ARQUITECTÓNICAS,COMPOSICIÓN ARQUITECTÓNICA,3,3,6,5250,12,5,7,,,
,CONSTRUCCIONES ARQUITECTÓNICAS,CONSTRUCCIONES ARQUITECTÓNICAS,29,20,49,43125,81,5,50,,,
305011,DERECHO ADMINISTRATIVO,DERECHO ADMINISTRATIVO ,25,5,30,28375,62,26,46,,,
305012,DERECHO CIVIL,DERECHO CIVIL ,30,5,35,32750,116,47,75,,,
305013,DERECHO CONSTITUCIONAL,DERECHO CONSTITUCIONAL ,20,1,21,20750,73,33,55,,,
305014,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO ECLESIÁSTICO DEL ESTADO ,3,0,3,3000,5,1,5,,,
,DERECHO PROCESAL Y ECLESIÁSTICO,DERECHO PROCESAL ,13,2,15,14500,46,10,33,,,
305015,DERECHO FINANCIERO Y TRIBUTARIO,DERECHO FINANCIERO Y TRIBUTARIO ,25,1,26,25750,74,34,56,,,
305016,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,DERECHO INTERNACIONAL PRIVADO ,8,0,8,8000,26,16,21,,,
,DERECHO INTERNACIONAL PRIVADO E HISTORIA DEL DERECHO,HISTORIA DEL DERECHO Y DE LAS INSTITUCIONES ,6,1,7,6750,13,5,14,,,
305017,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO MERCANTIL ,15,3,18,16875,38,15,31,,,
,DERECHO MERCANTIL Y DERECHO ROMANO,DERECHO ROMANO ,5,2,7,6500,18,3,13,,,
305018,DIBUJO,DIBUJO ,28,2,30,29250,79,18,51,,,
305019,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES,DIDÁCTICA DE LAS CIENCIAS EXPERIMENTALES ,15,1,16,15750,44,12,31,,,
305020,DIDÁCTICA DE LAS CIENCIAS SOCIALES,DIDÁCTICA DE LAS CIENCIAS SOCIALES ,14,5,19,17500,26,6,18,,,
305021,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN CORPORAL ,14,6,20,18375,38,8,26,,,
,"DIDÁCTICA DE LA EXPRESIÓN MUSICAL, PLÁSTICA Y CORPORAL",DIDÁCTICA DE LA EXPRESIÓN MUSICAL ,14,3,17,15875,29,4,24,,,
