"LOCALES, INMUEBLES E INSTALACIONES",½ DIA,1 DIA
1. AULAS MAGNAS,460,765
"2. SALAS CONFERENCIAS, SEMINARIOS",310,560
3. AULA TIPO A: CAPACIDAD > 150 PERSONAS,270,465
4. AULA TIPO B: CAPAC.ENTRE 100 Y 150 PERSON.,200,310
5. AULA TIPO C: CAPACIDAD < 100 PERSONAS,120,200
6. AULA INFORMÁTICA/ MULTIMEDIA: PRECIO POR PUESTO INFORMÁTICO,8 Euros/puesto,16 Euros/puesto
"7. SALA DE EXPOSICIONES: PRECIO POR DÍA (EN SU DEFECTO, HALL DE FACULTADES, ESPACIOS PÚBLICOS).",No contemplado,200
"8. ESPACIOS MENORES (PASILLOS PARA STANDS, ETC.)",30,55
   8.1. MES COMPLETO,700,700
9. ESPACIOS PARA EXÁMENES Y OPOSICIONES.,2 Euros/puesto,3 Euros/puesto
10. CRUCERO HOSPITAL REAL.,1150,1910
11. SALÓN DE CABALLEROS VEINTICUATRO (MADRAZA).,560,770
12. SALA DE CONVALECIENTES (HOSPITAL REAL),560,770
13. CAPILLA NEOMUDÉJAR (COLEGIO MÁXIMO),770,1160
14. PATIO DE LOS MÁRMOLES (HOSPITAL REAL),400,700
