"Económica  483"
"Ordenación:  Nº reg. justificante "
Descripción,"Nombre Proveedor","Importe Total"
"BECAS PROGRAMA ERASMUS 2012-2","BECAS DIVERSAS","8,893,275.62"
"Ayudas programa europeo Tempus","BECAS DIVERSAS",2400.00
"BECAS ERASMUS MUNDUS MASTER","BECAS DIVERSAS",81017.56
"BECAS ALUMNOS *IN* PROGRAMA","BECAS DIVERSAS",406576.48
"BECAS ALUMNOS *OUT* PROGRAMA","BECAS DIVERSAS",157776.82
"MARSH SA, DE BRUSELAS,","MARSH, S.A.",12515.31
"BECA DEL MINISTERIO.","BECAS DIVERSAS",1360.00
"BECA SCHOLAR","BECAS DIVERSAS",14400.00
"BECA STAFF","BECAS DIVERSAS",2500.00
"SEGUROS DE VIAJE ACE","ACE EUROPEAN GROUP LIMITED, ENTIDAD ASEGURADORA",7671.42
"Transferencia a la Central  European University","CENTRAL EUROPEAN UNIVERSITY",43650.00
"TRANSFERENCIA A LA  GEORG AUGUST UNIVERSITAT GOETTINGEN","GEORG AUGUST UNIVERSITAT GOETTINGEN",21900.00
"Transferencia a la Universidad de Lund","LUNDS UNIVERSITET",8000.00
"TRANSFERENCIA A LA UNIVERSIDAD ABDELMALE","MONEDA EXTRANJERA",3000.00
"TRANSFERENCIA A LA UNIVERSIDAD SIDI MOHA","MONEDA EXTRANJERA",6000.00
"Transferencia a la Universidad de Barcelona","UNIVERSIDAD DE BARCELONA",51000.00
"TRANSFERENCIA A LA Universidad de Bolonia","UNIVERSIDAD DE BOLONIA",112075.00
"TRANSFERENCIA A LA Universidad de Graz","UNIVERSIDAD DE GRAZ",73975.00
"Transferencia a la Universidad de Lodz","UNIVERSIDAD DE LODZ",36450.00
"TRANSFERENCIA A LA UNIVERSIDAD DE OVIEDO","UNIVERSIDAD DE OVIEDO",41749.86
"TRANSFERENCIA A LA UNIVERSIDAD ILLES BAL","UNIVERSIDAD ILLES BALEARS",3590.00
"TRANSFERENCIA A LA UNIVERSIDAD DE COIMBRA","UNIVERSIDADE DE COIMBRA",45650.00
"TRANSFERENCIA A LA UNIVERSITÁ DEGLI STUDI DI PADOVA","UNIVERSITA DEGLI STUDI DI PADOVA",39000.00
"TRANSFERENCIA A LA UNIVERSIDAD DE POTIERS","UNIVERSITE DE POITIERS",155500.00
"TRANSFERENCIA A LA UNIVERSITE DE SAINT ETIENNE","UNIVERSITE DE SAINT ETIENNE",312250.00
"TRANSFERENCIA A LA UNIVERSITE LIBRE DE BRUXELLES","UNIVERSITE LIBRE DE BRUXELLES",3000.00
"TRANSFERENCIA A LA UNIVERSITEIT UTRECHT","UNIVERSITEIT UTRECHT",51430.00
"TRANSFERENCIA A LA UNIVERSIDAD DE HULL","UNIVERSITY OF HULL",28900.00
