"Económica  490"
"Ordenación:  Nº reg. justificante "
Descripción,"Nombre Proveedor","Importe Total"
"PAGADO CON TARJETA. ACADEMIC COOPERATION","ACADEMIC COOPERATION ASSOCIATION",120.00
"ABONAR FACTURA A LA ASOCIACION UNIVERSIT","ASOCIACION UNIVERSITARIA IBEROAMERICANA",1500.00
"PAGO DE FACTURA  SUSCRIPCION EDUCACION D","ASSOCIATION FOR DENTAL EDUCATION IN EURO",570.00
"ABONAR REQUERIMIENTO DE PAGO DE LA ASOCI","ASSOCIATION INTERNATIONALE DES UNIVERSIT",2600.00
"TRANSFERENCIA A LA BUDAPEST UNIVERSITY O","BUDAPEST UNIVERSITY OF TECHNOLOGY AND EC",4956.00
"TRANSFERENCIA A CAMBRIDGE PROFESSIONAL D","CAMBRIDGE PROFESISONAL DEVELOPMENT LTD",9329.10
"ABONO DE LA CUOTA ANUAL A UNESCO DE ANDA","CENTRO UNESCO DE ANDALUCIA",600.00
"SE RUEGA ORDENAR TRANSFERENCIA PARA ABON","COIMBRA GROUP",9605.00
"ABONAR CUOTA A LA ASOCIACION INTERNACION","ENOTHE OFFICE. METROPOLITAN UNIVERSITY C",460.00
"SUSCRIPCIÓN PARA EL AÑO 2013 A EUCEN (Eu","EUROPEAN UNIVERSITIES CONTINUING EDUCATI",550.00
"CUOTAS Y CONTRIBUCIONES A ORGANISMOS INT","EUROPEAN UNIVERSITY ASSOCIATION",5420.00
"TRANSFERENCIA A LA FRIEDRICH-ALEXANDER-U","FRIEDRICH ALEXANDER UNIVERSITAT ERLANGEN",8623.50
"ABONAR CUOTA ANUAL AL GRUPO TORDESILLAS.","GRUPO TORDESILLAS",1000.00
"TRANSFERENCIA A UNIWERSYTET JAGIELLONSKI","JAGIELLONIAN UNIVERSITY",4781.40
"ABONAR CUOTA ORGANISMO INTERNACIONAL  AI","MONEDA EXTRANJERA",300.14
"TRANSFERENCIA ""SALVADOR UNIVERSIDADE DO","MONEDA EXTRANJERA",6000.00
"ABONAR FACTURA INFORMATIQUE BUREAUTIQUE,","MONEDA EXTRANJERA",4351.06
"ABONAR FACTURA EXPERRISE NOUVELLES TECHN","MONEDA EXTRANJERA",1941.25
"ABONAR FACTURA SARL ELECTRONIC SOFTWARE.","MONEDA EXTRANJERA",4225.03
"TRANSFERENCIA DEL CENTRO DE GASTOS Nº 30","MONEDA EXTRANJERA",11160.00
"TRANSFERENCIA A LA UNIVERSIDAD MAYOR DE","MONEDA EXTRANJERA",9867.00
"SUBVENCION AL INSTITUTO FENIX DE BRASIL","MONEDA EXTRANJERA",13500.00
"ABONADA CON TARJETA CUOTA INSCRIPCION A","MONEDA EXTRANJERA",929.86
"PAGO A LA UNIVERSIDAD TECNOLOGICA DEL SA","MONEDA EXTRANJERA",13008.00
"COMPRA DE 8 ORDENADORES Y UNA IMPRESORA","MONEDA EXTRANJERA",7999.98
"ABONAR FACTURA ASOCIACION HISPANICA DE C","MONEDA EXTRANJERA",1488.67
"BONAR FACTURA EXPERRISE NOUVELLES TECHNO","MONEDA EXTRANJERA",1892.47
"TRANSFERENCIA A SCIENTER ITALIA, MIEMBRO","SCIENTER ITALIA",7356.60
"ABONAR CUOTA ANUAL MEDITERRANEAN UNIVERS","TERCEROS COMUNITARIOS SIN IVA",3000.00
"INSCRIPCIÓN ANUAL EAIE, EUROPEAN ASSOCIA","TERCEROS COMUNITARIOS SIN IVA",200.00
"ABONAR CUOTA ANUAL ASSOCITAION OF ARAB &","TERCEROS COMUNITARIOS SIN IVA",975.00
"TRANSFERENCIA A ESTONIAN QUALIFICATIONS","TERCEROS COMUNITARIOS SIN IVA",4270.50
"CUOTA INSCRIPCION EASSW","TERCEROS COMUNITARIOS SIN IVA",200.00
"PAGO A C.M.U. (COMMUNAUTÉ DES UNIVERSITÉ","TERCEROS COMUNITARIOS SIN IVA",457.56
"INSCRIPCION ASOCIACION INTERNACIONAL, PA","TERCEROS COMUNITARIOS SIN IVA",403.20
"CUOTA INSCRIPCION AL INSTITUTO EUROPEO I","TERCEROS COMUNITARIOS SIN IVA",750.00
"FCE Pago cuota institucional 2013","TERCEROS COMUNITARIOS SIN IVA",1000.00
"TRANSFERENCIA A LA ASOCIACION",UNISCAPE,1000.00
"TRANSFERENCIA A UNIVERSIDADE DO PORTO (P","UNIVERSIDADE DO PORTO",4723.50
"TRANSFERENCIA A LA UNIVERSITÁ DEGLI STUD","UNIVERSITA DEGLI STUDI DI PADOVA",8151.00
"TRANSFERENCIA A LA UNIVERSITY OF NICOSIA","UNIVERSITY OF NICOSIA",5812.50
